event_id,start_hour,end_hour,duration_hours,peak_silica,mean_silica,dominant_deviation,recovery_hour,rule_review_state,rule_threshold,data_nature
FQ-0013,2017-03-30 01:00:00,2017-03-30 03:00:00,3,3.7999999999999945,3.799999999999995,3号浮选柱风量:-2.86|2号浮选柱风量:-2.78|1号浮选柱风量:-2.73,2017-03-30 04:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0014,2017-03-30 10:00:00,2017-03-30 10:00:00,1,3.1000000000000103,3.1000000000000103,3号浮选柱风量:-2.86|2号浮选柱风量:-2.78|1号浮选柱风量:-2.73,2017-03-30 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0015,2017-03-30 17:00:00,2017-03-31 03:00:00,11,5.070000000000019,4.414999999999996,3号浮选柱风量:-2.86|2号浮选柱风量:-2.77|1号浮选柱风量:-2.74,2017-03-31 04:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0016,2017-03-31 17:00:00,2017-04-02 07:00:00,39,3.1100000000000105,3.1100000000000128,3号浮选柱风量:-3.07|1号浮选柱风量:-3.04|2号浮选柱风量:-2.82,2017-04-02 08:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0017,2017-04-02 21:00:00,2017-04-03 03:00:00,7,4.419999999999988,3.703571428571425,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-04-03 04:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0018,2017-04-03 05:00:00,2017-04-03 05:00:00,1,3.9600000000000035,3.9600000000000035,5号浮选柱风量:1.95|2号浮选柱液位:1.81|4号浮选柱风量:-1.79,2017-04-03 06:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0019,2017-04-03 08:00:00,2017-04-03 08:00:00,1,3.860000000000011,3.860000000000011,5号浮选柱风量:1.95|2号浮选柱液位:1.87|4号浮选柱风量:-1.79,2017-04-03 09:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0020,2017-04-03 10:00:00,2017-04-03 17:00:00,8,5.399999999999984,4.2668885341477045,2号浮选柱液位:2.10|5号浮选柱风量:1.95|4号浮选柱风量:-1.79,2017-04-03 18:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0021,2017-04-04 16:00:00,2017-04-04 21:00:00,6,4.5800000000000125,3.796666666666667,2号浮选柱液位:2.36|1号浮选柱液位:2.33|3号浮选柱液位:1.96,2017-04-04 22:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0022,2017-04-04 23:00:00,2017-04-04 23:00:00,1,3.269999999999992,3.269999999999992,2号浮选柱液位:2.40|5号浮选柱风量:1.95|3号浮选柱液位:1.94,2017-04-05 00:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0023,2017-04-05 14:00:00,2017-04-05 16:00:00,3,4.620000000000004,4.509999999999996,2号浮选柱液位:2.39|1号浮选柱液位:2.29|5号浮选柱风量:1.95,2017-04-05 17:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0024,2017-04-05 18:00:00,2017-04-05 18:00:00,1,3.2900000000000027,3.2900000000000027,2号浮选柱液位:2.39|1号浮选柱液位:2.29|5号浮选柱风量:1.95,2017-04-05 19:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0025,2017-04-06 14:00:00,2017-04-06 16:00:00,3,4.289999999999994,4.216666666666666,2号浮选柱液位:2.39|1号浮选柱液位:2.29|5号浮选柱风量:1.95,2017-04-06 17:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0026,2017-04-07 12:00:00,2017-04-07 12:00:00,1,3.040000000000006,3.040000000000006,2号浮选柱液位:2.33|1号浮选柱液位:2.32|5号浮选柱风量:1.95,2017-04-07 13:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0027,2017-04-07 17:00:00,2017-04-07 20:00:00,4,4.259999999999993,3.929999999999991,2号浮选柱液位:2.12|1号浮选柱液位:2.10|5号浮选柱风量:1.95,2017-04-07 21:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0028,2017-04-07 23:00:00,2017-04-08 03:00:00,5,5.309999999999976,4.816999999999991,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-04-08 04:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0029,2017-04-08 07:00:00,2017-04-08 07:00:00,1,3.1100000000000105,3.1100000000000105,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-04-08 08:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0030,2017-04-08 10:00:00,2017-04-08 10:00:00,1,3.649999999999988,3.649999999999988,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.49,2017-04-08 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0031,2017-04-09 09:00:00,2017-04-09 09:00:00,1,3.1399999999999895,3.1399999999999895,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-04-09 10:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0032,2017-04-09 11:00:00,2017-04-09 11:00:00,1,3.3099999999999943,3.3099999999999943,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|矿浆密度:1.59,2017-04-09 12:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0033,2017-04-10 02:00:00,2017-04-10 02:00:00,1,3.1000000000000103,3.1000000000000103,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-04-10 03:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0034,2017-04-10 19:00:00,2017-04-10 19:00:00,1,3.0099999999999936,3.0099999999999936,矿浆密度:-2.49|2号浮选柱液位:2.35|胺类捕收剂流量:-2.14,2017-04-10 20:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0035,2017-04-12 04:00:00,2017-04-12 07:00:00,4,5.269999999999988,4.451249999999995,7号浮选柱风量:-1.50|矿浆密度:1.44|6号浮选柱风量:-1.42,2017-04-12 08:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0036,2017-04-12 10:00:00,2017-04-12 10:00:00,1,4.039999999999996,4.039999999999996,7号浮选柱风量:-1.51|6号浮选柱风量:-1.44|4号浮选柱风量:-1.30,2017-04-12 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0037,2017-04-12 16:00:00,2017-04-12 16:00:00,1,4.879999999999996,4.879999999999996,7号浮选柱风量:-1.49|6号浮选柱风量:-1.41|4号浮选柱风量:-1.34,2017-04-12 17:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0038,2017-04-13 07:00:00,2017-04-13 10:00:00,4,3.970000000000017,3.600000000000003,2号浮选柱液位:2.38|1号浮选柱液位:2.28|3号浮选柱液位:1.93,2017-04-13 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0039,2017-04-13 13:00:00,2017-04-13 14:00:00,2,3.320000000000002,3.1950000000000003,4号浮选柱风量:-1.50|7号浮选柱风量:-1.49|6号浮选柱风量:-1.42,2017-04-13 15:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0040,2017-04-14 02:00:00,2017-04-14 12:00:00,11,4.29999999999999,3.6863636363636307,4号浮选柱风量:-1.63|7号浮选柱风量:-1.50|6号浮选柱风量:-1.42,2017-04-14 13:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0041,2017-04-14 14:00:00,2017-04-14 14:00:00,1,3.7000000000000046,3.7000000000000046,4号浮选柱风量:-1.68|7号浮选柱风量:-1.48|6号浮选柱风量:-1.42,2017-04-14 15:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0042,2017-04-15 07:00:00,2017-04-15 07:00:00,1,3.450000000000001,3.450000000000001,矿浆密度:1.67|2号浮选柱液位:1.53|1号浮选柱液位:1.51,2017-04-15 08:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0043,2017-04-15 19:00:00,2017-04-15 19:00:00,1,3.1499999999999893,3.1499999999999893,5号浮选柱风量:-2.14|2号浮选柱液位:1.52|7号浮选柱风量:-1.50,2017-04-15 20:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0044,2017-04-15 21:00:00,2017-04-15 21:00:00,1,3.7999999999999945,3.7999999999999945,矿浆密度:1.81|5号浮选柱风量:-1.70|2号浮选柱液位:1.53,2017-04-15 22:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0045,2017-04-15 23:00:00,2017-04-15 23:00:00,1,3.6600000000000015,3.6600000000000015,矿浆密度:1.70|2号浮选柱液位:1.53|7号浮选柱风量:-1.50,2017-04-16 00:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0046,2017-04-16 10:00:00,2017-04-16 11:00:00,2,4.830000000000013,4.800000000000001,5号浮选柱风量:-1.53|7号浮选柱风量:-1.49|6号浮选柱风量:-1.42,2017-04-16 12:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0047,2017-04-16 13:00:00,2017-04-16 15:00:00,3,3.3399999999999954,3.179999999999996,7号浮选柱风量:-1.49|5号浮选柱风量:-1.48|6号浮选柱风量:-1.42,2017-04-16 16:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0048,2017-04-16 17:00:00,2017-04-16 17:00:00,1,3.519999999999991,3.519999999999991,4号浮选柱液位:-2.49|7号浮选柱风量:-1.50|5号浮选柱风量:-1.44,2017-04-16 18:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0049,2017-04-16 21:00:00,2017-04-16 21:00:00,1,3.8200000000000083,3.8200000000000083,7号浮选柱风量:-1.49|6号浮选柱风量:-1.42|5号浮选柱风量:-1.38,2017-04-16 22:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0050,2017-04-16 23:00:00,2017-04-17 02:00:00,4,4.120000000000004,3.7274999999999983,7号浮选柱风量:-1.49|6号浮选柱风量:-1.42|5号浮选柱风量:-1.33,2017-04-17 03:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0051,2017-04-17 04:00:00,2017-04-17 04:00:00,1,3.3600000000000105,3.3600000000000105,7号浮选柱风量:-1.49|6号浮选柱风量:-1.42|5号浮选柱风量:-1.28,2017-04-17 05:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0052,2017-04-18 10:00:00,2017-04-18 10:00:00,1,3.220000000000015,3.220000000000015,3号浮选柱风量:-2.17|6号浮选柱液位:2.07|1号浮选柱风量:-2.06,2017-04-18 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0053,2017-04-18 15:00:00,2017-04-18 15:00:00,1,3.0799999999999987,3.0799999999999987,3号浮选柱风量:-2.15|1号浮选柱风量:-2.05|2号浮选柱风量:-1.94,2017-04-18 16:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0054,2017-04-19 00:00:00,2017-04-19 00:00:00,1,3.190000000000004,3.190000000000004,3号浮选柱风量:-2.16|矿浆密度:-2.06|1号浮选柱风量:-2.05,2017-04-19 01:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0055,2017-04-19 10:00:00,2017-04-20 10:00:00,25,5.200000000000016,3.829200000000002,7号浮选柱风量:-1.50|6号浮选柱风量:-1.42|3号浮选柱风量:-1.38,2017-04-20 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0056,2017-04-20 13:00:00,2017-04-20 21:00:00,9,5.25,3.915555555555555,7号浮选柱风量:-1.50|6号浮选柱风量:-1.42|4号浮选柱风量:1.14,2017-04-20 22:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0057,2017-04-21 08:00:00,2017-04-21 19:00:00,12,4.940000000000023,4.164862908194678,4号浮选柱风量:1.54|7号浮选柱风量:-1.50|6号浮选柱风量:-1.43,2017-04-21 20:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0058,2017-04-21 22:00:00,2017-04-21 22:00:00,1,3.7300000000000093,3.7300000000000093,4号浮选柱风量:1.70|7号浮选柱风量:-1.50|6号浮选柱风量:-1.41,2017-04-21 23:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0059,2017-04-22 00:00:00,2017-04-22 12:00:00,13,3.7300000000000093,3.411485774499487,4号浮选柱风量:1.86|7号浮选柱风量:-1.49|6号浮选柱风量:-1.41,2017-04-22 13:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
