reference_id,ticket_created,date_created,issue_date,issue_type,method,issue,state,type_of_call_or_messge,type_of_property_goods_or_services,allegation_verified,data_nature
8910380,2026-07-18T23:28:29.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8910588,2026-07-19T02:24:53.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,TN,,,False,public-reference-allegations-unverified
8910292,2026-07-18T22:38:45.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Speed,HI,,,False,public-reference-allegations-unverified
8910099,2026-07-18T21:20:22.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,Emergency,Interference,Interference,AK,,,False,public-reference-allegations-unverified
8910637,2026-07-19T02:52:23.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,FL,,,False,public-reference-allegations-unverified
8909222,2026-07-18T15:51:07.000Z,2026-07-18T00:00:00.000,,TV,Satellite,Availability,CA,,,False,public-reference-allegations-unverified
8910070,2026-07-18T21:05:06.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,TX,,,False,public-reference-allegations-unverified
8910336,2026-07-18T23:04:31.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Interference,NJ,,,False,public-reference-allegations-unverified
8909499,2026-07-18T17:28:43.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,VA,Text Message,Donations/charities Services,False,public-reference-allegations-unverified
8908998,2026-07-18T13:53:56.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,IN,Text Message,,False,public-reference-allegations-unverified
8909606,2026-07-18T18:06:18.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,WA,,,False,public-reference-allegations-unverified
8909897,2026-07-18T19:59:44.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,FL,,,False,public-reference-allegations-unverified
8908994,2026-07-18T13:52:28.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,OH,,,False,public-reference-allegations-unverified
8909545,2026-07-18T17:41:33.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,FL,,,False,public-reference-allegations-unverified
8909944,2026-07-18T20:13:13.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,TV,,Indecency,MD,,,False,public-reference-allegations-unverified
8909503,2026-07-18T17:29:59.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Billing,NJ,,,False,public-reference-allegations-unverified
8909265,2026-07-18T16:07:07.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,IN,,,False,public-reference-allegations-unverified
8909373,2026-07-18T16:42:43.000Z,2026-07-18T00:00:00.000,2026-06-12T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,CO,Live Voice,,False,public-reference-allegations-unverified
8908974,2026-07-18T13:38:53.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,KY,Prerecorded Voice,Irs Services,False,public-reference-allegations-unverified
8908905,2026-07-18T12:40:14.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,NJ,Prerecorded Voice,,False,public-reference-allegations-unverified
8910229,2026-07-18T22:14:01.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,OH,Live Voice,Banks/financial Impersonations Services,False,public-reference-allegations-unverified
8909529,2026-07-18T17:37:23.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8909952,2026-07-18T20:14:42.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Availability,CA,,,False,public-reference-allegations-unverified
8909791,2026-07-18T19:17:15.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,OH,,,False,public-reference-allegations-unverified
8910430,2026-07-19T00:08:09.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,PA,,,False,public-reference-allegations-unverified
8909410,2026-07-18T16:52:41.000Z,2026-07-18T00:00:00.000,2026-07-01T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,VA,Text Message,Donations/charities Services,False,public-reference-allegations-unverified
8909138,2026-07-18T15:18:33.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,IN,,,False,public-reference-allegations-unverified
8908811,2026-07-18T10:52:15.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,VA,,,False,public-reference-allegations-unverified
8908971,2026-07-18T13:36:21.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,NJ,,,False,public-reference-allegations-unverified
8909223,2026-07-18T15:51:08.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,WA,,,False,public-reference-allegations-unverified
8909084,2026-07-18T14:50:24.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,WA,,,False,public-reference-allegations-unverified
8908724,2026-07-18T05:42:28.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,NM,,,False,public-reference-allegations-unverified
8908802,2026-07-18T10:46:04.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,FL,Live Voice,,False,public-reference-allegations-unverified
8909030,2026-07-18T14:20:31.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Availability,TX,,,False,public-reference-allegations-unverified
8910512,2026-07-19T01:03:09.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8909832,2026-07-18T19:30:58.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Equipment,OK,,,False,public-reference-allegations-unverified
8910329,2026-07-18T23:01:15.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,IL,Live Voice,,False,public-reference-allegations-unverified
8910012,2026-07-18T20:40:21.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Interference,CA,,,False,public-reference-allegations-unverified
8910203,2026-07-18T22:03:33.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Privacy,PA,,,False,public-reference-allegations-unverified
8909775,2026-07-18T19:10:16.000Z,2026-07-18T00:00:00.000,,Phone,Wired,Equipment,PA,,,False,public-reference-allegations-unverified
8910147,2026-07-18T21:37:48.000Z,2026-07-18T00:00:00.000,,Phone,Internet (VOIP),Number Portability (keeping your number if you change providers),IL,,,False,public-reference-allegations-unverified
8909526,2026-07-18T17:37:13.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,NC,,,False,public-reference-allegations-unverified
8909862,2026-07-18T19:43:10.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8910575,2026-07-19T02:12:32.000Z,2026-07-18T00:00:00.000,2026-07-16T00:00:00.000,TV,,Indecency,CA,,,False,public-reference-allegations-unverified
8910533,2026-07-19T01:23:28.000Z,2026-07-18T00:00:00.000,2024-01-01T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,TX,Prerecorded Voice,,False,public-reference-allegations-unverified
8910235,2026-07-18T22:15:57.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8909697,2026-07-18T18:43:55.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),CO,,,False,public-reference-allegations-unverified
8909745,2026-07-18T18:59:31.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Equipment,CA,,,False,public-reference-allegations-unverified
8909398,2026-07-18T16:48:19.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,CA,,,False,public-reference-allegations-unverified
8908913,2026-07-18T12:53:20.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,TX,,,False,public-reference-allegations-unverified
8910528,2026-07-19T01:15:31.000Z,2026-07-18T00:00:00.000,2022-07-14T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,AZ,Text Message,Other Services,False,public-reference-allegations-unverified
8910451,2026-07-19T00:24:44.000Z,2026-07-18T00:00:00.000,,TV,Cable,Availability,WI,,,False,public-reference-allegations-unverified
8910048,2026-07-18T20:58:54.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,VA,Text Message,Other Services,False,public-reference-allegations-unverified
8910279,2026-07-18T22:32:12.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),LA,,,False,public-reference-allegations-unverified
8909726,2026-07-18T18:54:08.000Z,2026-07-18T00:00:00.000,2026-07-16T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,PA,Prerecorded Voice,Banks/financial Impersonations Services,False,public-reference-allegations-unverified
8910371,2026-07-18T23:24:46.000Z,2026-07-18T00:00:00.000,2026-07-06T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,MT,Live Voice,Other Services,False,public-reference-allegations-unverified
8910632,2026-07-19T02:45:53.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,TX,,,False,public-reference-allegations-unverified
8909915,2026-07-18T20:07:35.000Z,2026-07-18T00:00:00.000,2026-07-13T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,WA,Text Message,,False,public-reference-allegations-unverified
8909823,2026-07-18T19:27:32.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,IN,Text Message,,False,public-reference-allegations-unverified
8909168,2026-07-18T15:30:34.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,NC,,,False,public-reference-allegations-unverified
8908973,2026-07-18T13:38:11.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),GA,,,False,public-reference-allegations-unverified
8909616,2026-07-18T18:08:45.000Z,2026-07-18T00:00:00.000,2026-07-17T00:00:00.000,TV,,Loud Commercials,GA,,,False,public-reference-allegations-unverified
8909364,2026-07-18T16:39:54.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,IL,,,False,public-reference-allegations-unverified
8909975,2026-07-18T20:25:09.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,PA,Text Message,,False,public-reference-allegations-unverified
8909587,2026-07-18T17:59:05.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Billing,TX,,,False,public-reference-allegations-unverified
8909018,2026-07-18T14:15:08.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,AL,,,False,public-reference-allegations-unverified
8909019,2026-07-18T14:15:19.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Equipment,FL,,,False,public-reference-allegations-unverified
8909464,2026-07-18T17:15:53.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,MI,,,False,public-reference-allegations-unverified
8908702,2026-07-18T05:22:39.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Emergency,Interference,Interference,OH,,,False,public-reference-allegations-unverified
8909339,2026-07-18T16:32:25.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,FL,,,False,public-reference-allegations-unverified
8909320,2026-07-18T16:26:58.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Speed,TX,,,False,public-reference-allegations-unverified
8908951,2026-07-18T13:26:53.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,NC,,,False,public-reference-allegations-unverified
8909549,2026-07-18T17:43:39.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,NY,Prerecorded Voice,,False,public-reference-allegations-unverified
8909239,2026-07-18T15:59:15.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,IL,,,False,public-reference-allegations-unverified
8909488,2026-07-18T17:25:03.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wired,Unwanted Calls,NY,Live Voice,Other Services,False,public-reference-allegations-unverified
8910093,2026-07-18T21:18:22.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),MI,,,False,public-reference-allegations-unverified
8910546,2026-07-19T01:40:21.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,CA,,,False,public-reference-allegations-unverified
8910205,2026-07-18T22:05:03.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Radio,Satellite,Indecency,NY,,,False,public-reference-allegations-unverified
8909657,2026-07-18T18:32:43.000Z,2026-07-18T00:00:00.000,,Radio,Satellite,Interference,MD,,,False,public-reference-allegations-unverified
8909379,2026-07-18T16:43:53.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,WI,,,False,public-reference-allegations-unverified
8910671,2026-07-19T03:32:24.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Equipment,NC,,,False,public-reference-allegations-unverified
8909790,2026-07-18T19:16:40.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,AZ,Live Voice,Banks/financial Impersonations Services,False,public-reference-allegations-unverified
8908731,2026-07-18T06:13:46.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,NC,,,False,public-reference-allegations-unverified
8909158,2026-07-18T15:28:19.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,FL,,,False,public-reference-allegations-unverified
8909177,2026-07-18T15:36:28.000Z,2026-07-18T00:00:00.000,,Phone,Internet (VOIP),Cramming (unauthorized charges on your phone bill),TX,,,False,public-reference-allegations-unverified
8909750,2026-07-18T19:00:55.000Z,2026-07-18T00:00:00.000,2026-07-02T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,PA,Prerecorded Voice,,False,public-reference-allegations-unverified
8908828,2026-07-18T11:12:50.000Z,2026-07-18T00:00:00.000,,TV,Broadcast,Interference,MN,,,False,public-reference-allegations-unverified
8908763,2026-07-18T07:48:55.000Z,2026-07-18T00:00:00.000,,Emergency,Other,Other,CA,,,False,public-reference-allegations-unverified
8909060,2026-07-18T14:39:11.000Z,2026-07-18T00:00:00.000,,TV,Broadcast,Interference,CA,,,False,public-reference-allegations-unverified
8909336,2026-07-18T16:31:41.000Z,2026-07-18T00:00:00.000,,TV,Cable,Billing,MA,,,False,public-reference-allegations-unverified
8909100,2026-07-18T14:55:33.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,OK,,,False,public-reference-allegations-unverified
8908775,2026-07-18T08:27:34.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,AZ,,,False,public-reference-allegations-unverified
8909713,2026-07-18T18:50:48.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,NJ,,,False,public-reference-allegations-unverified
8909516,2026-07-18T17:33:07.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,NY,Prerecorded Voice,Credit Card Debt Services,False,public-reference-allegations-unverified
8909847,2026-07-18T19:36:31.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,NJ,,,False,public-reference-allegations-unverified
8910598,2026-07-19T02:29:20.000Z,2026-07-18T00:00:00.000,,Radio,Amateur Radio,Equipment,MO,,,False,public-reference-allegations-unverified
8908673,2026-07-18T04:33:21.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,NY,,,False,public-reference-allegations-unverified
8910267,2026-07-18T22:28:15.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,TN,Text Message,Other Services,False,public-reference-allegations-unverified
8909454,2026-07-18T17:13:31.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Availability,TX,,,False,public-reference-allegations-unverified
8909082,2026-07-18T14:49:07.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,FL,,,False,public-reference-allegations-unverified
8909411,2026-07-18T16:52:41.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),WV,,,False,public-reference-allegations-unverified
8909213,2026-07-18T15:46:50.000Z,2026-07-18T00:00:00.000,,TV,Satellite,Availability,CA,,,False,public-reference-allegations-unverified
8910497,2026-07-19T00:45:29.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Billing,CA,,,False,public-reference-allegations-unverified
8908996,2026-07-18T13:53:11.000Z,2026-07-18T00:00:00.000,2026-06-25T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,AZ,Prerecorded Voice,Unknown Services,False,public-reference-allegations-unverified
8910061,2026-07-18T21:02:17.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wired,Unwanted Calls,LA,Live Voice,Other Services,False,public-reference-allegations-unverified
8910087,2026-07-18T21:14:24.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,IL,,,False,public-reference-allegations-unverified
8909559,2026-07-18T17:45:33.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,TX,,,False,public-reference-allegations-unverified
8910414,2026-07-18T23:44:41.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),CA,,,False,public-reference-allegations-unverified
8909687,2026-07-18T18:40:48.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,NY,,,False,public-reference-allegations-unverified
8909378,2026-07-18T16:43:19.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,MI,,,False,public-reference-allegations-unverified
8910623,2026-07-19T02:41:59.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,AZ,,,False,public-reference-allegations-unverified
8909920,2026-07-18T20:07:57.000Z,2026-07-18T00:00:00.000,2026-07-16T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,WA,Text Message,,False,public-reference-allegations-unverified
8910382,2026-07-18T23:29:13.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,NC,Live Voice,,False,public-reference-allegations-unverified
8909234,2026-07-18T15:55:32.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,AR,Text Message,Political Services,False,public-reference-allegations-unverified
8909958,2026-07-18T20:16:46.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Billing,VA,,,False,public-reference-allegations-unverified
8909306,2026-07-18T16:23:33.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,KY,,,False,public-reference-allegations-unverified
8909301,2026-07-18T16:21:09.000Z,2026-07-18T00:00:00.000,,TV,,Availability,OH,,,False,public-reference-allegations-unverified
8909644,2026-07-18T18:23:47.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),DE,,,False,public-reference-allegations-unverified
8908847,2026-07-18T11:36:49.000Z,2026-07-18T00:00:00.000,,TV,Cable,Availability,NJ,,,False,public-reference-allegations-unverified
8909115,2026-07-18T15:00:54.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Interference,NY,,,False,public-reference-allegations-unverified
8909438,2026-07-18T17:05:20.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,VA,Prerecorded Voice,Debt Relief/debt Consolidation Services,False,public-reference-allegations-unverified
8910112,2026-07-18T21:27:11.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,OH,,,False,public-reference-allegations-unverified
8908884,2026-07-18T12:18:41.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,TV,,Indecency,MI,,,False,public-reference-allegations-unverified
8908717,2026-07-18T05:32:25.000Z,2026-07-18T00:00:00.000,,TV,,Availability,PA,,,False,public-reference-allegations-unverified
8908741,2026-07-18T06:47:34.000Z,2026-07-18T00:00:00.000,,Phone,Wired,Number Portability (keeping your number if you change providers),OK,,,False,public-reference-allegations-unverified
8910658,2026-07-19T03:19:36.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,FL,,,False,public-reference-allegations-unverified
8910666,2026-07-19T03:28:49.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8909770,2026-07-18T19:09:09.000Z,2026-07-18T00:00:00.000,2026-07-15T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,MS,,,False,public-reference-allegations-unverified
8910538,2026-07-19T01:26:36.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,VA,,,False,public-reference-allegations-unverified
8909021,2026-07-18T14:18:01.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,MA,,,False,public-reference-allegations-unverified
8909155,2026-07-18T15:27:35.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,UT,,,False,public-reference-allegations-unverified
8909727,2026-07-18T18:54:19.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Billing,OK,,,False,public-reference-allegations-unverified
8910308,2026-07-18T22:43:13.000Z,2026-07-18T00:00:00.000,,Radio,,Equipment,CA,,,False,public-reference-allegations-unverified
8908965,2026-07-18T13:31:15.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8908834,2026-07-18T11:19:58.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Privacy,OR,,,False,public-reference-allegations-unverified
8909197,2026-07-18T15:42:11.000Z,2026-07-18T00:00:00.000,,TV,Broadcast,Interference,FL,,,False,public-reference-allegations-unverified
8909671,2026-07-18T18:35:23.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Billing,PA,,,False,public-reference-allegations-unverified
8909583,2026-07-18T17:57:53.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Billing,PA,,,False,public-reference-allegations-unverified
8910324,2026-07-18T22:53:51.000Z,2026-07-18T00:00:00.000,,Internet,Fiber,Interference,FL,,,False,public-reference-allegations-unverified
8909137,2026-07-18T15:18:26.000Z,2026-07-18T00:00:00.000,,Internet,Wireless,Interference,DC,,,False,public-reference-allegations-unverified
8909395,2026-07-18T16:46:12.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,OR,Text Message,Other Services,False,public-reference-allegations-unverified
8908756,2026-07-18T07:29:30.000Z,2026-07-18T00:00:00.000,,TV,Broadcast,Availability,NY,,,False,public-reference-allegations-unverified
8909461,2026-07-18T17:14:55.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Equipment,AR,,,False,public-reference-allegations-unverified
