year_month,product,price,category
2018-12,鸡蛋,9.21,畜产品
2018-12,草鱼,14.81,水产品
2019-01,大白菜,2.43,叶菜
2019-01,西红柿,5.04,茄果
2019-01,黄瓜,4.57,瓜菜
2019-01,土豆,3.47,根茎
2019-01,白萝卜,2.50,根茎
2019-01,洋葱,3.39,根茎
2019-01,苹果,8.37,水果
2019-01,梨,6.85,水果
2019-01,香蕉,5.66,水果
2019-01,猪肉,23.51,畜产品
2019-01,鸡蛋,8.66,畜产品
2019-01,草鱼,14.06,水产品
2019-02,大白菜,2.58,叶菜
2019-02,西红柿,5.28,茄果
2019-02,黄瓜,4.72,瓜菜
2019-02,土豆,3.51,根茎
2019-02,白萝卜,2.48,根茎
2019-02,洋葱,3.29,根茎
2019-02,苹果,8.00,水果
2019-02,梨,6.47,水果
2019-02,香蕉,5.33,水果
2019-02,猪肉,22.17,畜产品
2019-02,鸡蛋,8.28,畜产品
2019-02,草鱼,13.71,水产品
2019-03,大白菜,2.68,叶菜
2019-03,西红柿,5.41,茄果
2019-03,黄瓜,4.73,瓜菜
2019-03,土豆,3.45,根茎
2019-03,白萝卜,2.40,根茎
2019-03,洋葱,3.13,根茎
2019-03,苹果,7.53,水果
2019-03,梨,6.08,水果
2019-03,香蕉,5.05,水果
2019-03,猪肉,21.33,畜产品
2019-03,鸡蛋,8.15,畜产品
2019-03,草鱼,13.85,水产品
2019-04,大白菜,2.73,叶菜
2019-04,西红柿,5.38,茄果
2019-04,黄瓜,4.61,瓜菜
2019-04,土豆,3.31,根茎
2019-04,白萝卜,2.27,根茎
2019-04,洋葱,2.95,根茎
2019-04,苹果,7.10,水果
2019-04,梨,5.80,水果
2019-04,香蕉,4.91,水果
2019-04,猪肉,21.23,畜产品
2019-04,鸡蛋,8.32,畜产品
2019-04,草鱼,14.45,水产品
2019-05,大白菜,2.69,叶菜
2019-05,西红柿,5.20,茄果
2019-05,黄瓜,4.40,瓜菜
2019-05,土豆,3.12,根茎
2019-05,白萝卜,2.14,根茎
2019-05,洋葱,2.79,根茎
2019-05,苹果,6.81,水果
2019-05,梨,5.69,水果
2019-05,香蕉,4.94,水果
2019-05,猪肉,21.88,畜产品
2019-05,鸡蛋,8.75,畜产品
2019-05,草鱼,15.35,水产品
2019-06,大白菜,2.59,叶菜
2019-06,西红柿,4.93,茄果
2019-06,黄瓜,4.14,瓜菜
2019-06,土豆,2.94,根茎
2019-06,白萝卜,2.04,根茎
2019-06,洋葱,2.71,根茎
2019-06,苹果,6.75,水果
2019-06,梨,5.78,水果
2019-06,香蕉,5.14,水果
2019-06,猪肉,23.12,畜产品
2019-06,鸡蛋,9.31,畜产品
2019-06,草鱼,16.30,水产品
2019-07,大白菜,2.44,叶菜
2019-07,西红柿,4.64,茄果
2019-07,黄瓜,3.91,瓜菜
2019-07,土豆,2.82,根茎
2019-07,白萝卜,1.99,根茎
2019-07,洋葱,2.71,根茎
2019-07,苹果,6.93,水果
2019-07,梨,6.06,水果
2019-07,香蕉,5.45,水果
2019-07,猪肉,24.61,畜产品
2019-07,鸡蛋,9.86,畜产品
2019-07,草鱼,17.06,水产品
2019-08,大白菜,2.30,叶菜
2019-08,西红柿,4.40,茄果
2019-08,黄瓜,3.77,瓜菜
2019-08,土豆,2.78,根茎
2019-08,白萝卜,2.02,根茎
2019-08,洋葱,2.81,根茎
2019-08,苹果,7.31,水果
2019-08,梨,6.45,水果
2019-08,香蕉,5.79,水果
2019-08,猪肉,25.95,畜产品
2019-08,鸡蛋,10.25,畜产品
2019-08,草鱼,17.43,水产品
2019-09,大白菜,2.20,叶菜
2019-09,西红柿,4.28,茄果
2019-09,黄瓜,3.76,瓜菜
2019-09,土豆,2.85,根茎
2019-09,白萝卜,2.11,根茎
2019-09,洋葱,2.98,根茎
2019-09,苹果,7.78,水果
2019-09,梨,6.84,水果
2019-09,香蕉,6.08,水果
2019-09,猪肉,30.90,畜产品
2019-09,鸡蛋,10.38,畜产品
2019-09,草鱼,17.29,水产品
2019-10,大白菜,2.16,叶菜
2019-10,西红柿,4.32,茄果
2019-10,黄瓜,3.89,瓜菜
2019-10,土豆,3.00,根茎
2019-10,白萝卜,2.24,根茎
2019-10,洋葱,3.17,根茎
2019-10,苹果,8.22,水果
2019-10,梨,7.13,水果
2019-10,香蕉,6.23,水果
2019-10,猪肉,31.81,畜产品
2019-10,鸡蛋,10.22,畜产品
2019-10,草鱼,16.70,水产品
2019-11,大白菜,2.21,叶菜
2019-11,西红柿,4.50,茄果
2019-11,黄瓜,4.11,瓜菜
2019-11,土豆,3.19,根茎
2019-11,白萝卜,2.38,根茎
2019-11,洋葱,3.33,根茎
2019-11,苹果,8.52,水果
2019-11,梨,7.25,水果
2019-11,香蕉,6.20,水果
2019-11,猪肉,31.97,畜产品
2019-11,鸡蛋,9.81,畜产品
2019-11,草鱼,15.81,水产品
2019-12,大白菜,2.31,叶菜
2019-12,西红柿,4.77,茄果
2019-12,黄瓜,4.37,瓜菜
2019-12,土豆,3.37,根茎
2019-12,白萝卜,2.49,根茎
2019-12,洋葱,3.42,根茎
2019-12,苹果,8.58,水果
2019-12,梨,7.16,水果
2019-12,香蕉,6.01,水果
2019-12,猪肉,31.54,畜产品
2019-12,鸡蛋,9.25,畜产品
2019-12,草鱼,14.86,水产品
2020-01,大白菜,2.46,叶菜
2020-01,西红柿,5.07,茄果
2020-01,黄瓜,4.61,瓜菜
2020-01,土豆,3.50,根茎
2020-01,白萝卜,2.54,根茎
2020-01,洋葱,3.42,根茎
2020-01,苹果,8.41,水果
2020-01,梨,6.89,水果
2020-01,香蕉,5.71,水果
2020-01,猪肉,30.85,畜产品
2020-01,鸡蛋,8.71,畜产品
2020-01,草鱼,14.11,水产品
2020-02,大白菜,2.61,叶菜
2020-02,西红柿,5.32,茄果
2020-02,黄瓜,4.75,瓜菜
2020-02,土豆,3.55,根茎
2020-02,白萝卜,2.52,根茎
2020-02,洋葱,3.33,根茎
2020-02,苹果,8.04,水果
2020-02,梨,6.51,水果
2020-02,香蕉,5.37,水果
2020-02,猪肉,30.31,畜产品
2020-02,鸡蛋,8.33,畜产品
2020-02,草鱼,13.76,水产品
2020-03,大白菜,2.71,叶菜
2020-03,西红柿,5.44,茄果
2020-03,黄瓜,4.77,瓜菜
2020-03,土豆,3.49,根茎
2020-03,白萝卜,2.43,根茎
2020-03,洋葱,3.17,根茎
2020-03,苹果,7.57,水果
2020-03,梨,6.13,水果
2020-03,香蕉,5.09,水果
2020-03,猪肉,29.48,畜产品
2020-03,鸡蛋,8.20,畜产品
2020-03,草鱼,13.90,水产品
2020-04,大白菜,2.76,叶菜
2020-04,西红柿,5.41,茄果
2020-04,黄瓜,4.65,瓜菜
2020-04,土豆,3.35,根茎
2020-04,白萝卜,2.31,根茎
2020-04,洋葱,2.99,根茎
2020-04,苹果,7.14,水果
2020-04,梨,5.84,水果
2020-04,香蕉,4.95,水果
2020-04,猪肉,28.57,畜产品
2020-04,鸡蛋,8.37,畜产品
2020-04,草鱼,14.50,水产品
2020-05,大白菜,2.72,叶菜
2020-05,西红柿,5.24,茄果
2020-05,黄瓜,4.43,瓜菜
2020-05,土豆,3.16,根茎
2020-05,白萝卜,2.18,根茎
2020-05,洋葱,2.83,根茎
2020-05,苹果,6.85,水果
2020-05,梨,5.73,水果
2020-05,香蕉,4.98,水果
2020-05,猪肉,28.43,畜产品
2020-05,鸡蛋,8.79,畜产品
2020-05,草鱼,15.40,水产品
2020-06,大白菜,2.62,叶菜
2020-06,西红柿,4.96,茄果
2020-06,黄瓜,4.17,瓜菜
2020-06,土豆,2.98,根茎
2020-06,白萝卜,2.07,根茎
2020-06,洋葱,2.74,根茎
2020-06,苹果,6.79,水果
2020-06,梨,5.83,水果
2020-06,香蕉,5.18,水果
2020-06,猪肉,28.86,畜产品
2020-06,鸡蛋,9.35,畜产品
2020-06,草鱼,16.35,水产品
2020-07,大白菜,2.48,叶菜
2020-07,西红柿,4.67,茄果
2020-07,黄瓜,3.94,瓜菜
2020-07,土豆,2.86,根茎
2020-07,白萝卜,2.03,根茎
2020-07,洋葱,2.75,根茎
2020-07,苹果,6.98,水果
2020-07,梨,6.10,水果
2020-07,香蕉,5.49,水果
2020-07,猪肉,29.55,畜产品
2020-07,鸡蛋,9.90,畜产品
2020-07,草鱼,17.11,水产品
2020-08,大白菜,2.33,叶菜
2020-08,西红柿,4.43,茄果
2020-08,黄瓜,3.81,瓜菜
2020-08,土豆,2.82,根茎
2020-08,白萝卜,2.06,根茎
2020-08,洋葱,2.85,根茎
2020-08,苹果,7.35,水果
2020-08,梨,6.49,水果
2020-08,香蕉,5.84,水果
2020-08,猪肉,30.10,畜产品
2020-08,鸡蛋,10.30,畜产品
2020-08,草鱼,17.48,水产品
2020-09,大白菜,2.23,叶菜
2020-09,西红柿,4.32,茄果
2020-09,黄瓜,3.80,瓜菜
2020-09,土豆,2.88,根茎
2020-09,白萝卜,2.15,根茎
2020-09,洋葱,3.02,根茎
2020-09,苹果,7.82,水果
2020-09,梨,6.88,水果
2020-09,香蕉,6.12,水果
2020-09,猪肉,26.84,畜产品
2020-09,鸡蛋,10.43,畜产品
2020-09,草鱼,17.34,水产品
2020-10,大白菜,2.19,叶菜
2020-10,西红柿,4.35,茄果
2020-10,黄瓜,3.92,瓜菜
2020-10,土豆,3.03,根茎
2020-10,白萝卜,2.28,根茎
2020-10,洋葱,3.21,根茎
2020-10,苹果,8.26,水果
2020-10,梨,7.17,水果
2020-10,香蕉,6.27,水果
2020-10,猪肉,26.96,畜产品
2020-10,鸡蛋,10.27,畜产品
2020-10,草鱼,16.75,水产品
2020-11,大白菜,2.24,叶菜
2020-11,西红柿,4.53,茄果
2020-11,黄瓜,4.14,瓜菜
2020-11,土豆,3.22,根茎
2020-11,白萝卜,2.42,根茎
2020-11,洋葱,3.37,根茎
2020-11,苹果,8.56,水果
2020-11,梨,7.29,水果
2020-11,香蕉,6.25,水果
2020-11,猪肉,26.31,畜产品
2020-11,鸡蛋,9.85,畜产品
2020-11,草鱼,15.86,水产品
2020-12,大白菜,2.34,叶菜
2020-12,西红柿,4.80,茄果
2020-12,黄瓜,4.41,瓜菜
2020-12,土豆,3.41,根茎
2020-12,白萝卜,2.52,根茎
2020-12,洋葱,3.46,根茎
2020-12,苹果,8.62,水果
2020-12,梨,7.20,水果
2020-12,香蕉,6.06,水果
2020-12,猪肉,25.08,畜产品
2020-12,鸡蛋,9.30,畜产品
2020-12,草鱼,14.91,水产品
2021-01,大白菜,2.49,叶菜
2021-01,西红柿,5.10,茄果
2021-01,黄瓜,4.64,瓜菜
2021-01,土豆,3.54,根茎
2021-01,白萝卜,2.57,根茎
2021-01,洋葱,3.46,根茎
2021-01,苹果,8.45,水果
2021-01,梨,6.93,水果
2021-01,香蕉,5.75,水果
2021-01,猪肉,23.60,畜产品
2021-01,鸡蛋,8.76,畜产品
2021-01,草鱼,14.16,水产品
2021-02,大白菜,2.64,叶菜
2021-02,西红柿,5.35,茄果
2021-02,黄瓜,4.78,瓜菜
2021-02,土豆,3.58,根茎
2021-02,白萝卜,2.55,根茎
2021-02,洋葱,3.37,根茎
2021-02,苹果,8.08,水果
2021-02,梨,6.55,水果
2021-02,香蕉,5.42,水果
2021-02,猪肉,22.26,畜产品
2021-02,鸡蛋,8.37,畜产品
2021-02,草鱼,13.81,水产品
2021-03,大白菜,2.74,叶菜
2021-03,西红柿,5.47,茄果
2021-03,黄瓜,4.80,瓜菜
2021-03,土豆,3.52,根茎
2021-03,白萝卜,2.47,根茎
2021-03,洋葱,3.21,根茎
2021-03,苹果,7.61,水果
2021-03,梨,6.17,水果
2021-03,香蕉,5.14,水果
2021-03,猪肉,21.43,畜产品
2021-03,鸡蛋,8.25,畜产品
2021-03,草鱼,13.95,水产品
2021-04,大白菜,2.79,叶菜
2021-04,西红柿,5.44,茄果
2021-04,黄瓜,4.68,瓜菜
2021-04,土豆,3.38,根茎
2021-04,白萝卜,2.34,根茎
2021-04,洋葱,3.03,根茎
2021-04,苹果,7.18,水果
2021-04,梨,5.88,水果
2021-04,香蕉,5.00,水果
2021-04,猪肉,21.32,畜产品
2021-04,鸡蛋,8.42,畜产品
2021-04,草鱼,14.55,水产品
2021-05,大白菜,2.75,叶菜
2021-05,西红柿,5.27,茄果
2021-05,黄瓜,4.46,瓜菜
2021-05,土豆,3.19,根茎
2021-05,白萝卜,2.21,根茎
2021-05,洋葱,2.87,根茎
2021-05,苹果,6.90,水果
2021-05,梨,5.77,水果
2021-05,香蕉,5.03,水果
2021-05,猪肉,21.97,畜产品
2021-05,鸡蛋,8.84,畜产品
2021-05,草鱼,15.45,水产品
2021-06,大白菜,2.65,叶菜
2021-06,西红柿,5.00,茄果
2021-06,黄瓜,4.21,瓜菜
2021-06,土豆,3.02,根茎
2021-06,白萝卜,2.11,根茎
2021-06,洋葱,2.78,根茎
2021-06,苹果,6.83,水果
2021-06,梨,5.87,水果
2021-06,香蕉,5.22,水果
2021-06,猪肉,23.21,畜产品
2021-06,鸡蛋,9.40,畜产品
2021-06,草鱼,16.40,水产品
2021-07,大白菜,2.50,叶菜
2021-07,西红柿,4.70,茄果
2021-07,黄瓜,3.98,瓜菜
2021-07,土豆,2.89,根茎
2021-07,白萝卜,2.07,根茎
2021-07,洋葱,2.79,根茎
2021-07,苹果,7.02,水果
2021-07,梨,6.15,水果
2021-07,香蕉,5.54,水果
2021-07,猪肉,24.70,畜产品
2021-07,鸡蛋,9.95,畜产品
2021-07,草鱼,17.16,水产品
2021-08,大白菜,2.36,叶菜
2021-08,西红柿,4.47,茄果
2021-08,黄瓜,3.84,瓜菜
2021-08,土豆,2.86,根茎
2021-08,白萝卜,2.09,根茎
2021-08,洋葱,2.89,根茎
2021-08,苹果,7.39,水果
2021-08,梨,6.53,水果
2021-08,香蕉,5.88,水果
2021-08,猪肉,26.05,畜产品
2021-08,鸡蛋,10.35,畜产品
2021-08,草鱼,17.53,水产品
2021-09,大白菜,2.26,叶菜
2021-09,西红柿,4.35,茄果
2021-09,黄瓜,3.83,瓜菜
2021-09,土豆,2.92,根茎
2021-09,白萝卜,2.18,根茎
2021-09,洋葱,3.06,根茎
2021-09,苹果,7.86,水果
2021-09,梨,6.92,水果
2021-09,香蕉,6.17,水果
2021-09,猪肉,26.89,畜产品
2021-09,鸡蛋,10.48,畜产品
2021-09,草鱼,17.39,水产品
2021-10,大白菜,3.62,叶菜
2021-10,西红柿,4.38,茄果
2021-10,黄瓜,3.95,瓜菜
2021-10,土豆,3.07,根茎
2021-10,白萝卜,2.32,根茎
2021-10,洋葱,3.25,根茎
2021-10,苹果,8.30,水果
2021-10,梨,7.21,水果
2021-10,香蕉,6.32,水果
2021-10,猪肉,27.00,畜产品
2021-10,鸡蛋,10.32,畜产品
2021-10,草鱼,16.80,水产品
2021-11,大白菜,3.67,叶菜
2021-11,西红柿,4.56,茄果
2021-11,黄瓜,4.18,瓜菜
2021-11,土豆,3.26,根茎
2021-11,白萝卜,2.45,根茎
2021-11,洋葱,3.41,根茎
2021-11,苹果,8.60,水果
2021-11,梨,7.33,水果
2021-11,香蕉,6.29,水果
2021-11,猪肉,26.36,畜产品
2021-11,鸡蛋,9.90,畜产品
2021-11,草鱼,15.91,水产品
2021-12,大白菜,2.37,叶菜
2021-12,西红柿,4.84,茄果
2021-12,黄瓜,4.44,瓜菜
2021-12,土豆,3.44,根茎
2021-12,白萝卜,2.56,根茎
2021-12,洋葱,3.50,根茎
2021-12,苹果,8.66,水果
2021-12,梨,7.24,水果
2021-12,香蕉,6.10,水果
2021-12,猪肉,25.13,畜产品
2021-12,鸡蛋,9.35,畜产品
2021-12,草鱼,14.96,水产品
2022-01,大白菜,2.52,叶菜
2022-01,西红柿,5.14,茄果
2022-01,黄瓜,4.67,瓜菜
2022-01,土豆,3.57,根茎
2022-01,白萝卜,2.61,根茎
2022-01,洋葱,3.50,根茎
2022-01,苹果,8.49,水果
2022-01,梨,6.97,水果
2022-01,香蕉,5.80,水果
2022-01,猪肉,23.65,畜产品
2022-01,鸡蛋,8.81,畜产品
2022-01,草鱼,14.21,水产品
2022-02,大白菜,2.67,叶菜
2022-02,西红柿,5.38,茄果
2022-02,黄瓜,4.82,瓜菜
2022-02,土豆,3.62,根茎
2022-02,白萝卜,2.59,根茎
2022-02,洋葱,3.41,根茎
2022-02,苹果,8.12,水果
2022-02,梨,6.60,水果
2022-02,香蕉,5.46,水果
2022-02,猪肉,22.31,畜产品
2022-02,鸡蛋,8.42,畜产品
2022-02,草鱼,13.86,水产品
2022-03,大白菜,2.77,叶菜
2022-03,西红柿,5.50,茄果
2022-03,黄瓜,4.83,瓜菜
2022-03,土豆,3.56,根茎
2022-03,白萝卜,2.51,根茎
2022-03,洋葱,3.25,根茎
2022-03,苹果,7.66,水果
2022-03,梨,6.21,水果
2022-03,香蕉,5.18,水果
2022-03,猪肉,21.47,畜产品
2022-03,鸡蛋,8.30,畜产品
2022-03,草鱼,14.00,水产品
2022-04,大白菜,2.82,叶菜
2022-04,西红柿,5.47,茄果
2022-04,黄瓜,4.71,瓜菜
2022-04,土豆,3.42,根茎
2022-04,白萝卜,2.38,根茎
2022-04,洋葱,3.07,根茎
2022-04,苹果,7.22,水果
2022-04,梨,5.93,水果
2022-04,香蕉,5.04,水果
2022-04,猪肉,21.37,畜产品
2022-04,鸡蛋,8.47,畜产品
2022-04,草鱼,14.60,水产品
2022-05,大白菜,2.78,叶菜
2022-05,西红柿,5.30,茄果
2022-05,黄瓜,4.50,瓜菜
2022-05,土豆,3.23,根茎
2022-05,白萝卜,2.25,根茎
2022-05,洋葱,2.91,根茎
2022-05,苹果,6.94,水果
2022-05,梨,5.82,水果
2022-05,香蕉,5.07,水果
2022-05,猪肉,22.02,畜产品
2022-05,鸡蛋,8.89,畜产品
2022-05,草鱼,15.50,水产品
2022-06,大白菜,2.68,叶菜
2022-06,西红柿,5.03,茄果
2022-06,黄瓜,4.24,瓜菜
2022-06,土豆,3.05,根茎
2022-06,白萝卜,2.15,根茎
2022-06,洋葱,2.82,根茎
2022-06,苹果,6.88,水果
2022-06,梨,5.91,水果
2022-06,香蕉,5.27,水果
2022-06,猪肉,23.26,畜产品
2022-06,鸡蛋,9.45,畜产品
2022-06,草鱼,16.45,水产品
2022-07,大白菜,2.54,叶菜
2022-07,西红柿,4.73,茄果
2022-07,黄瓜,4.01,瓜菜
2022-07,土豆,2.93,根茎
2022-07,白萝卜,2.10,根茎
2022-07,洋葱,2.83,根茎
2022-07,苹果,7.06,水果
2022-07,梨,6.19,水果
2022-07,香蕉,5.58,水果
2022-07,猪肉,24.75,畜产品
2022-07,鸡蛋,10.00,畜产品
2022-07,草鱼,17.21,水产品
2022-08,大白菜,2.39,叶菜
2022-08,西红柿,4.50,茄果
2022-08,黄瓜,3.87,瓜菜
2022-08,土豆,2.89,根茎
2022-08,白萝卜,2.13,根茎
2022-08,洋葱,2.93,根茎
2022-08,苹果,7.43,水果
2022-08,梨,6.57,水果
2022-08,香蕉,5.92,水果
2022-08,猪肉,26.09,畜产品
2022-08,鸡蛋,10.39,畜产品
2022-08,草鱼,17.58,水产品
2022-09,大白菜,2.29,叶菜
2022-09,西红柿,4.38,茄果
2022-09,黄瓜,3.86,瓜菜
2022-09,土豆,2.96,根茎
2022-09,白萝卜,2.22,根茎
2022-09,洋葱,3.09,根茎
2022-09,苹果,7.90,水果
2022-09,梨,6.96,水果
2022-09,香蕉,6.21,水果
2022-09,猪肉,26.94,畜产品
2022-09,鸡蛋,10.53,畜产品
2022-09,草鱼,17.44,水产品
2022-10,大白菜,2.25,叶菜
2022-10,西红柿,4.41,茄果
2022-10,黄瓜,3.99,瓜菜
2022-10,土豆,3.10,根茎
2022-10,白萝卜,2.35,根茎
2022-10,洋葱,3.28,根茎
2022-10,苹果,8.35,水果
2022-10,梨,7.26,水果
2022-10,香蕉,6.36,水果
2022-10,猪肉,27.05,畜产品
2022-10,鸡蛋,10.36,畜产品
2022-10,草鱼,16.85,水产品
2022-11,大白菜,2.30,叶菜
2022-11,西红柿,4.59,茄果
2022-11,黄瓜,4.21,瓜菜
2022-11,土豆,3.29,根茎
2022-11,白萝卜,2.49,根茎
2022-11,洋葱,3.45,根茎
2022-11,苹果,8.64,水果
2022-11,梨,7.37,水果
2022-11,香蕉,6.34,水果
2022-11,猪肉,26.40,畜产品
2022-11,鸡蛋,9.95,畜产品
2022-11,草鱼,15.96,水产品
2022-12,大白菜,2.40,叶菜
2022-12,西红柿,4.87,茄果
2022-12,黄瓜,4.47,瓜菜
2022-12,土豆,3.48,根茎
2022-12,白萝卜,2.60,根茎
2022-12,洋葱,3.54,根茎
2022-12,苹果,8.71,水果
2022-12,梨,7.29,水果
2022-12,香蕉,6.15,水果
2022-12,猪肉,25.17,畜产品
2022-12,鸡蛋,9.40,畜产品
2022-12,草鱼,15.01,水产品
2023-01,大白菜,2.55,叶菜
2023-01,西红柿,5.17,茄果
2023-01,黄瓜,4.71,瓜菜
2023-01,土豆,3.61,根茎
2023-01,白萝卜,2.65,根茎
2023-01,洋葱,3.54,根茎
2023-01,苹果,8.53,水果
2023-01,梨,7.02,水果
2023-01,香蕉,5.84,水果
2023-01,猪肉,23.69,畜产品
2023-01,鸡蛋,8.86,畜产品
2023-01,草鱼,14.26,水产品
2023-02,大白菜,2.70,叶菜
2023-02,西红柿,5.41,茄果
2023-02,黄瓜,4.85,瓜菜
2023-02,土豆,3.65,根茎
2023-02,白萝卜,2.63,根茎
2023-02,洋葱,3.45,根茎
2023-02,苹果,8.16,水果
2023-02,梨,6.64,水果
2023-02,香蕉,5.50,水果
2023-02,猪肉,22.35,畜产品
2023-02,鸡蛋,8.47,畜产品
2023-02,草鱼,13.91,水产品
2023-03,大白菜,2.80,叶菜
2023-03,西红柿,5.53,茄果
2023-03,黄瓜,4.87,瓜菜
2023-03,土豆,3.59,根茎
2023-03,白萝卜,2.54,根茎
2023-03,洋葱,3.29,根茎
2023-03,苹果,7.70,水果
2023-03,梨,6.25,水果
2023-03,香蕉,5.23,水果
2023-03,猪肉,21.52,畜产品
2023-03,鸡蛋,8.34,畜产品
2023-03,草鱼,14.05,水产品
2023-04,大白菜,2.85,叶菜
2023-04,西红柿,5.50,茄果
2023-04,黄瓜,4.75,瓜菜
2023-04,土豆,3.45,根茎
2023-04,白萝卜,2.42,根茎
2023-04,洋葱,3.11,根茎
2023-04,苹果,7.26,水果
2023-04,梨,5.97,水果
2023-04,香蕉,5.08,水果
2023-04,猪肉,21.41,畜产品
2023-04,鸡蛋,8.52,畜产品
2023-04,草鱼,14.65,水产品
2023-05,大白菜,2.81,叶菜
