cycle,cooler,valve,pump,accum,PS2_bar,TS1_C,TS3_C,VS1_mms,CE_pct,CP_kW,FS1_lmin
1549,100,100,0,90,109.59,35.44,38.38,0.563,46.6,2.14,6.7
1550,100,100,0,90,109.6,35.44,38.39,0.564,46.8,2.15,6.68
1551,100,100,0,90,109.61,35.43,38.38,0.56,46.6,2.14,6.7
1552,100,100,0,90,109.59,35.44,38.39,0.56,46.7,2.15,6.69
1553,100,100,0,90,109.62,35.44,38.39,0.561,46.5,2.14,6.68
1554,100,100,0,90,109.58,35.44,38.38,0.556,46.6,2.14,6.69
1555,100,100,0,90,109.56,35.45,38.39,0.562,46.7,2.15,6.69
1556,100,100,0,90,109.59,35.47,38.39,0.555,46.9,2.16,6.68
1557,100,100,0,90,109.59,35.47,38.38,0.556,46.8,2.14,6.68
1558,100,100,0,90,109.59,35.47,38.4,0.563,46.8,2.14,6.69
1559,100,100,0,90,109.59,35.47,38.4,0.564,47,2.15,6.7
1560,100,100,0,90,109.6,35.48,38.4,0.56,47,2.15,6.68
1561,100,100,0,90,109.59,35.5,38.41,0.561,47,2.15,6.7
1562,100,100,0,90,109.6,35.5,38.42,0.567,47,2.15,6.69
1563,100,100,0,90,109.61,35.51,38.42,0.565,46.6,2.14,6.7
1564,100,100,0,90,109.58,35.52,38.42,0.561,46.8,2.15,6.7
1565,100,100,0,90,109.6,35.52,38.43,0.561,46.7,2.14,6.69
1566,100,100,0,90,109.59,35.52,38.43,0.563,46.9,2.15,6.7
1567,100,100,0,90,109.58,35.53,38.43,0.562,46.7,2.14,6.69
1568,100,100,0,90,109.6,35.53,38.43,0.567,46.7,2.14,6.68
1569,100,100,0,90,109.58,35.53,38.44,0.567,47,2.16,6.69
1570,100,100,0,90,109.59,35.55,38.45,0.563,47.2,2.17,6.69
1571,100,100,0,90,109.6,35.55,38.46,0.561,47,2.16,6.67
1572,100,100,0,90,109.58,35.56,38.47,0.56,46.7,2.15,6.7
1573,100,100,0,90,109.59,35.55,38.48,0.56,47,2.16,6.7
1574,100,100,0,90,109.59,35.55,38.48,0.564,46.7,2.16,6.69
1575,100,100,0,90,109.59,35.54,38.48,0.56,46.5,2.15,6.69
1576,100,100,0,90,109.59,35.54,38.49,0.558,46.5,2.15,6.68
1577,100,100,0,90,109.58,35.55,38.48,0.565,46.4,2.15,6.69
1578,100,100,0,90,109.57,35.54,38.48,0.563,46.5,2.15,6.68
1579,100,100,0,90,109.6,35.54,38.49,0.567,46.7,2.16,6.7
1580,100,100,0,90,109.59,35.54,38.48,0.569,46.7,2.16,6.68
1581,100,100,0,90,109.61,35.54,38.49,0.565,47.4,2.18,6.68
1582,100,100,0,90,109.61,35.54,38.47,0.562,46.9,2.17,6.69
1583,100,100,0,90,109.57,35.54,38.47,0.56,46.9,2.17,6.68
1584,100,100,0,90,109.6,35.53,38.46,0.562,46.6,2.15,6.68
1585,100,100,0,90,109.59,35.53,38.46,0.563,46.6,2.15,6.7
1586,100,100,0,90,109.6,35.53,38.45,0.551,46.4,2.14,6.68
1587,100,100,0,90,109.61,35.52,38.45,0.552,46.8,2.16,6.69
1588,100,100,0,90,109.62,35.51,38.45,0.556,46.8,2.16,6.7
1589,100,100,0,90,109.6,35.5,38.44,0.556,46.7,2.16,6.69
1590,100,100,0,90,109.61,35.5,38.43,0.559,46.6,2.15,6.68
1591,100,100,0,90,109.61,35.49,38.42,0.562,46.6,2.15,6.7
1592,100,100,0,90,109.59,35.48,38.42,0.561,46.5,2.14,6.68
1593,100,100,0,90,109.59,35.48,38.42,0.561,46.4,2.14,6.7
1594,100,100,0,90,109.59,35.48,38.43,0.562,46.6,2.15,6.68
1595,100,100,0,90,109.6,35.48,38.42,0.556,46.8,2.16,6.69
1596,100,100,0,90,109.59,35.47,38.41,0.56,46.7,2.15,6.68
1597,100,100,0,90,109.6,35.48,38.41,0.562,46.7,2.15,6.7
1598,100,100,0,90,109.59,35.47,38.42,0.562,46.7,2.15,6.69
1599,100,100,0,90,109.6,35.48,38.41,0.564,46.9,2.17,6.68
1600,100,100,0,90,109.6,35.48,38.4,0.562,46.7,2.15,6.7
1601,100,100,0,90,109.59,35.49,38.41,0.552,46.6,2.15,6.68
1602,100,100,0,90,109.62,35.48,38.4,0.555,46.6,2.15,6.69
1603,100,100,0,90,109.59,35.47,38.41,0.553,46.6,2.15,6.69
1604,100,100,0,90,109.6,35.47,38.41,0.558,46.3,2.13,6.69
1605,100,100,0,90,109.58,35.48,38.4,0.551,46.5,2.14,6.7
1606,100,100,0,90,109.59,35.48,38.4,0.554,46.6,2.15,6.71
1607,100,100,0,90,109.63,35.47,38.41,0.553,46.7,2.16,6.7
1608,100,100,0,90,109.6,35.47,38.41,0.57,46.7,2.16,6.69
1609,100,100,0,90,109.61,35.48,38.41,0.556,46.8,2.16,6.7
1610,100,100,0,90,109.62,35.47,38.4,0.555,46.7,2.16,6.68
1611,100,100,0,90,109.58,35.47,38.4,0.555,46.7,2.16,6.69
1612,100,100,0,90,109.6,35.48,38.4,0.56,46.7,2.15,6.69
1613,100,100,0,90,109.6,35.48,38.39,0.558,46.7,2.15,6.68
1614,100,100,0,90,109.61,35.47,38.4,0.557,46.6,2.15,6.68
1615,100,100,0,90,109.61,35.46,38.4,0.561,46.7,2.16,6.7
1616,100,100,0,90,109.64,35.47,38.4,0.556,46.7,2.16,6.69
1617,100,100,0,90,109.6,35.46,38.39,0.562,47,2.17,6.7
1618,100,100,0,90,109.58,35.46,38.4,0.554,46.8,2.16,6.69
1619,100,100,0,90,109.6,35.45,38.39,0.554,46.7,2.15,6.69
1620,100,100,0,90,109.61,35.45,38.39,0.556,46.9,2.16,6.69
1621,100,100,0,90,109.61,35.46,38.39,0.554,46.6,2.15,6.69
1622,100,100,0,90,109.63,35.45,38.39,0.556,46.6,2.15,6.69
1623,100,100,0,90,109.62,35.44,38.39,0.559,46.7,2.15,6.69
1624,100,100,0,90,109.59,35.44,38.39,0.558,46.9,2.17,6.7
1625,100,100,0,90,109.61,35.44,38.39,0.554,46.6,2.15,6.68
1626,100,100,0,90,109.61,35.43,38.39,0.555,46.7,2.15,6.68
1627,100,100,0,90,109.59,35.43,38.39,0.552,46.7,2.15,6.69
1628,100,100,0,90,109.6,35.44,38.39,0.552,47.1,2.17,6.7
1629,100,100,0,90,109.57,35.43,38.39,0.552,46.9,2.16,6.69
1630,100,100,0,90,109.61,35.42,38.39,0.55,47.1,2.18,6.69
1631,100,100,0,90,109.61,35.42,38.4,0.55,46.7,2.16,6.7
1632,100,100,0,90,109.58,35.41,38.4,0.544,46.9,2.16,6.69
1633,100,100,0,90,109.61,35.4,38.39,0.54,46.9,2.17,6.7
1634,100,100,0,90,109.62,35.41,38.4,0.54,47.1,2.17,6.68
1635,100,100,0,90,109.61,35.41,38.4,0.548,47.1,2.18,6.69
1636,100,100,0,90,109.58,35.4,38.39,0.549,46.9,2.17,6.69
1637,100,100,0,90,109.62,35.42,38.39,0.543,47.1,2.18,6.69
1638,100,100,0,90,109.61,35.42,38.39,0.547,47.2,2.18,6.69
1639,100,100,0,90,109.59,35.42,38.39,0.547,47,2.17,6.68
1640,100,100,0,90,109.6,35.43,38.39,0.547,46.8,2.16,6.7
1641,100,100,0,90,109.59,35.42,38.39,0.55,46.9,2.16,6.7
1642,100,100,0,90,109.62,35.42,38.39,0.553,46.9,2.17,6.69
1643,100,100,0,90,109.61,35.43,38.39,0.558,47,2.17,6.7
1644,100,100,0,90,109.63,35.43,38.39,0.553,47,2.17,6.7
1645,100,100,0,90,109.61,35.44,38.39,0.55,46.7,2.16,6.69
1646,100,100,0,90,109.62,35.44,38.4,0.552,46.7,2.16,6.7
1647,100,100,0,90,109.61,35.45,38.39,0.558,46.7,2.15,6.7
1648,100,100,0,90,109.6,35.46,38.4,0.557,47.2,2.17,6.7
1649,100,100,0,90,109.57,35.48,38.4,0.553,47.1,2.16,6.7
1650,100,100,0,90,109.6,35.5,38.41,0.558,47,2.16,6.7
1651,100,100,0,90,109.59,35.51,38.41,0.551,46.9,2.15,6.7
1652,100,100,0,90,109.58,35.51,38.43,0.555,47,2.16,6.69
1653,100,100,0,90,109.58,35.51,38.44,0.563,47.1,2.17,6.69
1654,100,100,0,90,109.6,35.52,38.44,0.557,47.2,2.16,6.68
1655,100,100,0,90,109.58,35.53,38.45,0.563,47.4,2.17,6.68
1656,100,100,0,90,109.58,35.53,38.45,0.562,47.2,2.16,6.7
1657,100,100,0,90,109.57,35.54,38.45,0.55,46.9,2.15,6.68
1658,100,100,0,90,109.57,35.54,38.49,0.554,47.1,2.16,6.7
1659,100,100,0,90,109.57,35.54,38.5,0.547,47.1,2.16,6.7
1660,100,100,0,90,109.59,35.54,38.5,0.55,47.1,2.16,6.68
1661,100,100,0,90,109.56,35.55,38.5,0.542,47.1,2.16,6.69
1662,100,100,0,90,109.56,35.55,38.51,0.538,47.1,2.16,6.68
1663,100,100,0,90,109.56,35.57,38.51,0.545,47.2,2.16,6.69
1664,100,100,0,130,109.73,35.54,38.5,0.538,47.2,2.16,6.7
1665,100,100,0,130,109.74,35.56,38.5,0.538,47.3,2.16,6.7
1666,100,100,0,130,109.72,35.57,38.5,0.552,47.4,2.16,6.69
1667,100,100,0,130,109.69,35.58,38.51,0.545,47.4,2.16,6.71
1668,100,100,0,130,109.7,35.59,38.52,0.547,47.4,2.16,6.71
1669,100,100,0,130,109.71,35.6,38.55,0.55,47.5,2.17,6.71
1670,100,100,0,130,109.71,35.59,38.56,0.55,47.4,2.17,6.72
1671,100,100,0,130,109.72,35.61,38.56,0.552,47.3,2.17,6.7
1672,100,100,0,130,109.72,35.62,38.56,0.552,47.3,2.18,6.72
1673,100,100,0,130,109.68,35.65,38.56,0.551,47.1,2.17,6.71
1674,100,100,2,130,109.22,35.63,38.56,0.548,46.9,2.16,6.45
1675,100,73,2,130,108.67,35.6,38.5,0.551,47,2.16,6.39
1676,100,73,2,130,108.67,35.59,38.49,0.55,47,2.16,6.4
1677,100,73,2,130,108.68,35.57,38.49,0.542,47,2.16,6.4
1678,100,73,2,130,108.66,35.58,38.48,0.547,47,2.16,6.4
1679,100,73,2,130,108.67,35.57,38.49,0.543,47,2.16,6.39
1680,100,73,2,130,108.65,35.58,38.49,0.551,47,2.16,6.39
1681,100,73,2,130,108.67,35.62,38.49,0.561,47.2,2.15,6.39
1682,100,73,2,130,108.68,35.63,38.5,0.55,47.1,2.15,6.39
1683,100,73,2,130,108.65,35.64,38.52,0.554,47.4,2.16,6.39
1684,100,73,2,130,108.68,35.65,38.54,0.551,47.2,2.17,6.39
1685,100,80,2,130,108.9,35.65,38.56,0.551,47.2,2.17,6.42
1686,100,80,2,130,108.91,35.67,38.56,0.546,47,2.16,6.42
1687,100,80,2,130,108.9,35.66,38.55,0.546,46.9,2.16,6.42
1688,100,80,2,130,108.93,35.66,38.56,0.546,47,2.17,6.42
1689,100,80,2,130,108.92,35.66,38.55,0.541,47.2,2.17,6.42
1690,100,80,2,130,108.9,35.66,38.56,0.546,47.3,2.18,6.42
1691,100,80,2,130,108.92,35.67,38.56,0.538,47.4,2.18,6.42
1692,100,80,2,130,108.91,35.67,38.56,0.542,47.4,2.18,6.41
1693,100,80,2,130,108.91,35.68,38.56,0.545,47.3,2.17,6.41
1694,100,80,2,130,108.93,35.68,38.56,0.549,47.4,2.18,6.42
1695,100,90,2,130,109.13,35.69,38.58,0.539,47.5,2.18,6.43
1696,100,90,2,130,109.13,35.69,38.57,0.539,47.5,2.18,6.43
1697,100,90,2,130,109.11,35.69,38.57,0.54,47.5,2.18,6.43
1698,100,90,2,130,109.14,35.71,38.59,0.536,47.5,2.18,6.43
1699,100,90,2,130,109.11,35.71,38.59,0.538,47.8,2.18,6.43
1700,100,90,2,130,109.11,35.7,38.6,0.533,47.9,2.19,6.43
1701,100,90,2,130,109.09,35.7,38.61,0.542,47.9,2.19,6.43
1702,100,90,2,130,109.07,35.71,38.6,0.543,47.6,2.17,6.42
1703,100,90,2,130,109.1,35.71,38.61,0.539,47.8,2.19,6.43
1704,100,90,2,130,109.11,35.71,38.62,0.532,47.6,2.18,6.43
1705,100,100,2,130,109.25,35.72,38.62,0.537,47.2,2.17,6.44
1706,100,100,2,130,109.24,35.72,38.61,0.535,47.9,2.19,6.43
1707,100,100,2,130,109.25,35.74,38.61,0.53,47.9,2.19,6.43
1708,100,100,2,130,109.26,35.74,38.62,0.534,47.6,2.18,6.43
1709,100,100,2,130,109.22,35.74,38.62,0.537,47.2,2.16,6.42
1710,100,100,2,130,109.25,35.74,38.62,0.533,47.1,2.15,6.43
1711,100,100,2,130,109.25,35.75,38.63,0.538,47.8,2.19,6.43
1712,100,100,2,130,109.25,35.75,38.63,0.536,47.8,2.19,6.44
1713,100,100,2,130,109.27,35.76,38.63,0.54,47.3,2.16,6.43
1714,100,100,2,130,109.25,35.78,38.65,0.539,47.4,2.17,6.43
1715,100,100,1,130,109.42,35.79,38.66,0.543,47.1,2.16,6.53
1716,100,73,1,130,108.83,35.8,38.67,0.538,47.1,2.16,6.48
1717,100,73,1,130,108.85,35.81,38.67,0.535,47.4,2.17,6.48
1718,100,73,1,130,108.85,35.83,38.71,0.533,47.5,2.17,6.49
1719,100,73,1,130,108.83,35.85,38.72,0.533,47.2,2.16,6.49
1720,100,73,1,130,108.83,35.86,38.73,0.539,47.3,2.16,6.48
1721,100,73,1,130,108.82,35.87,38.74,0.54,47.1,2.16,6.49
1722,100,73,1,130,108.86,35.88,38.75,0.539,47.3,2.16,6.48
1723,100,73,1,130,108.81,35.89,38.75,0.531,47.3,2.16,6.49
1724,100,73,1,130,108.85,35.89,38.75,0.643,47.4,2.17,6.48
1725,100,73,1,130,108.85,35.86,38.74,0.529,47.4,2.17,6.49
1726,100,80,1,130,109.06,35.87,38.74,0.532,47.1,2.16,6.51
1727,100,80,1,130,109.06,35.87,38.75,0.537,47.2,2.15,6.51
1728,100,80,1,130,109.05,35.88,38.74,0.538,47.2,2.16,6.5
1729,100,80,1,130,109.07,35.89,38.76,0.534,47.4,2.16,6.51
1730,100,80,1,130,109.08,35.9,38.78,0.539,47.3,2.16,6.51
1731,100,80,1,130,109.05,35.9,38.8,0.543,47.3,2.17,6.5
1732,100,80,1,130,109.06,35.91,38.8,0.546,47.3,2.17,6.51
1733,100,80,1,130,109.06,35.91,38.8,0.543,47.3,2.17,6.51
1734,100,80,1,130,109.07,35.92,38.8,0.551,47.6,2.17,6.51
1735,100,80,1,130,109.06,35.94,38.81,0.539,47.5,2.17,6.51
1736,100,90,1,130,109.28,35.94,38.81,0.544,47.4,2.17,6.53
1737,100,90,1,130,109.28,35.95,38.8,0.546,47.3,2.17,6.53
1738,100,90,1,130,109.25,35.94,38.81,0.546,47.5,2.17,6.53
1739,100,90,1,130,109.26,35.94,38.81,0.543,47.2,2.16,6.52
1740,100,90,1,130,109.28,35.94,38.8,0.542,47.4,2.17,6.52
1741,100,90,1,130,109.24,35.96,38.8,0.543,47.6,2.17,6.52
1742,100,90,1,130,109.24,35.96,38.81,0.547,47.4,2.16,6.52
1743,100,90,1,130,109.24,35.97,38.82,0.544,47.6,2.17,6.52
1744,100,90,1,130,109.26,35.96,38.82,0.545,47.7,2.18,6.52
1745,100,90,1,130,109.26,35.97,38.81,0.547,47.5,2.16,6.52
1746,100,100,1,130,109.38,35.96,38.82,0.553,47.6,2.17,6.53
1747,100,100,1,130,109.42,35.97,38.84,0.55,47.3,2.16,6.53
1748,100,100,1,130,109.42,35.98,38.83,0.553,47.3,2.16,6.54
1749,100,100,1,130,109.42,35.97,38.83,0.549,47.1,2.15,6.52
1750,100,100,1,130,109.39,35.99,38.84,0.553,47.3,2.16,6.51
1751,100,100,1,130,109.41,35.98,38.83,0.547,47.5,2.16,6.52
1752,100,100,1,130,109.38,35.99,38.84,0.557,47.3,2.16,6.53
1753,100,100,1,130,109.38,35.98,38.84,0.548,47.4,2.16,6.52
1754,100,100,1,130,109.38,36.01,38.84,0.554,47.4,2.16,6.53
1755,100,100,1,130,109.41,36.01,38.85,0.549,47.6,2.16,6.52
1756,100,100,0,130,109.66,36.03,38.85,0.551,47.8,2.17,6.71
1757,100,73,0,130,109.05,36.03,38.9,0.544,47.7,2.17,6.67
1758,100,73,0,130,109.05,36.05,38.91,0.557,47.7,2.17,6.66
1759,100,73,0,130,109.07,36.08,38.92,0.551,47.5,2.16,6.66
1760,100,73,0,130,109.04,36.09,38.94,0.549,47.5,2.17,6.66
1761,100,73,0,130,109.04,36.11,38.95,0.548,47.4,2.16,6.67
1762,100,73,0,130,109.03,36.12,38.97,0.551,47.3,2.16,6.66
1763,100,73,0,130,109.04,36.12,38.98,0.555,47.3,2.16,6.67
1764,100,73,0,130,109.07,36.12,39.01,0.544,47.5,2.17,6.66
1765,100,73,0,130,109.08,36.14,39.02,0.548,47.6,2.17,6.67
1766,100,73,0,130,109.07,36.15,39.02,0.558,47.4,2.16,6.66
1767,100,80,0,130,109.32,36.17,39.03,0.55,47.5,2.16,6.7
1768,100,80,0,130,109.3,36.16,39.05,0.548,47.4,2.16,6.69
1769,100,80,0,130,109.3,36.17,39.06,0.549,47.6,2.17,6.7
1770,100,80,0,130,109.3,36.18,39.06,0.557,47.5,2.17,6.7
1771,100,80,0,130,109.3,36.18,39.05,0.557,47.4,2.16,6.69
1772,100,80,0,130,109.32,36.19,39.05,0.546,47.3,2.16,6.69
1773,100,80,0,130,109.31,36.19,39.07,0.553,47.2,2.17,6.69
1774,100,80,0,130,109.3,36.19,39.07,0.547,47.2,2.16,6.69
1775,100,80,0,130,109.3,36.21,39.08,0.546,47.2,2.16,6.69
1776,100,80,0,130,109.28,36.2,39.08,0.545,47.5,2.17,6.69
1777,100,90,0,130,109.49,36.23,39.08,0.544,47.5,2.17,6.71
1778,100,90,0,130,109.51,36.23,39.08,0.548,47.5,2.17,6.71
1779,100,90,0,130,109.48,36.24,39.09,0.547,47.6,2.17,6.71
1780,100,90,0,130,109.46,36.24,39.1,0.549,47.6,2.18,6.71
1781,100,90,0,130,109.48,36.23,39.12,0.55,47.7,2.18,6.71
1782,100,90,0,130,109.47,36.23,39.12,0.557,47.6,2.18,6.71
1783,100,90,0,130,109.5,36.24,39.12,0.552,47.7,2.18,6.71
1784,100,90,0,130,109.51,36.23,39.13,0.543,47.5,2.18,6.71
1785,100,90,0,130,109.49,36.21,39.14,0.55,47.6,2.17,6.7
1786,100,90,0,130,109.48,36.24,39.12,0.55,47.8,2.18,6.71
1787,100,100,0,130,109.64,36.26,39.14,0.551,47.8,2.18,6.7
1788,100,100,0,130,109.63,36.26,39.13,0.558,47.6,2.17,6.72
1789,100,100,0,130,109.62,36.26,39.14,0.545,47.7,2.17,6.71
1790,100,100,0,130,109.63,36.26,39.14,0.55,47.6,2.17,6.71
1791,100,100,0,130,109.62,36.27,39.16,0.558,47.9,2.17,6.72
1792,100,100,0,130,109.6,36.29,39.17,0.554,47.8,2.17,6.69
1793,100,100,0,130,109.61,36.3,39.17,0.555,47.6,2.17,6.7
1794,100,100,0,130,109.6,36.31,39.17,0.555,47.5,2.16,6.71
1795,100,100,0,130,109.62,36.3,39.19,0.546,47.4,2.17,6.7
1796,100,100,0,130,109.61,36.31,39.18,0.549,47.3,2.16,6.71
1797,100,100,0,115,109.51,36.26,39.18,0.544,47.3,2.16,6.71
1798,100,100,0,115,109.52,36.27,39.17,0.542,47.3,2.16,6.7
1799,100,100,0,115,109.51,36.28,39.17,0.552,47.3,2.16,6.69
1800,100,100,0,115,109.51,36.28,39.17,0.55,47.3,2.16,6.69
1801,100,100,0,115,109.5,36.28,39.15,0.55,47.2,2.15,6.7
1802,100,100,0,115,109.49,36.3,39.16,0.547,47.3,2.16,6.69
1803,100,100,0,115,109.5,36.29,39.16,0.546,47.2,2.16,6.69
1804,100,100,0,115,109.52,36.29,39.19,0.544,47.4,2.17,6.7
1805,100,100,0,115,109.54,36.3,39.2,0.547,47.2,2.16,6.69
1806,100,100,0,115,109.52,36.32,39.21,0.544,47.1,2.16,6.7
1807,100,100,2,115,109.05,36.3,39.18,0.539,47.2,2.15,6.43
1808,100,73,2,115,108.43,36.26,39.12,0.549,47.2,2.14,6.39
1809,100,73,2,115,108.46,36.24,39.09,0.544,47.3,2.14,6.38
1810,100,73,2,115,108.45,36.21,39.08,0.545,46.9,2.13,6.38
1811,100,73,2,115,108.43,36.19,39.08,0.546,47.2,2.13,6.38
1812,100,73,2,115,108.41,36.19,39.08,0.549,47.2,2.13,6.38
1813,100,73,2,115,108.42,36.19,39.08,0.545,47.2,2.14,6.37
1814,100,73,2,115,108.44,36.19,39.08,0.553,46.8,2.13,6.37
1815,100,73,2,115,108.45,36.19,39.09,0.547,47,2.14,6.38
1816,100,73,2,115,108.44,36.19,39.09,0.549,46.8,2.12,6.38
1817,100,73,2,115,108.44,36.22,39.09,0.542,46.9,2.13,6.38
1818,100,80,2,115,108.68,36.23,39.12,0.541,46.9,2.12,6.4
1819,100,80,2,115,108.68,36.23,39.14,0.549,47,2.13,6.41
1820,100,80,2,115,108.69,36.26,39.14,0.543,46.9,2.12,6.41
