task_id,received_at,category,subcategory,province,city,channel,priority,external_lookup_scenario,routing_queue,evidence_complete,allegation_verified,aggregate_anchor,aggregate_share,data_nature
CN-TEL-2025Q2-0014,2025-07-01T10:23:00,资费争议,合约套餐变更,陕西,西安,运营商应用,关注,committed_response_lost,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0015,2025-07-01T10:34:00,资费争议,账单明细异议,辽宁,沈阳,线下营业厅,高,effect_status_unknown,辽宁服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0016,2025-07-01T10:45:00,资费争议,流量超套计费,福建,福州,互联网服务入口,常规,not_committed,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0017,2025-07-01T10:56:00,资费争议,合约套餐变更,四川,成都,企业客服热线,关注,committed_response_lost,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0018,2025-07-01T11:07:00,资费争议,账单明细异议,广东,广州,运营商应用,高,effect_status_unknown,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0019,2025-07-01T11:18:00,资费争议,流量超套计费,河南,郑州,线下营业厅,常规,not_committed,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0020,2025-07-01T11:29:00,资费争议,合约套餐变更,湖北,武汉,互联网服务入口,关注,committed_response_lost,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0021,2025-07-01T11:40:00,资费争议,账单明细异议,浙江,杭州,企业客服热线,高,effect_status_unknown,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0022,2025-07-01T11:51:00,资费争议,流量超套计费,陕西,西安,运营商应用,常规,not_committed,陕西服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0023,2025-07-01T12:02:00,资费争议,合约套餐变更,辽宁,沈阳,线下营业厅,关注,committed_response_lost,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0024,2025-07-01T12:13:00,资费争议,账单明细异议,福建,福州,互联网服务入口,高,effect_status_unknown,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0025,2025-07-01T12:24:00,资费争议,流量超套计费,四川,成都,企业客服热线,常规,not_committed,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0026,2025-07-01T12:35:00,资费争议,合约套餐变更,广东,广州,运营商应用,关注,committed_response_lost,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0027,2025-07-01T12:46:00,资费争议,账单明细异议,河南,郑州,线下营业厅,高,effect_status_unknown,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0028,2025-07-01T12:57:00,资费争议,流量超套计费,湖北,武汉,互联网服务入口,常规,not_committed,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0029,2025-07-01T13:08:00,资费争议,合约套餐变更,浙江,杭州,企业客服热线,关注,committed_response_lost,浙江服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0030,2025-07-01T13:19:00,资费争议,账单明细异议,陕西,西安,运营商应用,高,effect_status_unknown,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0031,2025-07-01T13:30:00,资费争议,流量超套计费,辽宁,沈阳,线下营业厅,常规,not_committed,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0032,2025-07-01T13:41:00,资费争议,合约套餐变更,福建,福州,互联网服务入口,关注,committed_response_lost,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0033,2025-07-01T13:52:00,资费争议,账单明细异议,四川,成都,企业客服热线,高,effect_status_unknown,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0034,2025-07-01T14:03:00,资费争议,流量超套计费,广东,广州,运营商应用,常规,not_committed,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0035,2025-07-01T14:14:00,资费争议,合约套餐变更,河南,郑州,线下营业厅,关注,committed_response_lost,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0036,2025-07-01T14:25:00,资费争议,账单明细异议,湖北,武汉,互联网服务入口,高,effect_status_unknown,湖北服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0037,2025-07-01T14:36:00,资费争议,流量超套计费,浙江,杭州,企业客服热线,常规,not_committed,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0038,2025-07-01T14:47:00,资费争议,合约套餐变更,陕西,西安,运营商应用,关注,committed_response_lost,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0039,2025-07-01T14:58:00,资费争议,账单明细异议,辽宁,沈阳,线下营业厅,高,effect_status_unknown,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0040,2025-07-01T15:09:00,资费争议,流量超套计费,福建,福州,互联网服务入口,常规,not_committed,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0041,2025-07-01T15:20:00,资费争议,合约套餐变更,四川,成都,企业客服热线,关注,committed_response_lost,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0042,2025-07-01T15:31:00,资费争议,账单明细异议,广东,广州,运营商应用,高,effect_status_unknown,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0043,2025-07-01T15:42:00,资费争议,流量超套计费,河南,郑州,线下营业厅,常规,not_committed,河南服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0044,2025-07-01T15:53:00,资费争议,合约套餐变更,湖北,武汉,互联网服务入口,关注,committed_response_lost,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0045,2025-07-01T16:04:00,资费争议,账单明细异议,浙江,杭州,企业客服热线,高,effect_status_unknown,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0046,2025-07-01T16:15:00,资费争议,流量超套计费,陕西,西安,运营商应用,常规,not_committed,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0047,2025-07-01T16:26:00,资费争议,合约套餐变更,辽宁,沈阳,线下营业厅,关注,committed_response_lost,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0048,2025-07-01T16:37:00,资费争议,账单明细异议,福建,福州,互联网服务入口,高,effect_status_unknown,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0049,2025-07-01T16:48:00,资费争议,流量超套计费,四川,成都,企业客服热线,常规,not_committed,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0050,2025-07-01T16:59:00,资费争议,合约套餐变更,广东,广州,运营商应用,关注,committed_response_lost,广东服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0051,2025-07-01T17:10:00,资费争议,账单明细异议,河南,郑州,线下营业厅,高,effect_status_unknown,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0052,2025-07-01T17:21:00,资费争议,流量超套计费,湖北,武汉,互联网服务入口,常规,not_committed,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0053,2025-07-01T17:32:00,资费争议,合约套餐变更,浙江,杭州,企业客服热线,关注,committed_response_lost,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0054,2025-07-01T17:43:00,资费争议,账单明细异议,陕西,西安,运营商应用,高,effect_status_unknown,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0055,2025-07-01T17:54:00,资费争议,流量超套计费,辽宁,沈阳,线下营业厅,常规,not_committed,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0056,2025-07-01T18:05:00,资费争议,合约套餐变更,福建,福州,互联网服务入口,关注,committed_response_lost,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0057,2025-07-01T18:16:00,资费争议,账单明细异议,四川,成都,企业客服热线,高,effect_status_unknown,四川服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0058,2025-07-01T18:27:00,资费争议,流量超套计费,广东,广州,运营商应用,常规,not_committed,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0059,2025-07-01T18:38:00,资费争议,合约套餐变更,河南,郑州,线下营业厅,关注,committed_response_lost,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0060,2025-07-01T18:49:00,资费争议,账单明细异议,湖北,武汉,互联网服务入口,高,effect_status_unknown,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0061,2025-07-01T19:00:00,资费争议,流量超套计费,浙江,杭州,企业客服热线,常规,not_committed,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0062,2025-07-01T19:11:00,资费争议,合约套餐变更,陕西,西安,运营商应用,关注,committed_response_lost,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0063,2025-07-01T19:22:00,资费争议,账单明细异议,辽宁,沈阳,线下营业厅,高,effect_status_unknown,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0064,2025-07-01T19:33:00,资费争议,流量超套计费,福建,福州,互联网服务入口,常规,not_committed,福建服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0065,2025-07-01T19:44:00,资费争议,合约套餐变更,四川,成都,企业客服热线,关注,committed_response_lost,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0066,2025-07-01T19:55:00,资费争议,账单明细异议,广东,广州,运营商应用,高,effect_status_unknown,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0067,2025-07-01T20:06:00,资费争议,流量超套计费,河南,郑州,线下营业厅,常规,not_committed,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0068,2025-07-01T20:17:00,资费争议,合约套餐变更,湖北,武汉,互联网服务入口,关注,committed_response_lost,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0069,2025-07-01T20:28:00,资费争议,账单明细异议,浙江,杭州,企业客服热线,高,effect_status_unknown,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0070,2025-07-01T20:39:00,资费争议,流量超套计费,陕西,西安,运营商应用,常规,not_committed,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0071,2025-07-01T20:50:00,资费争议,合约套餐变更,辽宁,沈阳,线下营业厅,关注,committed_response_lost,辽宁服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0072,2025-07-01T21:01:00,资费争议,账单明细异议,福建,福州,互联网服务入口,高,effect_status_unknown,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0073,2025-07-01T21:12:00,资费争议,流量超套计费,四川,成都,企业客服热线,常规,not_committed,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0074,2025-07-01T21:23:00,资费争议,合约套餐变更,广东,广州,运营商应用,关注,committed_response_lost,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0075,2025-07-01T21:34:00,资费争议,账单明细异议,河南,郑州,线下营业厅,高,effect_status_unknown,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0076,2025-07-01T21:45:00,资费争议,流量超套计费,湖北,武汉,互联网服务入口,常规,not_committed,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0077,2025-07-01T21:56:00,资费争议,合约套餐变更,浙江,杭州,企业客服热线,关注,committed_response_lost,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0078,2025-07-01T22:07:00,资费争议,账单明细异议,陕西,西安,运营商应用,高,effect_status_unknown,陕西服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0079,2025-07-01T22:18:00,资费争议,流量超套计费,辽宁,沈阳,线下营业厅,常规,not_committed,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0080,2025-07-01T22:29:00,资费争议,合约套餐变更,福建,福州,互联网服务入口,关注,committed_response_lost,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0081,2025-07-01T22:40:00,资费争议,账单明细异议,四川,成都,企业客服热线,高,effect_status_unknown,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0082,2025-07-01T22:51:00,资费争议,流量超套计费,广东,广州,运营商应用,常规,not_committed,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0083,2025-07-01T23:02:00,资费争议,合约套餐变更,河南,郑州,线下营业厅,关注,committed_response_lost,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0084,2025-07-01T23:13:00,资费争议,账单明细异议,湖北,武汉,互联网服务入口,高,effect_status_unknown,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0085,2025-07-01T23:24:00,资费争议,流量超套计费,浙江,杭州,企业客服热线,常规,not_committed,浙江服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0086,2025-07-01T23:35:00,资费争议,合约套餐变更,陕西,西安,运营商应用,关注,committed_response_lost,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0087,2025-07-01T23:46:00,资费争议,账单明细异议,辽宁,沈阳,线下营业厅,高,effect_status_unknown,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0088,2025-07-01T23:57:00,资费争议,流量超套计费,福建,福州,互联网服务入口,常规,not_committed,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0089,2025-07-02T00:08:00,资费争议,合约套餐变更,四川,成都,企业客服热线,关注,committed_response_lost,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0090,2025-07-02T00:19:00,资费争议,账单明细异议,广东,广州,运营商应用,高,effect_status_unknown,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0091,2025-07-02T00:30:00,资费争议,流量超套计费,河南,郑州,线下营业厅,常规,not_committed,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0092,2025-07-02T00:41:00,资费争议,合约套餐变更,湖北,武汉,互联网服务入口,关注,committed_response_lost,湖北服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0093,2025-07-02T00:52:00,资费争议,账单明细异议,浙江,杭州,企业客服热线,高,effect_status_unknown,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0094,2025-07-02T01:03:00,资费争议,流量超套计费,陕西,西安,运营商应用,常规,not_committed,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0095,2025-07-02T01:14:00,资费争议,合约套餐变更,辽宁,沈阳,线下营业厅,关注,committed_response_lost,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0096,2025-07-02T01:25:00,资费争议,账单明细异议,福建,福州,互联网服务入口,高,effect_status_unknown,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0097,2025-07-02T01:36:00,资费争议,流量超套计费,四川,成都,企业客服热线,常规,not_committed,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0098,2025-07-02T01:47:00,资费争议,合约套餐变更,广东,广州,运营商应用,关注,committed_response_lost,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0099,2025-07-02T01:58:00,资费争议,账单明细异议,河南,郑州,线下营业厅,高,effect_status_unknown,河南服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0100,2025-07-02T02:09:00,资费争议,流量超套计费,湖北,武汉,互联网服务入口,常规,not_committed,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0101,2025-07-02T02:20:00,资费争议,合约套餐变更,浙江,杭州,企业客服热线,关注,committed_response_lost,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0102,2025-07-02T02:31:00,资费争议,账单明细异议,陕西,西安,运营商应用,高,effect_status_unknown,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0103,2025-07-02T02:42:00,资费争议,流量超套计费,辽宁,沈阳,线下营业厅,常规,not_committed,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0104,2025-07-02T02:53:00,资费争议,合约套餐变更,福建,福州,互联网服务入口,关注,committed_response_lost,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0105,2025-07-02T03:04:00,资费争议,账单明细异议,四川,成都,企业客服热线,高,effect_status_unknown,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0106,2025-07-02T03:15:00,资费争议,流量超套计费,广东,广州,运营商应用,常规,not_committed,广东服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0107,2025-07-02T03:26:00,资费争议,合约套餐变更,河南,郑州,线下营业厅,关注,committed_response_lost,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0108,2025-07-02T03:37:00,资费争议,账单明细异议,湖北,武汉,互联网服务入口,高,effect_status_unknown,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0109,2025-07-02T03:48:00,资费争议,流量超套计费,浙江,杭州,企业客服热线,常规,not_committed,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0110,2025-07-02T03:59:00,资费争议,合约套餐变更,陕西,西安,运营商应用,关注,committed_response_lost,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0111,2025-07-02T04:10:00,资费争议,账单明细异议,辽宁,沈阳,线下营业厅,高,effect_status_unknown,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0112,2025-07-02T04:21:00,资费争议,流量超套计费,福建,福州,互联网服务入口,常规,not_committed,福建服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0113,2025-07-02T04:32:00,资费争议,合约套餐变更,四川,成都,企业客服热线,关注,committed_response_lost,四川服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0114,2025-07-02T04:43:00,资费争议,账单明细异议,广东,广州,运营商应用,高,effect_status_unknown,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0115,2025-07-02T04:54:00,资费争议,流量超套计费,河南,郑州,线下营业厅,常规,not_committed,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0116,2025-07-02T05:05:00,资费争议,合约套餐变更,湖北,武汉,互联网服务入口,关注,committed_response_lost,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0117,2025-07-02T05:16:00,资费争议,账单明细异议,浙江,杭州,企业客服热线,高,effect_status_unknown,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0118,2025-07-02T05:27:00,资费争议,流量超套计费,陕西,西安,运营商应用,常规,not_committed,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0119,2025-07-02T05:38:00,资费争议,合约套餐变更,辽宁,沈阳,线下营业厅,关注,committed_response_lost,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0120,2025-07-02T05:49:00,资费争议,账单明细异议,福建,福州,互联网服务入口,高,effect_status_unknown,福建服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0121,2025-07-02T06:00:00,资费争议,流量超套计费,四川,成都,企业客服热线,常规,not_committed,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0122,2025-07-02T06:11:00,资费争议,合约套餐变更,广东,广州,运营商应用,关注,committed_response_lost,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0123,2025-07-02T06:22:00,资费争议,账单明细异议,河南,郑州,线下营业厅,高,effect_status_unknown,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0124,2025-07-02T06:33:00,资费争议,流量超套计费,湖北,武汉,互联网服务入口,常规,not_committed,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
