application_id,application_at,observation_cutoff,province_code,province_name,city_code,city_name,customer_segment,channel,requested_amount_fen,declared_income_band,identity_verification_status,income_evidence_status,consent_status,application_consistency,internal_repayment_months,recent_overdue_days,debt_service_ratio_bps,data_nature
CR20260000042,2026-04-02T16:54:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3656598,8000-11999,verified,missing,confirmed,consistent,,,4356,deterministic_synthetic
CR20260000043,2026-04-02T17:41:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3736517,12000+,verified,missing,confirmed,consistent,,,4357,deterministic_synthetic
CR20260000044,2026-04-02T18:28:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3816436,3000-4999,verified,missing,confirmed,consistent,,,4358,deterministic_synthetic
CR20260000045,2026-04-02T19:15:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3896355,5000-7999,verified,missing,confirmed,consistent,,,4359,deterministic_synthetic
CR20260000046,2026-04-02T20:02:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3976274,8000-11999,verified,missing,confirmed,consistent,,,4360,deterministic_synthetic
CR20260000047,2026-04-02T20:49:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4056193,12000+,verified,missing,confirmed,consistent,,,4361,deterministic_synthetic
CR20260000048,2026-04-02T21:36:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4136112,3000-4999,verified,missing,confirmed,consistent,,,4362,deterministic_synthetic
CR20260000049,2026-04-02T22:23:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4216031,5000-7999,pending,complete,confirmed,consistent,,,4363,deterministic_synthetic
CR20260000050,2026-04-02T23:10:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4295950,8000-11999,pending,complete,confirmed,consistent,,,4364,deterministic_synthetic
CR20260000051,2026-04-02T23:57:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4375869,12000+,pending,complete,confirmed,consistent,,,4365,deterministic_synthetic
CR20260000052,2026-04-03T00:44:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4455788,3000-4999,pending,complete,confirmed,consistent,,,4366,deterministic_synthetic
CR20260000053,2026-04-03T01:31:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4535707,5000-7999,pending,complete,confirmed,consistent,,,4367,deterministic_synthetic
CR20260000054,2026-04-03T02:18:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4615626,8000-11999,pending,complete,confirmed,consistent,,,4368,deterministic_synthetic
CR20260000055,2026-04-03T03:05:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4695545,12000+,pending,complete,confirmed,consistent,,,4369,deterministic_synthetic
CR20260000056,2026-04-03T03:52:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4775464,3000-4999,pending,complete,confirmed,consistent,,,4370,deterministic_synthetic
CR20260000057,2026-04-03T04:39:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4855383,5000-7999,pending,complete,confirmed,consistent,,,4371,deterministic_synthetic
CR20260000058,2026-04-03T05:26:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4935302,8000-11999,pending,complete,confirmed,consistent,,,4372,deterministic_synthetic
CR20260000059,2026-04-03T06:13:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,315221,12000+,pending,complete,confirmed,consistent,,,4373,deterministic_synthetic
CR20260000060,2026-04-03T07:00:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,395140,3000-4999,pending,complete,confirmed,consistent,,,4374,deterministic_synthetic
CR20260000061,2026-04-03T07:47:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,475059,5000-7999,pending,complete,confirmed,consistent,,,4375,deterministic_synthetic
CR20260000062,2026-04-03T08:34:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,554978,8000-11999,pending,complete,confirmed,consistent,,,4376,deterministic_synthetic
CR20260000063,2026-04-03T09:21:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,634897,12000+,pending,complete,confirmed,consistent,,,4377,deterministic_synthetic
CR20260000064,2026-04-03T10:08:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,714816,3000-4999,pending,complete,confirmed,consistent,,,4378,deterministic_synthetic
CR20260000065,2026-04-03T10:55:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,794735,5000-7999,pending,complete,confirmed,consistent,,,4379,deterministic_synthetic
CR20260000066,2026-04-03T11:42:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,874654,8000-11999,pending,complete,confirmed,consistent,,,4380,deterministic_synthetic
CR20260000067,2026-04-03T12:29:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,954573,12000+,pending,complete,confirmed,consistent,,,4381,deterministic_synthetic
CR20260000068,2026-04-03T13:16:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1034492,3000-4999,pending,complete,confirmed,consistent,,,4382,deterministic_synthetic
CR20260000069,2026-04-03T14:03:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1114411,5000-7999,pending,complete,confirmed,consistent,,,4383,deterministic_synthetic
CR20260000070,2026-04-03T14:50:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1194330,8000-11999,pending,complete,confirmed,consistent,,,4384,deterministic_synthetic
CR20260000071,2026-04-03T15:37:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1274249,12000+,pending,complete,confirmed,consistent,,,4385,deterministic_synthetic
CR20260000072,2026-04-03T16:24:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1354168,3000-4999,pending,complete,confirmed,consistent,,,4386,deterministic_synthetic
CR20260000073,2026-04-03T17:11:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1434087,5000-7999,pending,complete,confirmed,consistent,,,4387,deterministic_synthetic
CR20260000074,2026-04-03T17:58:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1514006,8000-11999,pending,complete,confirmed,consistent,,,4388,deterministic_synthetic
CR20260000075,2026-04-03T18:45:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1593925,12000+,pending,complete,confirmed,consistent,,,4389,deterministic_synthetic
CR20260000076,2026-04-03T19:32:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1673844,3000-4999,pending,complete,confirmed,consistent,,,4390,deterministic_synthetic
CR20260000077,2026-04-03T20:19:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1753763,5000-7999,pending,complete,confirmed,consistent,,,4391,deterministic_synthetic
CR20260000078,2026-04-03T21:06:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1833682,8000-11999,pending,complete,confirmed,consistent,,,4392,deterministic_synthetic
CR20260000079,2026-04-03T21:53:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1913601,12000+,pending,complete,confirmed,consistent,,,4393,deterministic_synthetic
CR20260000080,2026-04-03T22:40:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1993520,3000-4999,pending,complete,confirmed,consistent,,,4394,deterministic_synthetic
CR20260000081,2026-04-03T23:27:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2073439,5000-7999,pending,complete,confirmed,consistent,,,4395,deterministic_synthetic
CR20260000082,2026-04-04T00:14:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2153358,8000-11999,pending,complete,confirmed,consistent,,,4396,deterministic_synthetic
CR20260000083,2026-04-04T01:01:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2233277,12000+,pending,complete,confirmed,consistent,,,4397,deterministic_synthetic
CR20260000084,2026-04-04T01:48:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2313196,3000-4999,pending,complete,confirmed,consistent,,,4398,deterministic_synthetic
CR20260000085,2026-04-04T02:35:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2393115,5000-7999,verified,complete,not_confirmed,consistent,,,4399,deterministic_synthetic
CR20260000086,2026-04-04T03:22:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2473034,8000-11999,verified,complete,not_confirmed,consistent,,,3200,deterministic_synthetic
CR20260000087,2026-04-04T04:09:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2552953,12000+,verified,complete,not_confirmed,consistent,,,3201,deterministic_synthetic
CR20260000088,2026-04-04T04:56:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2632872,3000-4999,verified,complete,not_confirmed,consistent,,,3202,deterministic_synthetic
CR20260000089,2026-04-04T05:43:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2712791,5000-7999,verified,complete,not_confirmed,consistent,,,3203,deterministic_synthetic
CR20260000090,2026-04-04T06:30:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2792710,8000-11999,verified,complete,not_confirmed,consistent,,,3204,deterministic_synthetic
CR20260000091,2026-04-04T07:17:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2872629,12000+,verified,complete,not_confirmed,consistent,,,3205,deterministic_synthetic
CR20260000092,2026-04-04T08:04:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2952548,3000-4999,verified,complete,not_confirmed,consistent,,,3206,deterministic_synthetic
CR20260000093,2026-04-04T08:51:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3032467,5000-7999,verified,complete,not_confirmed,consistent,,,3207,deterministic_synthetic
CR20260000094,2026-04-04T09:38:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3112386,8000-11999,verified,complete,not_confirmed,consistent,,,3208,deterministic_synthetic
CR20260000095,2026-04-04T10:25:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3192305,12000+,verified,complete,not_confirmed,consistent,,,3209,deterministic_synthetic
CR20260000096,2026-04-04T11:12:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3272224,3000-4999,verified,complete,not_confirmed,consistent,,,3210,deterministic_synthetic
CR20260000097,2026-04-04T11:59:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3352143,5000-7999,verified,complete,not_confirmed,consistent,,,3211,deterministic_synthetic
CR20260000098,2026-04-04T12:46:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3432062,8000-11999,verified,complete,not_confirmed,consistent,,,3212,deterministic_synthetic
CR20260000099,2026-04-04T13:33:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3511981,12000+,verified,complete,not_confirmed,consistent,,,3213,deterministic_synthetic
CR20260000100,2026-04-04T14:20:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3591900,3000-4999,verified,complete,not_confirmed,consistent,,,3214,deterministic_synthetic
CR20260000101,2026-04-04T15:07:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3671819,5000-7999,verified,complete,not_confirmed,consistent,,,3215,deterministic_synthetic
CR20260000102,2026-04-04T15:54:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3751738,8000-11999,verified,complete,not_confirmed,consistent,,,3216,deterministic_synthetic
CR20260000103,2026-04-04T16:41:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3831657,12000+,verified,complete,not_confirmed,consistent,,,3217,deterministic_synthetic
CR20260000104,2026-04-04T17:28:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3911576,3000-4999,verified,complete,not_confirmed,consistent,,,3218,deterministic_synthetic
CR20260000105,2026-04-04T18:15:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3991495,5000-7999,verified,complete,not_confirmed,consistent,,,3219,deterministic_synthetic
CR20260000106,2026-04-04T19:02:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4071414,8000-11999,verified,complete,not_confirmed,consistent,,,3220,deterministic_synthetic
CR20260000107,2026-04-04T19:49:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4151333,12000+,verified,complete,not_confirmed,consistent,,,3221,deterministic_synthetic
CR20260000108,2026-04-04T20:36:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4231252,3000-4999,verified,complete,not_confirmed,consistent,,,3222,deterministic_synthetic
CR20260000109,2026-04-04T21:23:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4311171,5000-7999,verified,complete,confirmed,needs_evidence,,,3223,deterministic_synthetic
CR20260000110,2026-04-04T22:10:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4391090,8000-11999,verified,complete,confirmed,needs_evidence,,,3224,deterministic_synthetic
CR20260000111,2026-04-04T22:57:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4471009,12000+,verified,complete,confirmed,needs_evidence,,,3225,deterministic_synthetic
CR20260000112,2026-04-04T23:44:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4550928,3000-4999,verified,complete,confirmed,needs_evidence,,,3226,deterministic_synthetic
CR20260000113,2026-04-05T00:31:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4630847,5000-7999,verified,complete,confirmed,needs_evidence,,,3227,deterministic_synthetic
CR20260000114,2026-04-05T01:18:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4710766,8000-11999,verified,complete,confirmed,needs_evidence,,,3228,deterministic_synthetic
CR20260000115,2026-04-05T02:05:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4790685,12000+,verified,complete,confirmed,needs_evidence,,,3229,deterministic_synthetic
CR20260000116,2026-04-05T02:52:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4870604,3000-4999,verified,complete,confirmed,needs_evidence,,,3230,deterministic_synthetic
CR20260000117,2026-04-05T03:39:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4950523,5000-7999,verified,complete,confirmed,needs_evidence,,,3231,deterministic_synthetic
CR20260000118,2026-04-05T04:26:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,330442,8000-11999,verified,complete,confirmed,needs_evidence,,,3232,deterministic_synthetic
CR20260000119,2026-04-05T05:13:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,410361,12000+,verified,complete,confirmed,needs_evidence,,,3233,deterministic_synthetic
CR20260000120,2026-04-05T06:00:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,490280,3000-4999,verified,complete,confirmed,needs_evidence,,,3234,deterministic_synthetic
CR20260000121,2026-04-05T06:47:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,570199,5000-7999,verified,complete,confirmed,consistent,,,3235,deterministic_synthetic
CR20260000122,2026-04-05T07:34:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,650118,8000-11999,verified,complete,confirmed,consistent,,,3236,deterministic_synthetic
CR20260000123,2026-04-05T08:21:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,730037,12000+,verified,complete,confirmed,consistent,,,3237,deterministic_synthetic
CR20260000124,2026-04-05T09:08:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,809956,3000-4999,verified,complete,confirmed,consistent,,,3238,deterministic_synthetic
CR20260000125,2026-04-05T09:55:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,889875,5000-7999,verified,complete,confirmed,consistent,,,3239,deterministic_synthetic
CR20260000126,2026-04-05T10:42:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,969794,8000-11999,verified,complete,confirmed,consistent,,,3240,deterministic_synthetic
CR20260000127,2026-04-05T11:29:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1049713,12000+,verified,complete,confirmed,consistent,,,3241,deterministic_synthetic
CR20260000128,2026-04-05T12:16:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1129632,3000-4999,verified,complete,confirmed,consistent,,,3242,deterministic_synthetic
CR20260000129,2026-04-05T13:03:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1209551,5000-7999,verified,complete,confirmed,consistent,,,3243,deterministic_synthetic
CR20260000130,2026-04-05T13:50:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1289470,8000-11999,verified,complete,confirmed,consistent,,,3244,deterministic_synthetic
CR20260000131,2026-04-05T14:37:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1369389,12000+,verified,complete,confirmed,consistent,,,3245,deterministic_synthetic
