store_id,category_id,transaction_count,units_sold,sales_amount_cny,active_days,sales_velocity_units_per_day,sales_pressure_rank,recommended_action,data_nature
CDLG,914100000,32,28,141.56,15,1.87,53,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030104,12,28,110.16,8,3.5,54,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910000000,20,28,283.36,14,2.0,55,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910020300,14,28,133.28,9,3.11,56,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930000201,16,28,316.56,9,3.11,57,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914010000,22,26,156.08,11,2.36,58,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930040000,26,26,261.32,13,2.0,59,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910030100,2,26,46.02,2,13.0,60,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,922000008,48,24,178.14,24,1.0,61,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,923000001,20,24,124.8,9,2.67,62,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,911000000,24,24,90.88,11,2.18,63,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911000000,22,22,168.24,14,1.57,64,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,910030001,8,22,88.14,5,4.4,65,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914010000,20,22,72.48,11,2.0,66,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000008,46,22,122.92,19,1.16,67,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910000000,4,20,172.4,3,6.67,68,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911000100,20,20,223.8,10,2.0,69,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911010501,24,20,332.0,14,1.43,70,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,913050103,20,20,53.72,11,1.82,71,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914010001,12,20,313.0,7,2.86,72,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915010000,20,20,179.6,13,1.54,73,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930010000,20,20,373.2,10,2.0,74,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,910020300,6,20,90.28,5,4.0,75,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930040402,20,20,58.0,10,2.0,76,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914100000,20,20,131.0,11,1.82,77,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,915030101,10,20,92.86,6,3.33,78,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,915030400,12,20,88.08,8,2.5,79,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,923000001,14,20,111.6,9,2.22,80,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930020001,20,20,278.4,11,1.82,81,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930040003,20,20,90.96,12,1.67,82,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914100003,18,18,68.76,9,2.0,83,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030101,8,18,88.56,6,3.0,84,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030102,8,18,118.02,6,3.0,85,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,922000006,18,18,64.44,12,1.5,86,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020100,18,18,141.36,10,1.8,87,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930040000,18,18,192.92,12,1.5,88,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,911010501,16,18,324.7,10,1.8,89,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914050300,18,18,36.8,8,2.25,90,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,920090000,14,18,15.92,10,1.8,91,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930000201,18,18,155.36,10,1.8,92,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910020207,10,16,142.16,5,3.2,93,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911000001,12,16,48.64,8,2.0,94,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912060303,58,16,293.86,24,0.67,95,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030404,8,16,105.12,6,2.67,96,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,923000001,12,16,83.6,9,1.78,97,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930010005,16,16,89.52,11,1.45,98,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,931060000,16,16,125.52,9,1.78,99,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,931060400,14,16,100.32,10,1.6,100,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,910030102,4,16,40.94,3,5.33,101,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,912060303,66,16,373.16,22,0.73,102,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914000000,16,16,72.92,10,1.6,103,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914100000,16,16,97.72,10,1.6,104,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915010000,18,16,145.26,10,1.6,105,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,923000101,14,16,129.6,8,2.0,106,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910020207,8,16,118.56,6,2.67,107,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,911000001,16,16,32.64,8,2.0,108,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,912060303,66,16,345.12,26,0.62,109,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914050005,8,16,22.08,6,2.67,110,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910020000,2,14,8.12,2,7.0,111,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030400,10,14,55.72,8,1.75,112,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,922000103,14,14,149.96,10,1.4,113,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,923000101,14,14,62.56,8,1.75,114,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020104,14,14,97.28,9,1.56,115,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,911000100,14,14,155.88,7,2.0,116,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914010000,12,14,70.52,8,1.75,117,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914010001,14,14,135.28,7,2.0,118,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914110003,6,14,37.08,4,3.5,119,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030400,10,14,55.72,8,1.75,120,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930010005,10,14,66.92,7,2.0,121,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910030001,2,14,52.92,2,7.0,122,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914100004,14,14,130.88,7,2.0,123,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914120305,14,14,54.88,9,1.56,124,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000005,12,14,88.32,9,1.56,125,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,924000005,12,14,206.12,11,1.27,126,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930020104,14,14,97.28,8,1.75,127,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930040000,14,14,143.28,8,1.75,128,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910030203,10,12,119.12,6,2.0,129,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911010500,8,12,294.44,6,2.0,130,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912010004,12,12,32.24,8,1.5,131,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912030500,10,12,25.08,6,2.0,132,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912040000,12,12,72.44,6,2.0,133,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912500204,12,12,74.24,6,2.0,134,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914000000,12,12,83.24,9,1.33,135,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914100001,12,12,73.24,9,1.33,136,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930010002,10,12,655.76,7,1.71,137,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914050000,10,12,20.8,6,2.0,138,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914050001,12,12,24.0,7,1.71,139,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914070201,12,12,49.44,7,1.71,140,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030404,6,12,77.92,5,2.4,141,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,911000100,12,12,120.64,7,1.71,142,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,912020106,12,12,20.88,7,1.71,143,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,915030401,8,12,77.04,5,2.4,144,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,924020000,22,12,138.92,14,0.86,145,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910020302,8,10,50.8,6,1.67,146,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914040300,10,10,56.4,7,1.43,147,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915020003,10,10,71.2,6,1.67,148,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,920090000,10,10,9.8,5,2.0,149,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915010001,10,10,115.8,7,1.43,150,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,922000006,10,10,35.8,7,1.43,151,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930000202,10,10,100.0,6,1.67,152,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930020101,10,10,72.2,4,2.5,153,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930020500,10,10,217.2,6,1.67,154,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930040104,10,10,211.2,7,1.43,155,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,931010103,10,10,44.0,6,1.67,156,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,936010001,10,10,102.0,6,1.67,157,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,911010501,16,10,154.18,10,1.0,158,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,912080000,10,10,30.84,6,1.67,159,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914040300,10,10,53.2,7,1.43,160,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000004,12,10,60.76,9,1.11,161,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930010005,10,10,51.2,7,1.43,162,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930020500,8,10,197.2,5,2.0,163,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930040100,10,10,48.4,7,1.43,164,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910010000,6,8,24.12,4,2.0,165,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910020403,8,8,55.56,5,1.6,166,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911010300,8,8,95.16,4,2.0,167,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,913020003,8,8,158.36,5,1.6,168,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914050000,8,8,12.0,4,2.0,169,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914090002,8,8,377.36,6,1.33,170,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030100,4,8,42.72,3,2.67,171,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,924020000,20,8,92.62,12,0.67,172,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020003,4,8,156.16,3,2.67,173,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020102,8,8,80.16,5,1.6,174,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020500,8,8,132.16,6,1.33,175,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,931050202,8,8,72.76,6,1.33,176,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,931060121,8,8,28.16,7,1.14,177,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,931060301,8,8,25.48,4,2.0,178,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,931080104,8,8,76.16,5,1.6,179,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,936010002,8,8,36.16,6,1.33,180,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,910020202,8,8,62.76,5,1.6,181,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,912020106,8,8,9.6,5,1.6,182,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,912030500,8,8,39.96,4,2.0,183,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914050005,8,8,14.4,5,1.6,184,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914090003,8,8,316.16,5,1.6,185,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914100001,8,8,44.16,5,1.6,186,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915000106,40,8,124.62,19,0.42,187,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030102,4,8,79.84,4,2.0,188,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030306,8,8,84.96,5,1.6,189,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,922000005,22,8,22.4,12,0.67,190,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930010000,8,8,162.36,5,1.6,191,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930040001,8,8,108.16,6,1.33,192,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930040003,8,8,8.0,5,1.6,193,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930040200,8,8,236.16,5,1.6,194,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910010101,8,8,166.16,5,1.6,195,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,911010100,8,8,224.16,7,1.14,196,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,912020103,8,8,26.04,6,1.33,197,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,912030500,10,8,36.16,6,1.33,198,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,912500100,8,8,31.96,5,1.6,199,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914030001,8,8,58.36,6,1.33,200,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914030100,8,8,16.0,5,1.6,201,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914050002,8,8,16.0,5,1.6,202,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914070201,8,8,32.96,6,1.33,203,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914120301,8,8,24.96,4,2.0,204,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,915010001,10,8,92.64,8,1.0,205,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000103,16,8,116.36,10,0.8,206,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,923000101,10,8,60.8,9,0.89,207,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,924000000,14,8,188.76,10,0.8,208,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930010002,8,8,310.16,5,1.6,209,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930020600,8,8,45.52,5,1.6,210,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,931050304,8,8,56.16,6,1.33,211,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,931060000,8,8,88.16,6,1.33,212,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,938030000,8,8,42.16,6,1.33,213,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,911010100,6,6,129.52,5,1.2,214,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912030207,6,6,33.72,5,1.2,215,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,912060403,22,6,132.1,12,0.5,216,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914020100,6,6,47.88,5,1.2,217,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914030100,4,6,14.0,3,2.0,218,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914090003,6,6,237.12,6,1.0,219,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914100002,6,6,19.32,4,1.5,220,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914110000,6,6,55.12,4,1.5,221,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914120302,6,6,34.92,4,1.5,222,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,914120305,6,6,8.4,4,1.5,223,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915000103,10,6,80.48,7,0.86,224,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915020000,4,6,220.52,3,2.0,225,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915020002,6,6,60.8,5,1.2,226,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030306,6,6,63.7,5,1.2,227,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
