event_id,transport_id,flow_token,event_version,event_time,received_at,source_system,from_department,to_department,bed_request_id,role,actor_id,event_type,co_sign_status,privacy_scope,clinical_decision_allowed,conflict_type,late_event
TRN-0006-05,TRN-0006,FLOW-0006,5,2026-07-03T08:58:00+08:00,2026-07-03T09:00:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-043,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0006-06,TRN-0006,FLOW-0006,6,2026-07-03T08:51:00+08:00,2026-07-03T09:30:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-043,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,late_reopen,True
TRN-0007-01,TRN-0007,FLOW-0007,1,2026-07-03T08:49:00+08:00,2026-07-03T08:50:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-050,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0007-02,TRN-0007,FLOW-0007,2,2026-07-03T08:53:00+08:00,2026-07-03T08:55:00+08:00,TRANSPORT_DISPATCH,急诊观察区,外科留观区,BED-050,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0007-03,TRN-0007,FLOW-0007,3,2026-07-03T08:57:00+08:00,2026-07-03T08:59:00+08:00,BED_CONTROL,急诊观察区,外科留观区,BED-050,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0007-04,TRN-0007,FLOW-0007,4,2026-07-03T09:01:00+08:00,2026-07-03T09:03:00+08:00,WARD_BOARD,急诊观察区,外科留观区,BED-050,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0007-05,TRN-0007,FLOW-0007,5,2026-07-03T09:05:00+08:00,2026-07-03T09:07:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-050,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0007-06,TRN-0007,FLOW-0007,6,2026-07-03T09:09:00+08:00,2026-07-03T09:51:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-050,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,late_event,True
TRN-0008-01,TRN-0008,FLOW-0008,1,2026-07-03T08:56:00+08:00,2026-07-03T08:57:00+08:00,ED_BOARD,急诊抢救区,日间诊疗区,BED-057,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0008-02,TRN-0008,FLOW-0008,2,2026-07-03T09:00:00+08:00,2026-07-03T09:02:00+08:00,TRANSPORT_DISPATCH,急诊抢救区,日间诊疗区,BED-057,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0008-03,TRN-0008,FLOW-0008,3,2026-07-03T09:04:00+08:00,2026-07-03T09:06:00+08:00,BED_CONTROL,急诊抢救区,日间诊疗区,BED-057,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0008-04,TRN-0008,FLOW-0008,4,2026-07-03T09:08:00+08:00,2026-07-03T09:10:00+08:00,WARD_BOARD,急诊抢救区,日间诊疗区,BED-057,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0008-05,TRN-0008,FLOW-0008,5,2026-07-03T09:12:00+08:00,2026-07-03T09:14:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-057,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0008-06,TRN-0008,FLOW-0008,6,2026-07-03T09:01:00+08:00,2026-07-03T09:21:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-057,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,out_of_order,False
TRN-0009-01,TRN-0009,FLOW-0009,1,2026-07-03T09:03:00+08:00,2026-07-03T09:04:00+08:00,ED_BOARD,急诊观察区,内科留观区,BED-064,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0009-02,TRN-0009,FLOW-0009,2,2026-07-03T09:07:00+08:00,2026-07-03T09:09:00+08:00,TRANSPORT_DISPATCH,急诊观察区,内科留观区,BED-064,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0009-03,TRN-0009,FLOW-0009,3,2026-07-03T09:11:00+08:00,2026-07-03T09:13:00+08:00,BED_CONTROL,急诊观察区,内科留观区,BED-064,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0009-04,TRN-0009,FLOW-0009,4,2026-07-03T09:15:00+08:00,2026-07-03T09:17:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-064,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0009-05,TRN-0009,FLOW-0009,5,2026-07-03T09:19:00+08:00,2026-07-03T09:21:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-064,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0009-06,TRN-0009,FLOW-0009,6,2026-07-03T09:23:00+08:00,2026-07-03T09:25:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-064,coordination_lead,COORD-01,handoff_received,pending,operational_only,False,duplicate,False
TRN-0010-01,TRN-0010,FLOW-0010,1,2026-07-03T09:10:00+08:00,2026-07-03T09:11:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-071,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0010-02,TRN-0010,FLOW-0010,2,2026-07-03T09:14:00+08:00,2026-07-03T09:16:00+08:00,TRANSPORT_DISPATCH,急诊观察区,外科留观区,BED-071,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0010-03,TRN-0010,FLOW-0010,3,2026-07-03T09:18:00+08:00,2026-07-03T09:20:00+08:00,BED_CONTROL,急诊观察区,外科留观区,BED-071,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0010-04,TRN-0010,FLOW-0010,4,2026-07-03T09:22:00+08:00,2026-07-03T09:24:00+08:00,WARD_BOARD,急诊观察区,外科留观区,BED-071,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0010-05,TRN-0010,FLOW-0010,5,2026-07-03T09:26:00+08:00,2026-07-03T09:28:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-071,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0010-06,TRN-0010,FLOW-0010,6,2026-07-03T09:30:00+08:00,2026-07-03T09:32:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-071,coordination_lead,COORD-01,correction_appended,missing,operational_only,False,missing,False
TRN-0011-01,TRN-0011,FLOW-0011,1,2026-07-03T09:17:00+08:00,2026-07-03T09:18:00+08:00,ED_BOARD,急诊抢救区,日间诊疗区,BED-078,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0011-02,TRN-0011,FLOW-0011,2,2026-07-03T09:21:00+08:00,2026-07-03T09:23:00+08:00,TRANSPORT_DISPATCH,急诊抢救区,日间诊疗区,BED-078,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0011-03,TRN-0011,FLOW-0011,3,2026-07-03T09:25:00+08:00,2026-07-03T09:27:00+08:00,BED_CONTROL,急诊抢救区,日间诊疗区,BED-078,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0011-04,TRN-0011,FLOW-0011,4,2026-07-03T09:29:00+08:00,2026-07-03T09:31:00+08:00,WARD_BOARD,急诊抢救区,日间诊疗区,BED-078,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0011-05,TRN-0011,FLOW-0011,5,2026-07-03T09:33:00+08:00,2026-07-03T09:35:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-078,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0011-06,TRN-0011,FLOW-0011,6,2026-07-03T09:37:00+08:00,2026-07-03T09:39:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-078,coordination_lead,COORD-01,correction_appended,confirmed_and_cancelled,operational_only,False,mutually_exclusive,False
TRN-0012-01,TRN-0012,FLOW-0012,1,2026-07-03T09:24:00+08:00,2026-07-03T09:25:00+08:00,ED_BOARD,急诊观察区,内科留观区,BED-085,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0012-02,TRN-0012,FLOW-0012,2,2026-07-03T09:28:00+08:00,2026-07-03T09:30:00+08:00,TRANSPORT_DISPATCH,急诊观察区,内科留观区,BED-085,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0012-03,TRN-0012,FLOW-0012,3,2026-07-03T09:32:00+08:00,2026-07-03T09:34:00+08:00,BED_CONTROL,急诊观察区,内科留观区,BED-085,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0012-04,TRN-0012,FLOW-0012,4,2026-07-03T09:36:00+08:00,2026-07-03T09:38:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-085,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0012-05,TRN-0012,FLOW-0012,5,2026-07-03T09:40:00+08:00,2026-07-03T09:42:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-085,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0012-06,TRN-0012,FLOW-0012,6,2026-07-03T09:33:00+08:00,2026-07-03T10:12:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-085,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,late_reopen,True
TRN-0013-01,TRN-0013,FLOW-0013,1,2026-07-03T09:31:00+08:00,2026-07-03T09:32:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-092,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0013-02,TRN-0013,FLOW-0013,2,2026-07-03T09:35:00+08:00,2026-07-03T09:37:00+08:00,TRANSPORT_DISPATCH,急诊观察区,外科留观区,BED-092,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0013-03,TRN-0013,FLOW-0013,3,2026-07-03T09:39:00+08:00,2026-07-03T09:41:00+08:00,BED_CONTROL,急诊观察区,外科留观区,BED-092,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0013-04,TRN-0013,FLOW-0013,4,2026-07-03T09:43:00+08:00,2026-07-03T09:45:00+08:00,WARD_BOARD,急诊观察区,外科留观区,BED-092,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0013-05,TRN-0013,FLOW-0013,5,2026-07-03T09:47:00+08:00,2026-07-03T09:49:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-092,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0013-06,TRN-0013,FLOW-0013,6,2026-07-03T09:51:00+08:00,2026-07-03T10:33:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-092,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,late_event,True
TRN-0014-01,TRN-0014,FLOW-0014,1,2026-07-03T09:38:00+08:00,2026-07-03T09:39:00+08:00,ED_BOARD,急诊抢救区,日间诊疗区,BED-099,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0014-02,TRN-0014,FLOW-0014,2,2026-07-03T09:42:00+08:00,2026-07-03T09:44:00+08:00,TRANSPORT_DISPATCH,急诊抢救区,日间诊疗区,BED-099,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0014-03,TRN-0014,FLOW-0014,3,2026-07-03T09:46:00+08:00,2026-07-03T09:48:00+08:00,BED_CONTROL,急诊抢救区,日间诊疗区,BED-099,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0014-04,TRN-0014,FLOW-0014,4,2026-07-03T09:50:00+08:00,2026-07-03T09:52:00+08:00,WARD_BOARD,急诊抢救区,日间诊疗区,BED-099,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0014-05,TRN-0014,FLOW-0014,5,2026-07-03T09:54:00+08:00,2026-07-03T09:56:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-099,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0014-06,TRN-0014,FLOW-0014,6,2026-07-03T09:43:00+08:00,2026-07-03T10:03:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-099,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,out_of_order,False
TRN-0015-01,TRN-0015,FLOW-0015,1,2026-07-03T09:45:00+08:00,2026-07-03T09:46:00+08:00,ED_BOARD,急诊观察区,内科留观区,BED-106,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0015-02,TRN-0015,FLOW-0015,2,2026-07-03T09:49:00+08:00,2026-07-03T09:51:00+08:00,TRANSPORT_DISPATCH,急诊观察区,内科留观区,BED-106,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0015-03,TRN-0015,FLOW-0015,3,2026-07-03T09:53:00+08:00,2026-07-03T09:55:00+08:00,BED_CONTROL,急诊观察区,内科留观区,BED-106,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0015-04,TRN-0015,FLOW-0015,4,2026-07-03T09:57:00+08:00,2026-07-03T09:59:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-106,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0015-05,TRN-0015,FLOW-0015,5,2026-07-03T10:01:00+08:00,2026-07-03T10:03:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-106,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0015-06,TRN-0015,FLOW-0015,6,2026-07-03T10:05:00+08:00,2026-07-03T10:07:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-106,coordination_lead,COORD-01,handoff_received,pending,operational_only,False,duplicate,False
TRN-0016-01,TRN-0016,FLOW-0016,1,2026-07-03T09:52:00+08:00,2026-07-03T09:53:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-113,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0016-02,TRN-0016,FLOW-0016,2,2026-07-03T09:56:00+08:00,2026-07-03T09:58:00+08:00,TRANSPORT_DISPATCH,急诊观察区,外科留观区,BED-113,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0016-03,TRN-0016,FLOW-0016,3,2026-07-03T10:00:00+08:00,2026-07-03T10:02:00+08:00,BED_CONTROL,急诊观察区,外科留观区,BED-113,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0016-04,TRN-0016,FLOW-0016,4,2026-07-03T10:04:00+08:00,2026-07-03T10:06:00+08:00,WARD_BOARD,急诊观察区,外科留观区,BED-113,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0016-05,TRN-0016,FLOW-0016,5,2026-07-03T10:08:00+08:00,2026-07-03T10:10:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-113,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0016-06,TRN-0016,FLOW-0016,6,2026-07-03T10:12:00+08:00,2026-07-03T10:14:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-113,coordination_lead,COORD-01,correction_appended,missing,operational_only,False,missing,False
TRN-0017-01,TRN-0017,FLOW-0017,1,2026-07-03T09:59:00+08:00,2026-07-03T10:00:00+08:00,ED_BOARD,急诊抢救区,日间诊疗区,BED-120,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0017-02,TRN-0017,FLOW-0017,2,2026-07-03T10:03:00+08:00,2026-07-03T10:05:00+08:00,TRANSPORT_DISPATCH,急诊抢救区,日间诊疗区,BED-120,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0017-03,TRN-0017,FLOW-0017,3,2026-07-03T10:07:00+08:00,2026-07-03T10:09:00+08:00,BED_CONTROL,急诊抢救区,日间诊疗区,BED-120,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0017-04,TRN-0017,FLOW-0017,4,2026-07-03T10:11:00+08:00,2026-07-03T10:13:00+08:00,WARD_BOARD,急诊抢救区,日间诊疗区,BED-120,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0017-05,TRN-0017,FLOW-0017,5,2026-07-03T10:15:00+08:00,2026-07-03T10:17:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-120,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0017-06,TRN-0017,FLOW-0017,6,2026-07-03T10:19:00+08:00,2026-07-03T10:21:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-120,coordination_lead,COORD-01,correction_appended,confirmed_and_cancelled,operational_only,False,mutually_exclusive,False
TRN-0018-01,TRN-0018,FLOW-0018,1,2026-07-03T10:06:00+08:00,2026-07-03T10:07:00+08:00,ED_BOARD,急诊观察区,内科留观区,BED-127,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0018-02,TRN-0018,FLOW-0018,2,2026-07-03T10:10:00+08:00,2026-07-03T10:12:00+08:00,TRANSPORT_DISPATCH,急诊观察区,内科留观区,BED-127,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0018-03,TRN-0018,FLOW-0018,3,2026-07-03T10:14:00+08:00,2026-07-03T10:16:00+08:00,BED_CONTROL,急诊观察区,内科留观区,BED-127,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0018-04,TRN-0018,FLOW-0018,4,2026-07-03T10:18:00+08:00,2026-07-03T10:20:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-127,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0018-05,TRN-0018,FLOW-0018,5,2026-07-03T10:22:00+08:00,2026-07-03T10:24:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-127,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0018-06,TRN-0018,FLOW-0018,6,2026-07-03T10:15:00+08:00,2026-07-03T10:54:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-127,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,late_reopen,True
TRN-0019-01,TRN-0019,FLOW-0019,1,2026-07-03T10:13:00+08:00,2026-07-03T10:14:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-134,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
