unique_key,created_date,closed_date,agency,complaint_type,descriptor,status,borough
64994400,2025-12-07,,DOT,Street Condition,Leak,Open,STATEN ISLAND
65155914,2025-12-23,,DOT,Water System,Leak,Open,BROOKLYN
64220807,2025-12-04,2025-12-27,HPD,Heat/Hot Water,Blocked Driveway,Closed,STATEN ISLAND
61912655,2025-11-23,2025-12-28,NYPD,Noise,Leak,Closed,QUEENS
64884257,2025-11-12,2025-11-21,DOT,Illegal Parking,Blocked Driveway,Closed,BRONX
67442685,2025-09-08,2025-12-02,NYPD,Noise,Blocked Driveway,Closed,MANHATTAN
60211704,2025-12-08,2025-12-20,HPD,Water System,Loud Music,Closed,STATEN ISLAND
67463929,2025-10-22,2025-11-11,HPD,Illegal Parking,Blocked Driveway,Closed,QUEENS
60991695,2025-12-30,,DOT,Street Condition,No Heat,Open,QUEENS
65124167,2025-11-07,2025-11-07,NYPD,Noise,Loud Music,Closed,QUEENS
68494566,2025-11-08,,DEP,Water System,Blocked Driveway,Open,QUEENS
69180374,2025-10-08,2025-12-30,NYPD,Noise,Loud Music,Closed,BROOKLYN
60200769,2025-12-15,2025-12-10,DSNY,Illegal Parking,Leak,Closed,BRONX
64910777,2025-11-27,,HPD,Water System,No Heat,Open,STATEN ISLAND
61130441,2025-12-20,2025-12-07,HPD,Water System,No Heat,Closed,STATEN ISLAND
63413530,2025-09-18,2025-12-13,DSNY,Heat/Hot Water,No Heat,Closed,BROOKLYN
67631301,2025-11-13,2025-11-27,NYPD,Street Condition,No Heat,Closed,MANHATTAN
66737545,2025-09-09,2025-12-04,DEP,Illegal Parking,Blocked Driveway,Closed,MANHATTAN
68100235,2025-11-05,2025-11-03,HPD,Heat/Hot Water,Blocked Driveway,Closed,MANHATTAN
61614105,2025-12-14,2025-11-24,DSNY,Illegal Parking,Blocked Driveway,Closed,BROOKLYN
63155110,2025-11-20,2025-12-29,DEP,Noise,Loud Music,Closed,QUEENS
69583597,2025-10-08,2025-12-07,NYPD,Water System,Blocked Driveway,Closed,STATEN ISLAND
69825060,2025-11-25,,DSNY,Water System,Pothole,Open,MANHATTAN
60358860,2025-10-26,2025-12-24,DSNY,Water System,Loud Music,Closed,MANHATTAN
67085248,2025-09-09,,DOT,Noise,Loud Music,Open,MANHATTAN
68536907,2025-12-02,2025-11-12,NYPD,Heat/Hot Water,Loud Music,Closed,QUEENS
64092943,2025-12-15,2025-11-14,HPD,Illegal Parking,Blocked Driveway,Closed,BRONX
65878191,2025-11-17,2025-11-08,HPD,Heat/Hot Water,Blocked Driveway,Closed,STATEN ISLAND
65819438,2025-10-20,,DOT,Illegal Parking,Pothole,Open,QUEENS
68622212,2025-10-17,,DEP,Illegal Parking,No Heat,Open,BRONX
62022029,2025-12-21,2025-11-07,NYPD,Noise,Blocked Driveway,Closed,STATEN ISLAND
63513028,2025-10-07,2025-11-17,DEP,Noise,Loud Music,Closed,QUEENS
68407295,2025-10-31,2025-12-13,HPD,Noise,Pothole,Closed,BROOKLYN
62737746,2025-10-29,2025-11-19,DSNY,Illegal Parking,No Heat,Closed,MANHATTAN
68786794,2025-12-02,2025-12-14,DEP,Illegal Parking,No Heat,Closed,QUEENS
60197265,2025-11-22,2025-12-06,NYPD,Water System,Leak,Closed,QUEENS
68744511,2025-10-09,2025-12-13,DSNY,Illegal Parking,Leak,Closed,BRONX
60368222,2026-01-01,2025-11-07,DOT,Water System,No Heat,Closed,STATEN ISLAND
60352991,2025-12-30,,NYPD,Heat/Hot Water,Pothole,Open,BRONX
69473691,2025-09-16,2025-11-28,DSNY,Noise,Loud Music,Closed,MANHATTAN
63791937,2025-10-30,2025-12-12,DSNY,Illegal Parking,Pothole,Closed,BROOKLYN
67895939,2025-11-12,2025-11-06,DEP,Heat/Hot Water,Pothole,Closed,MANHATTAN
68962484,2025-09-30,2025-11-07,DSNY,Illegal Parking,Loud Music,Closed,QUEENS
65480999,2025-11-01,2025-11-27,DOT,Illegal Parking,Blocked Driveway,Closed,STATEN ISLAND
62487081,2025-11-23,2025-11-13,NYPD,Noise,No Heat,Closed,MANHATTAN
62681201,2025-12-03,2025-11-24,DSNY,Heat/Hot Water,Pothole,Closed,MANHATTAN
64590257,2025-10-09,2025-12-13,DEP,Illegal Parking,Blocked Driveway,Closed,STATEN ISLAND
60300106,2025-09-12,2025-11-14,DOT,Illegal Parking,No Heat,Closed,BROOKLYN
63442566,2025-09-29,,NYPD,Street Condition,Blocked Driveway,Open,QUEENS
69207327,2025-10-04,2025-11-20,DEP,Heat/Hot Water,No Heat,Closed,STATEN ISLAND
68817167,2025-11-22,2025-12-02,NYPD,Illegal Parking,Leak,Closed,BRONX
64954662,2025-12-15,,DOT,Noise,No Heat,Open,MANHATTAN
65676159,2025-09-08,2025-12-03,DSNY,Street Condition,Loud Music,Closed,MANHATTAN
66086968,2025-09-29,2025-12-04,DOT,Street Condition,No Heat,Closed,STATEN ISLAND
63729570,2025-12-08,,NYPD,Noise,Pothole,Open,MANHATTAN
68554078,2025-12-29,2025-12-02,HPD,Illegal Parking,Pothole,Closed,STATEN ISLAND
65959816,2025-11-21,2025-11-18,DEP,Noise,Leak,Closed,STATEN ISLAND
62751945,2025-10-09,2025-12-22,DEP,Illegal Parking,Pothole,Closed,STATEN ISLAND
60946794,2025-11-14,,NYPD,Water System,Blocked Driveway,Open,BROOKLYN
63467098,2025-10-08,2025-11-28,HPD,Illegal Parking,No Heat,Closed,MANHATTAN
67837807,2025-10-31,2025-12-05,NYPD,Heat/Hot Water,Blocked Driveway,Closed,QUEENS
62358992,2025-12-06,2026-01-01,NYPD,Noise,Pothole,Closed,BROOKLYN
64149803,2025-12-17,2025-11-29,NYPD,Street Condition,Leak,Closed,BROOKLYN
61055064,2025-11-28,2025-11-04,HPD,Noise,Pothole,Closed,QUEENS
64810795,2025-12-22,2025-11-08,NYPD,Noise,Pothole,Closed,STATEN ISLAND
64364676,2025-10-16,2025-12-12,NYPD,Noise,Loud Music,Closed,BRONX
68722089,2025-12-27,,HPD,Illegal Parking,Loud Music,Open,BROOKLYN
61295181,2025-10-28,2025-12-10,DOT,Street Condition,No Heat,Closed,MANHATTAN
61615408,2025-09-28,2025-12-19,NYPD,Street Condition,Leak,Closed,BRONX
62840486,2025-12-02,2025-11-16,DEP,Illegal Parking,Loud Music,Closed,QUEENS
67628472,2025-12-29,2025-11-28,NYPD,Illegal Parking,Pothole,Closed,MANHATTAN
62736701,2025-09-16,2025-12-23,DEP,Water System,Loud Music,Closed,QUEENS
66837118,2025-10-25,2025-11-25,DOT,Illegal Parking,No Heat,Closed,QUEENS
64000084,2025-12-10,2025-11-30,DSNY,Water System,No Heat,Closed,QUEENS
63657028,2025-12-12,2025-11-20,NYPD,Street Condition,Loud Music,Closed,BROOKLYN
62972556,2025-11-20,2025-12-11,DEP,Noise,Blocked Driveway,Closed,BRONX
66966743,2025-09-23,,NYPD,Heat/Hot Water,Pothole,Open,MANHATTAN
66331012,2025-12-19,2025-12-17,DOT,Illegal Parking,Pothole,Closed,MANHATTAN
66930887,2025-12-05,2025-12-07,DSNY,Street Condition,Blocked Driveway,Closed,STATEN ISLAND
68452072,2025-10-25,2025-12-12,DSNY,Water System,Blocked Driveway,Closed,MANHATTAN
62329593,2025-11-28,2025-11-24,HPD,Noise,Blocked Driveway,Closed,BROOKLYN
69347832,2025-09-25,2025-12-21,DEP,Water System,Loud Music,Closed,QUEENS
67348074,2025-10-26,2025-11-06,DOT,Noise,Leak,Closed,BROOKLYN
63960436,2025-09-28,2025-12-06,DEP,Noise,No Heat,Closed,STATEN ISLAND
65130176,2025-11-16,2025-11-09,DOT,Noise,Loud Music,Closed,BROOKLYN
60143524,2025-10-28,,DEP,Street Condition,No Heat,Open,BRONX
68872334,2025-12-10,2025-11-03,DSNY,Water System,Blocked Driveway,Closed,STATEN ISLAND
62805723,2025-11-24,2025-11-15,HPD,Illegal Parking,Leak,Closed,QUEENS
65656200,2025-11-09,2025-11-28,DSNY,Heat/Hot Water,Pothole,Closed,STATEN ISLAND
65807086,2025-12-27,2025-12-04,DEP,Street Condition,Blocked Driveway,Closed,BROOKLYN
68768578,2025-10-14,,HPD,Water System,No Heat,Open,MANHATTAN
65972696,2025-11-15,2025-11-15,DEP,Water System,Pothole,Closed,BRONX
64973704,2025-11-16,,DEP,Illegal Parking,Blocked Driveway,Open,BROOKLYN
60366872,2025-09-11,2025-11-15,HPD,Noise,Leak,Closed,STATEN ISLAND
60121814,2025-09-14,2026-01-01,DOT,Noise,Blocked Driveway,Closed,STATEN ISLAND
66277541,2025-10-21,2025-11-03,DOT,Noise,Pothole,Closed,MANHATTAN
61569907,2025-11-07,2025-12-25,DOT,Heat/Hot Water,No Heat,Closed,BROOKLYN
66925488,2025-10-27,2025-12-05,DEP,Heat/Hot Water,Blocked Driveway,Closed,STATEN ISLAND
69391428,2025-10-07,2025-11-19,NYPD,Street Condition,Loud Music,Closed,MANHATTAN
62503259,2025-10-14,,DOT,Street Condition,Loud Music,Open,STATEN ISLAND
65342724,2025-11-28,2025-11-17,NYPD,Street Condition,Loud Music,Closed,QUEENS
62050392,2025-09-09,2025-11-13,HPD,Heat/Hot Water,Pothole,Closed,MANHATTAN
62857644,2025-11-04,2025-11-21,DOT,Illegal Parking,Loud Music,Closed,BRONX
69950311,2025-09-23,,DEP,Illegal Parking,No Heat,Open,BROOKLYN
69391034,2025-11-13,2025-12-18,DEP,Illegal Parking,Loud Music,Closed,STATEN ISLAND
60165874,2025-11-15,2025-11-23,NYPD,Water System,Loud Music,Closed,BRONX
63902108,2025-10-07,2025-11-14,HPD,Illegal Parking,Leak,Closed,BROOKLYN
62832240,2025-12-06,,DSNY,Heat/Hot Water,No Heat,Open,BROOKLYN
60952879,2025-10-11,,DEP,Heat/Hot Water,Leak,Open,BROOKLYN
66793609,2025-09-05,2025-11-11,HPD,Street Condition,No Heat,Closed,MANHATTAN
64350028,2025-10-21,,DSNY,Noise,Pothole,Open,MANHATTAN
69309007,2025-09-29,2025-11-05,DOT,Heat/Hot Water,Blocked Driveway,Closed,BROOKLYN
60403996,2025-12-27,,NYPD,Street Condition,Leak,Open,QUEENS
60332017,2025-09-04,2025-12-06,DOT,Water System,Blocked Driveway,Closed,BRONX
64729075,2025-10-14,2025-12-26,NYPD,Water System,Leak,Closed,MANHATTAN
60664359,2025-09-03,2025-11-26,DEP,Illegal Parking,Pothole,Closed,STATEN ISLAND
63557375,2025-09-23,2025-11-08,DEP,Heat/Hot Water,Loud Music,Closed,STATEN ISLAND
64258618,2025-09-14,,DEP,Water System,Pothole,Open,STATEN ISLAND
67854327,2025-10-23,2025-12-15,NYPD,Street Condition,Pothole,Closed,MANHATTAN
63553135,2025-11-05,2025-12-30,DOT,Illegal Parking,Leak,Closed,MANHATTAN
64882520,2025-12-13,2025-12-30,HPD,Illegal Parking,Loud Music,Closed,QUEENS
64384496,2025-10-02,2025-11-26,NYPD,Street Condition,Pothole,Closed,BRONX
68257292,2025-09-04,,DSNY,Water System,Pothole,Open,STATEN ISLAND
69091784,2025-12-28,2025-12-05,HPD,Noise,Loud Music,Closed,BROOKLYN
67590205,2025-12-23,2025-11-07,DOT,Illegal Parking,No Heat,Closed,MANHATTAN
69271987,2025-10-01,,DOT,Street Condition,Pothole,Open,QUEENS
62229431,2025-11-28,2025-11-30,DSNY,Street Condition,No Heat,Closed,STATEN ISLAND
68592146,2025-10-24,,DEP,Heat/Hot Water,Leak,Open,QUEENS
61945284,2025-12-26,,DOT,Street Condition,Blocked Driveway,Open,MANHATTAN
65419887,2025-09-19,2025-11-17,DSNY,Heat/Hot Water,Blocked Driveway,Closed,BROOKLYN
68248569,2025-10-17,,DSNY,Street Condition,Leak,Open,STATEN ISLAND
62918504,2025-11-03,,DOT,Heat/Hot Water,No Heat,Open,BRONX
68827119,2025-09-14,2025-12-20,DOT,Street Condition,Loud Music,Closed,BRONX
66368778,2025-10-26,,DOT,Illegal Parking,Pothole,Open,BRONX
67618609,2025-12-04,2025-11-20,DSNY,Water System,Blocked Driveway,Closed,BROOKLYN
66414312,2025-11-19,2025-11-21,DOT,Illegal Parking,Loud Music,Closed,STATEN ISLAND
62377927,2025-09-03,,NYPD,Illegal Parking,Pothole,Open,BRONX
63041192,2025-10-06,2025-12-22,DOT,Water System,Loud Music,Closed,QUEENS
66579007,2025-12-19,2025-11-02,DEP,Illegal Parking,Loud Music,Closed,BRONX
68593962,2025-10-24,2025-12-18,NYPD,Water System,Leak,Closed,BRONX
64108435,2025-10-07,2025-12-23,DSNY,Noise,No Heat,Closed,BRONX
61155920,2025-12-21,,NYPD,Heat/Hot Water,No Heat,Open,BRONX
60192094,2025-12-05,2025-12-08,DEP,Heat/Hot Water,Pothole,Closed,BROOKLYN
63289633,2025-10-29,2025-12-07,HPD,Street Condition,Blocked Driveway,Closed,BRONX
60535537,2025-11-29,2025-12-01,NYPD,Noise,Blocked Driveway,Closed,QUEENS
61184815,2025-12-03,2025-12-25,DSNY,Noise,Loud Music,Closed,MANHATTAN
61259649,2025-10-26,2025-11-16,NYPD,Water System,Pothole,Closed,STATEN ISLAND
69820713,2025-10-10,,DSNY,Noise,Blocked Driveway,Open,BRONX
63560525,2025-09-15,,DSNY,Street Condition,Loud Music,Open,BROOKLYN
66030428,2026-01-01,2025-11-03,DSNY,Street Condition,Blocked Driveway,Closed,BRONX
63077742,2025-09-11,2025-11-17,DOT,Noise,Leak,Closed,MANHATTAN
62422148,2025-09-21,2025-12-03,DSNY,Water System,Blocked Driveway,Closed,BROOKLYN
67544801,2025-12-20,2025-12-28,HPD,Street Condition,Pothole,Closed,BRONX
62635372,2025-10-02,2025-11-14,DOT,Illegal Parking,Blocked Driveway,Closed,QUEENS
61228178,2025-09-08,2025-12-29,DSNY,Heat/Hot Water,Loud Music,Closed,QUEENS
64954236,2025-11-07,2025-11-06,DEP,Heat/Hot Water,Leak,Closed,BRONX
68780707,2025-11-05,2025-11-22,DOT,Illegal Parking,No Heat,Closed,QUEENS
63825062,2025-11-12,2025-12-24,DSNY,Illegal Parking,Blocked Driveway,Closed,QUEENS
69498278,2025-11-12,,DSNY,Street Condition,Loud Music,Open,BROOKLYN
64033227,2025-09-13,2025-12-07,DSNY,Water System,No Heat,Closed,MANHATTAN
66805433,2025-09-20,2025-11-18,DOT,Heat/Hot Water,Loud Music,Closed,STATEN ISLAND
64682242,2025-12-10,2025-12-28,NYPD,Illegal Parking,Pothole,Closed,MANHATTAN
66552490,2025-09-20,2025-11-03,DOT,Illegal Parking,Pothole,Closed,MANHATTAN
69413165,2025-12-21,,DSNY,Street Condition,Blocked Driveway,Open,MANHATTAN
61924060,2025-09-29,2025-11-25,DOT,Heat/Hot Water,Leak,Closed,QUEENS
67127215,2025-11-21,2025-12-03,DSNY,Water System,Leak,Closed,BROOKLYN
64222130,2025-10-30,2025-11-20,DOT,Heat/Hot Water,Loud Music,Closed,MANHATTAN
63012213,2025-12-06,,DSNY,Water System,No Heat,Open,BRONX
62173745,2025-11-09,,DSNY,Illegal Parking,Blocked Driveway,Open,MANHATTAN
67657261,2025-09-09,,DSNY,Heat/Hot Water,No Heat,Open,MANHATTAN
67781866,2025-10-02,2025-11-17,DEP,Noise,Blocked Driveway,Closed,BROOKLYN
64837003,2025-12-30,,DSNY,Noise,Loud Music,Open,STATEN ISLAND
67552208,2025-09-13,2025-12-17,DEP,Street Condition,No Heat,Closed,QUEENS
63602084,2025-10-22,2025-11-09,HPD,Illegal Parking,Leak,Closed,MANHATTAN
67667517,2025-12-17,,DOT,Water System,Blocked Driveway,Open,STATEN ISLAND
63499946,2025-11-23,,DEP,Water System,Leak,Open,BRONX
67524813,2025-12-01,,DEP,Noise,Leak,Open,BRONX
63228271,2025-09-23,,DOT,Heat/Hot Water,Blocked Driveway,Open,BROOKLYN
63703455,2025-10-07,2025-12-31,DEP,Water System,Blocked Driveway,Closed,QUEENS
60530591,2026-01-01,,DSNY,Heat/Hot Water,Blocked Driveway,Open,MANHATTAN
69361722,2025-12-10,2025-11-11,NYPD,Water System,Loud Music,Closed,BRONX
66776145,2025-09-06,2025-12-27,DEP,Water System,Leak,Closed,QUEENS
60313546,2025-12-25,2025-11-05,DOT,Noise,No Heat,Closed,BRONX
64029020,2025-12-07,2025-12-29,DOT,Street Condition,Pothole,Closed,MANHATTAN
61364827,2025-11-04,,DEP,Street Condition,No Heat,Open,QUEENS
62945120,2025-09-10,,DOT,Heat/Hot Water,Blocked Driveway,Open,QUEENS
68725772,2025-12-03,2025-11-02,DEP,Illegal Parking,Blocked Driveway,Closed,MANHATTAN
61659841,2025-10-25,2025-12-30,HPD,Street Condition,Loud Music,Closed,BRONX
62241006,2025-10-19,2025-12-03,DSNY,Water System,No Heat,Closed,MANHATTAN
66484116,2025-11-16,,NYPD,Street Condition,Leak,Open,QUEENS
65940770,2025-12-07,,DOT,Street Condition,Loud Music,Open,STATEN ISLAND
69969785,2025-09-06,2025-12-07,DSNY,Noise,Leak,Closed,BROOKLYN
69218900,2025-10-02,,DOT,Street Condition,Blocked Driveway,Open,BROOKLYN
60958371,2025-12-08,,HPD,Illegal Parking,No Heat,Open,QUEENS
61352694,2025-12-12,2025-11-17,NYPD,Street Condition,No Heat,Closed,QUEENS
67611930,2025-10-11,2025-12-20,DEP,Heat/Hot Water,Loud Music,Closed,MANHATTAN
67373935,2025-11-25,2025-11-14,DSNY,Illegal Parking,Pothole,Closed,QUEENS
67589272,2025-11-19,2025-12-11,DSNY,Illegal Parking,Leak,Closed,MANHATTAN
61895163,2025-09-20,2025-12-27,HPD,Water System,No Heat,Closed,STATEN ISLAND
62735872,2025-11-09,2025-12-06,HPD,Water System,Loud Music,Closed,BROOKLYN
67540514,2025-11-14,,DSNY,Water System,Leak,Open,MANHATTAN
69434644,2025-09-13,2025-12-11,HPD,Water System,Loud Music,Closed,BROOKLYN
66215074,2025-09-27,,NYPD,Street Condition,Blocked Driveway,Open,STATEN ISLAND
66530332,2025-11-16,2025-12-19,NYPD,Noise,Loud Music,Closed,BROOKLYN
61921915,2025-10-31,2025-11-28,DOT,Water System,Blocked Driveway,Closed,BRONX
68352037,2025-10-03,2025-12-02,DOT,Street Condition,Leak,Closed,MANHATTAN
64724306,2025-10-19,2025-12-02,DEP,Noise,Pothole,Closed,QUEENS
67829186,2025-12-16,2025-12-20,NYPD,Illegal Parking,Blocked Driveway,Closed,BRONX
60237879,2025-09-05,2025-11-12,DEP,Street Condition,Pothole,Closed,STATEN ISLAND
65566574,2025-09-17,2025-12-05,DSNY,Illegal Parking,Pothole,Closed,BRONX
68851963,2025-12-02,,DOT,Illegal Parking,Blocked Driveway,Open,STATEN ISLAND
60174010,2025-09-07,2025-12-25,DOT,Heat/Hot Water,Leak,Closed,QUEENS
61769884,2025-10-10,2025-11-03,DEP,Illegal Parking,Loud Music,Closed,STATEN ISLAND
63943177,2025-11-29,,DSNY,Heat/Hot Water,No Heat,Open,MANHATTAN
63055334,2025-09-06,2025-11-03,NYPD,Noise,Blocked Driveway,Closed,MANHATTAN
65509319,2025-10-04,2025-12-02,NYPD,Water System,No Heat,Closed,BROOKLYN
61737878,2025-10-24,2025-12-10,DSNY,Street Condition,Blocked Driveway,Closed,STATEN ISLAND
64663274,2025-10-02,2025-12-04,DEP,Noise,Leak,Closed,BRONX
67244039,2025-11-28,,HPD,Water System,Pothole,Open,MANHATTAN
60384817,2025-11-10,2025-11-03,NYPD,Street Condition,Pothole,Closed,BRONX
60927879,2025-09-28,,DOT,Illegal Parking,Leak,Open,MANHATTAN
67415651,2025-10-31,2025-12-18,NYPD,Illegal Parking,Leak,Closed,QUEENS
69354389,2025-11-26,,HPD,Heat/Hot Water,Leak,Open,BRONX
62034173,2025-10-19,2025-11-22,DOT,Water System,Leak,Closed,QUEENS
66118184,2025-09-15,2025-11-10,DEP,Illegal Parking,Pothole,Closed,MANHATTAN
64217367,2025-11-26,2025-11-17,NYPD,Noise,Pothole,Closed,MANHATTAN
67382435,2025-10-23,2025-11-17,HPD,Illegal Parking,Blocked Driveway,Closed,MANHATTAN
69552562,2025-12-28,,DEP,Street Condition,Loud Music,Open,BROOKLYN
61787115,2025-09-30,2025-11-12,DSNY,Water System,Blocked Driveway,Closed,MANHATTAN
62611563,2025-09-11,,DSNY,Illegal Parking,Leak,Open,BRONX
62217431,2025-11-21,2025-11-28,NYPD,Noise,Loud Music,Closed,STATEN ISLAND
64606832,2025-10-31,2025-11-30,DOT,Illegal Parking,Loud Music,Closed,BRONX
68843659,2025-10-06,2025-12-29,NYPD,Illegal Parking,No Heat,Closed,BROOKLYN
62916773,2025-11-26,2025-12-16,NYPD,Illegal Parking,Loud Music,Closed,STATEN ISLAND
62011028,2025-11-07,,HPD,Heat/Hot Water,Loud Music,Open,BROOKLYN
65005600,2025-11-06,2025-11-16,DSNY,Illegal Parking,Pothole,Closed,MANHATTAN
68909526,2025-11-07,2025-12-16,NYPD,Illegal Parking,Leak,Closed,MANHATTAN
62331883,2025-11-13,2025-12-02,DOT,Street Condition,Leak,Closed,BROOKLYN
67107493,2025-09-10,2025-12-24,HPD,Illegal Parking,No Heat,Closed,BRONX
63610755,2025-10-29,2025-12-06,DOT,Street Condition,Blocked Driveway,Closed,STATEN ISLAND
60521656,2025-11-19,2025-11-05,HPD,Illegal Parking,Loud Music,Closed,QUEENS
61275286,2025-10-14,2025-12-13,DEP,Heat/Hot Water,Blocked Driveway,Closed,MANHATTAN
66439714,2025-10-17,,NYPD,Heat/Hot Water,Leak,Open,STATEN ISLAND
61992862,2025-10-13,,HPD,Heat/Hot Water,No Heat,Open,STATEN ISLAND
69063759,2025-12-06,2025-11-28,NYPD,Street Condition,Loud Music,Closed,MANHATTAN
65054532,2025-09-17,,DOT,Water System,Blocked Driveway,Open,STATEN ISLAND
60159881,2025-10-01,,HPD,Heat/Hot Water,Leak,Open,BROOKLYN
63313179,2025-10-05,2025-11-07,NYPD,Illegal Parking,Blocked Driveway,Closed,MANHATTAN
65565560,2025-12-08,,HPD,Heat/Hot Water,Blocked Driveway,Open,STATEN ISLAND
63091394,2025-11-01,2025-12-02,HPD,Street Condition,Leak,Closed,BRONX
65177508,2025-10-23,2025-11-23,DOT,Street Condition,No Heat,Closed,MANHATTAN
69526203,2025-11-11,2025-11-29,DEP,Noise,Pothole,Closed,BROOKLYN
62598113,2025-12-29,2025-12-11,DOT,Street Condition,Pothole,Closed,MANHATTAN
65944866,2025-10-04,,DEP,Water System,Loud Music,Open,STATEN ISLAND
65175015,2025-10-16,2025-11-27,NYPD,Heat/Hot Water,Pothole,Closed,STATEN ISLAND
67281358,2025-11-26,,NYPD,Water System,No Heat,Open,MANHATTAN
64558058,2025-12-17,,DEP,Street Condition,Leak,Open,BROOKLYN
69987830,2025-12-07,,DEP,Heat/Hot Water,No Heat,Open,BROOKLYN
60208053,2025-09-28,2025-12-11,HPD,Water System,Leak,Closed,MANHATTAN
69651797,2025-11-12,,NYPD,Noise,Pothole,Open,BROOKLYN
64656851,2025-12-06,2025-11-08,NYPD,Illegal Parking,Loud Music,Closed,BRONX
65258091,2025-10-07,,DSNY,Street Condition,No Heat,Open,BRONX
60302886,2025-09-23,,NYPD,Water System,Loud Music,Open,QUEENS
68669877,2025-09-05,2025-11-04,DOT,Heat/Hot Water,No Heat,Closed,STATEN ISLAND
62723422,2025-10-19,2025-11-15,DOT,Street Condition,Blocked Driveway,Closed,STATEN ISLAND
67419043,2025-09-24,,DSNY,Street Condition,Loud Music,Open,MANHATTAN
69021885,2025-11-12,2025-11-07,DSNY,Street Condition,Loud Music,Closed,BRONX
66100034,2025-10-01,2025-12-16,DSNY,Illegal Parking,No Heat,Closed,BROOKLYN
68669608,2025-10-14,2025-12-01,HPD,Heat/Hot Water,Loud Music,Closed,QUEENS
62478518,2025-11-15,,DSNY,Water System,Leak,Open,MANHATTAN
