school_name,major_name,notice_title,source_relative_url,published_date,province,school_type,school_attribute,notice_id,snapshot_year,freshness_status,official_verification_required,state,data_nature
青岛大学,电气工程及其自动化,青岛大学电气工程学科2021年研究生招生预调剂信息,/tiaoji/schooldetail/id/29167.shtml,2021-03-08,山东,综合类,"（2011年） 
（2012年）
（2013年）",B022-TJ-0013,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中国运载火箭技术研究院,仪器科学与技术,中国运载火箭技术研究院第102研究所2021年硕士招生（..,/tiaoji/schooldetail/id/29165.shtml,2021-03-08,北京,,,B022-TJ-0014,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
广西大学,哲学、应用经济学、法学、..,2021年广西大学硕士研究生招生考试复试调剂公告,/tiaoji/schooldetail/id/29163.shtml,2021-03-08,广西,综合类,"（2017年）
（1999年）
 （2004年）  
（2011年）
（2012年）",B022-TJ-0015,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
北华大学,马克思主义基本原理、马克..,北华大学马克思主义学院2021年硕士研究生预调剂通知,/tiaoji/schooldetail/id/29161.shtml,2021-03-08,吉林,综合,"（2012年）
（2014年
全国高校实践育人创新创业基地（2015年）
（2017年）
（2014年）",B022-TJ-0016,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
河北工程大学,材料与化工,2021年河北工程大学材料与化工(专硕)调剂信息,/tiaoji/schooldetail/id/29159.shtml,2021-03-08,河北,理工,"省属重点骨干大学（2011年）
（2010年） 
（2016年） 
河北省国家一流大学建设二层次高校（2016年）
应急管理学院建设首批试点学校（2020年）",B022-TJ-0017,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中科院宁波材料技术与工程研究所,有机合成、高分子合成方向,2021年宁波大学与中科院宁波材料所材料及化工类招收调..,/tiaoji/schooldetail/id/29157.shtml,2021-03-08,北京,,,B022-TJ-0018,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中国水科院黑龙江水产研究所,水产养殖学、渔业资源学,2021年中国农业科学院黑龙江水产研究所水产考研调剂信..,/tiaoji/schooldetail/id/29155.shtml,2021-03-08,黑龙江,,,B022-TJ-0019,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中国石油大学（北京）,石油与天然气工程,2021年中国石油大学(北京)石油与天然气工程考研调剂信..,/tiaoji/schooldetail/id/29153.shtml,2021-03-08,北京,理工,"（2017年）
（1997年）
（2006年）
（1960年）
（2011年）",B022-TJ-0020,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
华南师范大学,生物和医学相关专业,2021年华南师范大学生物和医学相关专业调剂信息,/tiaoji/schooldetail/id/29151.shtml,2021-03-08,广东,,,B022-TJ-0021,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
北京航空材料研究院,材料科学与工程、固体力学,北京航空材料研究院2021年接收硕士研究生调剂信息,/tiaoji/schooldetail/id/29149.shtml,2021-03-08,北京,,,B022-TJ-0022,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
华侨大学,计算机科学与技术、软件工..,2021年华侨大学计算机科学与技术、软件工程考研调剂信..,/tiaoji/schooldetail/id/29147.shtml,2021-03-08,福建,综合,"国家重点建设大学（1983年入选） 
（2003年入选） 
福建省高水平大学（2016年入选）
福建省“双一流”建设高校（2017年入选）",B022-TJ-0023,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
福建农林大学,作物遗传育种、生物学、农..,2021年福建农林大学植物免疫研究中心接收生物学、农学..,/tiaoji/schooldetail/id/29145.shtml,2021-03-08,福建,农林,"福建省重点建设高校（2003年）
农业部与福建省人民政府共建大学（2011）
国家林业局与福建省人民政府共建大学（2012）
福建省高水平大学建设高校（2014）
福建省一流大学建设高校（2018）",B022-TJ-0024,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
大连大学,生物学植物学,2021年大连大学生物学植物学招收调剂信息,/tiaoji/schooldetail/id/29143.shtml,2021-03-08,辽宁,综合类,"（2014）
（2005）
（2016）",B022-TJ-0025,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
长春大学,材料与化工,2021年长春大学材料与化工考研调剂信息,/tiaoji/schooldetail/id/29141.shtml,2021-03-08,吉林,综合,"省属综合性大学
全国深化创新创业教育改革示范高校（2017年）",B022-TJ-0026,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
重庆邮电大学,数学、物理、计算机、软件..,2021年重庆邮电大学数学、物理、计算机、自动化等相关..,/tiaoji/schooldetail/id/29139.shtml,2021-03-08,重庆,理工类,"（2012年） 
与共建高校（2006年）  
（2014年）
（2011年）",B022-TJ-0027,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
海南大学,林学、林业,2021年海南大学林学、林业考研调剂信息,/tiaoji/schooldetail/id/29137.shtml,2021-03-08,海南,综合类,"（2008年）
（2017年）
（2012年）
（2018年）
（2011年）",B022-TJ-0028,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
燕山大学,机械设计及理论、冶金机械..,燕山大学机械工程学院关于2021年硕士调剂咨询工作安排..,/tiaoji/schooldetail/id/29135.shtml,2021-03-08,河北,,河北省“双一流”建设高校,B022-TJ-0029,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
燕山大学,应用统计、数学、物理学、..,燕山大学理学院关于2021年硕士研究生调剂咨询工作的通..,/tiaoji/schooldetail/id/29133.shtml,2021-03-08,河北,,河北省“双一流”建设高校,B022-TJ-0030,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
广西艺术学院,,广西艺术学院2021年硕士研究生招生调剂复试问答(一),/tiaoji/schooldetail/id/29131.shtml,2021-03-08,广西,公立大学,艺术类,B022-TJ-0031,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
上海应用技术大学,安全工程、管理科学与工程..,2021年上海应用技术大学城市建设与安全工程学院研究生..,/tiaoji/schooldetail/id/29129.shtml,2021-03-08,上海,理工,"应用技术大学（学院）联盟
卓越工程师教育培养计划
上海市
全国100所应用型示范本科高校建设单位
上海高水平地方应用型高校",B022-TJ-0032,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
沈阳工业大学,化学工程与技术、环境科学..,沈阳工业大学环境与化学工程学院2021年研究生复试、调..,/tiaoji/schooldetail/id/29127.shtml,2021-03-08,辽宁,,,B022-TJ-0033,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
东北石油大学,马克思主义理论,东北石油大学马克思主义学院2021年硕士研究生调剂信息,/tiaoji/schooldetail/id/29125.shtml,2021-03-08,黑龙江,理工类,"（1978年）
（2010年）
实施高校（2011年）
实施高校 （2008年）
建设高校（2010年）",B022-TJ-0034,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
武汉工程大学,化学工程与技术、材料科学..,2021年武汉工程大学化学工程与技术、材料科学与工程调..,/tiaoji/schooldetail/id/29123.shtml,2021-03-08,湖北,理工,"高校（2011）
（2012）
（2018）
湖北省国内一流学科建设高校（2018）",B022-TJ-0035,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
西北大学,计算机科学与技术,2021年西北大学计算机科学与技术考研调剂信息,/tiaoji/schooldetail/id/29121.shtml,2021-03-08,陕西,,,B022-TJ-0036,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
赣南医学院,生物化学与分子生物学,2021年赣南医学院生物化学与分子生物学调剂信息,/tiaoji/schooldetail/id/29119.shtml,2021-03-08,江西,,,B022-TJ-0037,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
燕山大学,金融,2021年燕山大学金融专硕调剂信息,/tiaoji/schooldetail/id/29117.shtml,2021-03-08,河北,,河北省“双一流”建设高校,B022-TJ-0038,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
河北科技大学,土木水利、工程管理,2021年河北科技大学建筑工程学院土木水利、工程管理考..,/tiaoji/schooldetail/id/29115.shtml,2021-03-08,河北,理工,"（2011年）  
（2013年）
国防生",B022-TJ-0039,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
河北科技大学,土木工程,2021年河北科技大学建筑工程学院土木工程考研调剂信息,/tiaoji/schooldetail/id/29113.shtml,2021-03-08,河北,理工,"（2011年）  
（2013年）
国防生",B022-TJ-0040,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
广东海洋大学,海洋化学、边缘海地质学,2021年广东海洋大学化学与环境学院海洋化学、边缘海地..,/tiaoji/schooldetail/id/29111.shtml,2021-03-08,广东,农林类,,B022-TJ-0041,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中国农业科学院,生物学/生态学/农学,2021年中国农业科学院培养硕士生物学/生态学/农学调剂..,/tiaoji/schooldetail/id/29109.shtml,2021-03-07,北京,,,B022-TJ-0042,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中国地质大学（武汉）,材料,2021年中国地质大学（武汉）材料类专业（无机非金属优..,/tiaoji/schooldetail/id/29107.shtml,2021-03-07,湖北,,"全国重点大学

985平台",B022-TJ-0043,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
华东交通大学,有机化学,2021年华东交通大学有机化学研究生调剂信息,/tiaoji/schooldetail/id/29105.shtml,2021-03-07,江西,理工类,"省属重点本科高校
 
（2011年入选）
（2016年入选）",B022-TJ-0044,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
桂林理工大学,材料科学与工程,2021年桂林理工大学材料科学与工程专业矿物环境材料课..,/tiaoji/schooldetail/id/29103.shtml,2021-03-07,广西,理工类,,B022-TJ-0045,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
浙江科技学院,信息与通信工程,2021年浙江科技学院智能信号处理与通信算法课题组信息..,/tiaoji/schooldetail/id/29101.shtml,2021-03-07,浙江,理工类,"省属普通高校
（2010年）",B022-TJ-0046,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
广西师范大学,无机化学、物理化学、材料..,2021年广西师范大学无机化学、物理化学、材料化学及相..,/tiaoji/schooldetail/id/29099.shtml,2021-03-07,广西,"省部共建大学(综合性)


广西重点支持的国内同类一流大学",,B022-TJ-0047,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
陕西科技大学,环境科学与工程,2021年陕西科技大学环境科学与工程调剂信息,/tiaoji/schooldetail/id/29097.shtml,2021-03-07,陕西,理工,"（1998年）
（2011年）
（2011年）
 （2012年）
（2018年）",B022-TJ-0048,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
集美大学,微生物与药理学,2021年集美大学生物学考研调剂信息,/tiaoji/schooldetail/id/29095.shtml,2021-03-07,福建,综合,"福建省重点建设高校（2004）
交通运输部与福建省共建高校（2007）
福建省与厦门市共建高校（2012）
卓越工程师教育培养计划 （2013）
卓越农林人才教育培养计划（2014）",B022-TJ-0049,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
山西师范大学,化学、材料科学与工程,2021年山西师范大学化学、材料科学与工程考研调剂信息,/tiaoji/schooldetail/id/29093.shtml,2021-03-07,山西,师范类,"（2012-2015）
改革项目（2014）
山西省",B022-TJ-0050,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
湘潭大学,化学工程,2021年湘潭大学化学学院化学工程研究生调剂信息,/tiaoji/schooldetail/id/29091.shtml,2021-03-07,湖南,综合,湖南省国内一流大学建设高校,B022-TJ-0051,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
吉林师范大学,材料科学与工程,2021年吉林师范大学材料科学与工程考研调剂信息,/tiaoji/schooldetail/id/29089.shtml,2021-03-07,吉林,师范类,"（2004年入选）
（2014年入选）",B022-TJ-0052,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
吉林师范大学,物理学,2021年吉林师范大学物理学研究生调剂信息,/tiaoji/schooldetail/id/29087.shtml,2021-03-07,吉林,师范类,"（2004年入选）
（2014年入选）",B022-TJ-0053,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
浙江中医药大学,中药学,2021年浙江中医药大学中药学研究生调剂信息,/tiaoji/schooldetail/id/29085.shtml,2021-03-06,浙江,医药,"省属普通本科院校
浙江省人民政府、国家中医药管理局、教育部共建高校（2017年）
（2017年）
（2017年）",B022-TJ-0054,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
华东交通大学,化学与物理,2021年华东交通大学高分子化学与物理研究生调剂信息,/tiaoji/schooldetail/id/29083.shtml,2021-03-06,江西,理工类,"省属重点本科高校
 
（2011年入选）
（2016年入选）",B022-TJ-0055,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
天津科技大学,轻工技术与工程、 材料与..,2021年天津科技大学轻工技术与工程、 材料与化工考研..,/tiaoji/schooldetail/id/29081.shtml,2021-03-06,天津,,天津市,B022-TJ-0056,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
西南科技大学,化学、化学工程与技术，高..,2021年西南科技大学功能复合材料课题组化学、化学工程..,/tiaoji/schooldetail/id/29079.shtml,2021-03-06,四川,理工,"国家之一



教育部",B022-TJ-0057,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
长江大学,水利工程,2021年长江大学资源与环境学院水利工程考研调剂信息,/tiaoji/schooldetail/id/29077.shtml,2021-03-06,湖北,综合类,"省属重点本科高校
省部共建高校（2012年）
中西部高校基础能力建设工程（2012年）
卓越工程师教育培养计划（2012年）
卓越农林人才教育培养计划（2014年）",B022-TJ-0058,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
燕山大学,MBA,2021年燕山大学MBA研究生调剂信息,/tiaoji/schooldetail/id/29075.shtml,2021-03-06,河北,,河北省“双一流”建设高校,B022-TJ-0059,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
浙江工业大学,材料科学与工程、材料与化..,2021年浙江工业大学材料科学与工程、材料与化工调剂信..,/tiaoji/schooldetail/id/29073.shtml,2021-03-06,浙江,理工类,"（2013年）
（2009年）
（2010年）
（2014年）
（2015年）",B022-TJ-0060,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
西安交通大学,材料科学、生物医学工程,（校内调剂）2021年西安交通大学生命科学与技术学院材..,/tiaoji/schooldetail/id/29071.shtml,2021-03-06,陕西,公立大学,综合类,B022-TJ-0061,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
西安交通大学,力学、生物学、生物物理学,（校内调剂）2021年西安交通大学生命科学与技术学院力..,/tiaoji/schooldetail/id/29069.shtml,2021-03-06,陕西,公立大学,综合类,B022-TJ-0062,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
浙江理工大学,理论物理、凝聚态物理,2021年浙江理工大学物理系量子材料计算团队（理论物理..,/tiaoji/schooldetail/id/29067.shtml,2021-03-06,浙江,理工类,省属重点建设大学,B022-TJ-0063,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
吉林大学,应用化学、材料与化工,2021年吉林大学化学学院应用化学、材料与化工研究生调..,/tiaoji/schooldetail/id/29065.shtml,2021-03-06,吉林,综合,（世界一流大学A类建设高校）,B022-TJ-0064,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
云南师范大学,物理学、光学工程,2021年云南师范大学物理学、光学工程研究生调剂信息,/tiaoji/schooldetail/id/29063.shtml,2021-03-06,云南,师范类,"（和共建）
 
（2013年）
（2014年）",B022-TJ-0065,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
天津大学,轻工技术与工程、材料与化..,2021年天津大学轻工技术与工程、材料与化工研究生调剂..,/tiaoji/schooldetail/id/29061.shtml,2021-03-06,天津,,综合性,B022-TJ-0066,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
北京工商大学,高分子材料,2021年北京工商大学高分子材料考研调剂信息,/tiaoji/schooldetail/id/29059.shtml,2021-03-06,北京,财经,北京市重点建设大学,B022-TJ-0067,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
河南大学,物理学、电子科学与技术,2021年河南大学物理学、电子科学与技术研究生调剂信息,/tiaoji/schooldetail/id/29057.shtml,2021-03-06,河南,综合,"（2017年） 
（2016年）
（2008年）
（2012年） 
（2012年）",B022-TJ-0068,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中原工学院,物理与材料,2021年中原工学院-理学院-低维量子物理与材料调剂信息,/tiaoji/schooldetail/id/29055.shtml,2021-03-06,河南,理工,,B022-TJ-0069,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
江西科技师范大学,成人教育学,江西科技师范大学成人教育学专业2021年接收调剂,/tiaoji/schooldetail/id/29053.shtml,2021-03-06,江西,,"省属重点本科高校
（2014） 
江西省 
江西省建设高校（2017）
省属重点大学",B022-TJ-0070,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
重庆三峡学院,土木水利,2021年重庆三峡学院土木工程学院土木水利考研调剂信息,/tiaoji/schooldetail/id/29051.shtml,2021-03-06,重庆,综合类,"全日制普通本科院校

（2014年）",B022-TJ-0071,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
北华大学,基础数学、计算数学、概率..,2021年北华大学数学与统计学院基础数学、计算数学、概..,/tiaoji/schooldetail/id/29049.shtml,2021-03-06,吉林,综合,"（2012年）
（2014年
全国高校实践育人创新创业基地（2015年）
（2017年）
（2014年）",B022-TJ-0072,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
西华师范大学,人文地理学、地图学与地理..,2021年西华师范大学国土资源学院人文地理学、地图学与..,/tiaoji/schooldetail/id/29047.shtml,2021-03-06,四川,综合（师范）类,四川省属重点大学,B022-TJ-0073,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
广州医科大学,肿瘤学、生物医学工程,广州医科大学2021年肿瘤学、生物医学工程考研调剂信息,/tiaoji/schooldetail/id/29045.shtml,2021-03-06,广东,,,B022-TJ-0074,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
中国人民解放军军事科学院,生物学、生物医学工程、基..,2021年军事科学院军事医学研究院生命组学研究所生物医..,/tiaoji/schooldetail/id/29043.shtml,2021-03-06,北京,,,B022-TJ-0075,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
湖北工业大学,食品科学与工程、农产品加..,2021年湖北工业大学食品科学与工程、农产品加工与贮藏..,/tiaoji/schooldetail/id/29041.shtml,2021-03-06,湖北,理工,"（2011年）
（2012年）
（2014年）
（2017年）",B022-TJ-0076,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
上海工程技术大学,材料、机械,2021年上海工程技术大学上市市先进激光制造协同创新中..,/tiaoji/schooldetail/id/29039.shtml,2021-03-06,上海,理工,"上海高水平地方应用型高校建设单位 
全国地方高校新工科建设牵头单位 
长三角高水平特色地方高校创新联盟",B022-TJ-0077,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
武汉科技大学,化学与化工学院 先进炭材..,2021年武汉科技大学化学与化工学院 先进炭材料工程研..,/tiaoji/schooldetail/id/29037.shtml,2021-03-06,湖北,理工,"全日制普通高等学校
（2013年）
国家（2016年）
湖北省“双一流”建设高校（2018年）
（2013年）",B022-TJ-0078,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
东北农业大学,化学工程与技术,东北农业大学化学工程与技术2021年考研调剂信息,/tiaoji/schooldetail/id/29035.shtml,2021-03-06,黑龙江,农林类,"（2017年入选）

（1996年入选）
（2013年入选）
（2014年入选）",B022-TJ-0079,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
湖南科技大学,数学,2021年湖南科技大学数学专业考研调剂信息,/tiaoji/schooldetail/id/29033.shtml,2021-03-06,湖南,综合类,,B022-TJ-0080,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
郑州轻工业大学,材料科学与工程,2021年郑州轻工业大学材料科学与工程考研调剂信息,/tiaoji/schooldetail/id/29031.shtml,2021-03-06,河南,,,B022-TJ-0081,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
北京理工大学,人工智能与博弈论方向计算..,2021年北京理工大学人工智能与博弈论方向计算机科学与..,/tiaoji/schooldetail/id/29029.shtml,2021-03-06,北京,理工,"（2017年）
（1959年）
（1995年）
（2000年）
（2008年）",B022-TJ-0082,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
山东省医学科学院,基础医学,2021年山东省医学科学院基础医学考研调剂信息,/tiaoji/schooldetail/id/29027.shtml,2021-03-06,山东,,,B022-TJ-0083,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
四川轻化工大学,土木工程、计算数学、计算..,2021年四川轻化工大学土木工程、计算数学、计算力学、..,/tiaoji/schooldetail/id/29025.shtml,2021-03-06,四川,,,B022-TJ-0084,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
东北农业大学,农业生物环境与能源工程,2021年东北农业大学农业生物环境与能源工程调剂信息,/tiaoji/schooldetail/id/29023.shtml,2021-03-05,黑龙江,农林类,"（2017年入选）

（1996年入选）
（2013年入选）
（2014年入选）",B022-TJ-0085,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
桂林电子科技大学,信息与通信工程,2021年桂林电子科技大学信息与通信学院光通信研究课题..,/tiaoji/schooldetail/id/29021.shtml,2021-03-05,广西,理工类,,B022-TJ-0086,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
太原科技大学,环境科学与工程（学硕）、..,2021年太原科技大学环境与安全学院研究生调剂信息,/tiaoji/schooldetail/id/29019.shtml,2021-03-05,山西,理工,"全日制普通本科院校
国家（2016年）
教育部（2016年）
教育部实施高校（2018年）",B022-TJ-0087,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
沈阳工程学院,能源动力专业（动力工程方..,2021年沈阳工程学院能源动力专业（动力工程方向）可能..,/tiaoji/schooldetail/id/29017.shtml,2021-03-05,辽宁,理工,辽宁省,B022-TJ-0088,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
武汉轻工大学,机械工程（学硕）、机械（..,2021年武汉轻工大学机械工程学院硕士研究生预调剂通知,/tiaoji/schooldetail/id/29015.shtml,2021-03-05,湖北,理工,"国家粮食和物资储备局与湖北省人民政府共建高校（2018）
湖北省国内一流学科建设高校（2018）
第一批卓越农林人才教育培养计划（2014）",B022-TJ-0089,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
武汉科技大学,材料科学与工程、材料学、..,2021年武汉科技大学材料与冶金学院材料科学与工程、材..,/tiaoji/schooldetail/id/29013.shtml,2021-03-05,湖北,理工,"全日制普通高等学校
（2013年）
国家（2016年）
湖北省“双一流”建设高校（2018年）
（2013年）",B022-TJ-0090,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
佛山科学技术学院,机械工程、电子信息、国际..,佛山科学技术学院2021年硕士研究生预调剂公告（一）,/tiaoji/schooldetail/id/29011.shtml,2021-03-05,湖南,,,B022-TJ-0091,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
哈尔滨工程大学,电子信息、水声工程、机械,2021年哈尔滨工程大学电子信息、水声工程、机械调剂信..,/tiaoji/schooldetail/id/29009.shtml,2021-03-05,黑龙江,理工类,"（2017年）
（1996年）
工业和信息化部、教育部、黑龙江省、哈尔滨市共建高校（2019年）
（2011年）",B022-TJ-0092,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
