user_id,buy_count,cart_count,view_count,engagement_score,value_segment,recency_available,monetary_available,data_nature
U00043,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00044,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00045,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00046,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00047,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00048,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00049,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00050,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00051,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00052,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00053,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00054,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00055,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00056,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00057,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00058,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00059,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00060,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00061,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00062,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00063,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00064,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00065,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00066,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00067,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00068,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00069,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00070,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00071,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00072,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00073,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00074,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00075,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00076,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00077,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00078,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00079,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00080,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00081,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00082,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00083,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00084,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00085,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00086,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00087,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00088,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00089,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00090,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00091,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00092,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00093,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00094,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00095,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00096,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00097,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00098,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00099,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00100,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00101,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00102,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00103,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00104,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00105,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00106,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00107,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00108,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00109,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00110,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00111,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00112,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00113,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00114,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00115,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00116,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00117,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00118,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00119,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00120,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00121,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00122,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00123,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00124,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00125,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00126,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00127,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00128,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00129,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00130,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00131,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00132,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00133,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00134,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00135,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00136,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00137,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00138,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00139,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00140,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00141,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00142,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00143,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00144,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00145,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00146,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00147,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00148,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00149,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00150,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00151,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00152,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00153,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00154,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00155,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00156,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00157,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00158,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00159,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00160,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00161,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00162,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00163,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00164,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00165,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00166,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00167,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00168,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00169,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00170,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00171,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00172,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00173,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00174,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00175,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00176,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00177,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00178,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00179,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00180,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00181,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00182,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00183,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00184,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00185,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00186,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00187,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00188,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00189,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00190,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00191,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00192,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00193,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00194,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00195,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00196,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00197,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00198,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00199,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00200,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00201,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00202,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00203,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00204,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00205,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00206,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00207,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00208,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00209,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00210,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00211,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00212,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00213,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00214,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00215,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00216,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00217,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00218,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00219,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00220,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00221,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00222,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00223,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00224,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00225,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00226,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00227,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00228,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00229,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00230,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00231,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00232,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00233,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00234,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00235,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00236,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00237,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00238,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00239,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00240,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00241,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00242,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00243,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00244,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00245,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00246,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00247,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00248,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00249,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00250,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00251,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00252,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00253,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00254,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00255,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00256,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00257,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00258,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00259,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00260,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00261,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00262,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00263,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00264,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00265,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00266,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00267,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00268,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00269,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00270,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00271,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00272,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00273,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00274,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00275,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00276,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00277,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00278,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00279,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00280,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00281,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00282,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00283,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00284,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00285,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00286,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00287,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00288,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00289,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00290,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00291,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00292,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00293,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00294,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00295,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00296,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00297,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00298,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00299,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00300,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00301,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00302,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00303,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00304,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00305,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00306,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00307,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00308,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00309,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00310,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00311,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00312,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00313,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00314,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00315,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00316,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00317,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00318,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00319,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00320,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00321,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00322,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00323,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00324,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00325,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00326,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00327,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00328,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00329,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00330,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00331,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00332,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00333,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00334,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00335,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00336,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00337,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00338,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00339,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00340,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00341,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00342,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00343,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00344,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00345,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00346,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00347,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00348,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00349,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00350,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00351,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00352,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00353,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00354,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00355,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00356,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00357,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00358,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00359,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00360,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00361,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00362,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00363,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00364,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00365,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00366,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00367,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00368,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00369,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00370,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00371,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00372,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00373,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00374,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00375,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00376,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00377,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00378,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00379,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00380,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00381,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00382,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00383,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00384,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00385,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00386,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00387,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00388,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00389,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00390,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00391,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00392,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00393,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00394,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00395,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00396,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00397,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00398,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00399,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00400,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00401,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00402,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00403,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
