event_id,start_time,end_time,duration_seconds,direction,minimum_temperature,maximum_temperature,source_samples,recovery_time,data_quality_state,rule_review_state,data_nature
BT-0015,2022-03-28 11:09:04,2022-03-28 11:24:49,950,低于来源区间,517.05,529.97,190,2022-03-28 11:24:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0016,2022-03-28 12:38:14,2022-03-28 12:44:44,395,低于来源区间,526.63,529.94,79,2022-03-28 12:44:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0017,2022-03-28 14:43:14,2022-03-28 14:48:54,345,低于来源区间,529.08,529.98,69,2022-03-28 14:48:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0018,2022-03-28 15:02:24,2022-03-28 15:08:29,370,低于来源区间,528.41,529.91,74,2022-03-28 15:08:34,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0019,2022-03-28 15:20:24,2022-03-28 15:41:29,1270,低于来源区间,524.94,529.98,254,2022-03-28 15:41:34,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0020,2022-03-28 16:08:54,2022-03-28 16:11:54,185,高于来源区间,545.03,545.39,37,2022-03-28 16:11:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0021,2022-03-28 17:00:39,2022-03-28 17:10:29,595,高于来源区间,545.01,547.01,119,2022-03-28 17:10:34,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0022,2022-03-28 17:23:49,2022-03-28 17:27:04,200,高于来源区间,545.03,545.18,40,2022-03-28 17:27:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0023,2022-03-28 17:27:14,2022-03-28 17:27:14,5,高于来源区间,545.03,545.03,1,2022-03-28 17:27:19,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0024,2022-03-28 18:06:59,2022-03-28 18:10:39,225,高于来源区间,545.02,545.76,45,2022-03-28 18:10:44,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0025,2022-03-28 18:29:44,2022-03-28 18:33:54,255,高于来源区间,545.02,546.61,51,2022-03-28 18:33:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0026,2022-03-28 18:58:39,2022-03-28 19:02:44,250,高于来源区间,545.02,545.88,50,2022-03-28 19:02:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0027,2022-03-28 20:08:04,2022-03-28 20:08:04,5,高于来源区间,545.02,545.02,1,2022-03-28 20:08:09,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0028,2022-03-28 20:08:14,2022-03-28 20:10:54,165,高于来源区间,545.01,545.32,33,2022-03-28 20:10:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0029,2022-03-28 21:20:24,2022-03-28 21:25:24,305,高于来源区间,545.01,546.41,61,2022-03-28 21:25:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0030,2022-03-28 22:28:14,2022-03-28 22:35:39,450,高于来源区间,545.01,545.99,90,2022-03-28 22:35:44,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0031,2022-03-28 22:51:29,2022-03-28 22:52:19,55,低于来源区间,529.92,529.99,11,2022-03-28 22:52:24,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0032,2022-03-28 23:24:04,2022-03-28 23:28:59,300,高于来源区间,545.04,546.35,60,2022-03-28 23:29:04,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0033,2022-03-28 23:51:44,2022-03-28 23:58:19,400,高于来源区间,545.04,547.48,80,2022-03-28 23:58:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0034,2022-03-29 06:11:59,2022-03-29 06:16:49,295,低于来源区间,528.58,529.98,59,2022-03-29 06:16:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0035,2022-03-29 08:38:09,2022-03-29 08:42:24,260,高于来源区间,545.02,545.77,52,2022-03-29 08:42:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0036,2022-03-29 09:59:04,2022-03-29 10:04:19,320,高于来源区间,545.01,545.94,64,2022-03-29 10:04:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0037,2022-03-29 11:12:54,2022-03-29 11:20:44,475,高于来源区间,545.03,547.96,95,2022-03-29 11:20:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0038,2022-03-29 13:16:09,2022-03-29 13:18:09,125,高于来源区间,545.04,545.33,25,2022-03-29 13:18:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0039,2022-03-29 14:02:39,2022-03-29 14:05:39,185,低于来源区间,528.91,529.94,37,2022-03-29 14:05:44,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0040,2022-03-29 14:23:09,2022-03-29 14:26:39,215,高于来源区间,545.07,545.46,43,2022-03-29 14:26:44,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0041,2022-03-29 15:05:09,2022-03-29 15:09:29,265,低于来源区间,529,529.99,53,2022-03-29 15:09:34,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0042,2022-03-29 17:11:24,2022-03-29 17:15:04,225,低于来源区间,529.78,529.96,45,2022-03-29 17:15:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0043,2022-03-29 17:15:24,2022-03-29 17:15:24,5,低于来源区间,529.96,529.96,1,2022-03-29 17:15:29,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0044,2022-03-29 17:22:39,2022-03-29 17:46:59,1465,低于来源区间,526.63,529.98,293,2022-03-29 17:47:04,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0045,2022-03-29 17:47:09,2022-03-29 17:47:09,5,低于来源区间,529.98,529.98,1,2022-03-29 17:47:14,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0046,2022-03-29 17:52:39,2022-03-29 17:52:39,5,低于来源区间,529.95,529.95,1,2022-03-29 17:52:44,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0047,2022-03-29 17:52:49,2022-03-29 18:11:09,1105,低于来源区间,525.14,529.99,221,2022-03-29 18:11:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0048,2022-03-29 18:21:49,2022-03-29 18:28:19,395,低于来源区间,529.08,529.97,79,2022-03-29 18:28:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0049,2022-03-29 19:33:24,2022-03-29 19:42:14,535,低于来源区间,528.9,529.99,107,2022-03-29 19:42:19,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0050,2022-03-29 19:58:49,2022-03-29 20:11:54,790,低于来源区间,524.79,529.99,158,2022-03-29 20:11:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0051,2022-03-29 23:25:54,2022-03-29 23:37:49,720,低于来源区间,527.37,529.98,144,2022-03-29 23:37:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0052,2022-03-30 00:03:19,2022-03-30 00:09:14,360,低于来源区间,527.61,529.99,72,2022-03-30 00:09:19,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0053,2022-03-30 00:25:29,2022-03-30 00:27:09,105,低于来源区间,529.82,529.98,21,2022-03-30 00:27:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0054,2022-03-30 05:00:39,2022-03-30 05:11:49,675,低于来源区间,526.71,529.99,135,2022-03-30 05:11:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0055,2022-03-30 06:15:14,2022-03-30 06:21:19,370,低于来源区间,528.45,529.97,74,2022-03-30 06:21:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0056,2022-03-30 07:47:34,2022-03-30 07:50:09,160,低于来源区间,529.51,529.97,32,2022-03-30 07:50:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0057,2022-03-30 09:37:59,2022-03-30 09:44:19,385,低于来源区间,527.82,529.95,77,2022-03-30 09:44:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0058,2022-03-30 10:48:04,2022-03-30 10:53:29,330,低于来源区间,528.69,529.95,66,2022-03-30 10:53:34,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0059,2022-03-30 11:22:39,2022-03-30 11:30:24,470,高于来源区间,545.12,550.49,94,2022-03-30 11:30:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0060,2022-03-30 12:37:04,2022-03-30 12:45:44,525,高于来源区间,545.03,548.24,105,2022-03-30 12:45:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0061,2022-03-30 13:02:24,2022-03-30 13:05:19,180,高于来源区间,545.05,545.15,36,2022-03-30 13:05:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0062,2022-03-30 13:37:04,2022-03-30 13:39:14,135,高于来源区间,545.03,545.63,27,2022-03-30 13:39:19,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0063,2022-03-30 14:42:54,2022-03-30 14:50:19,450,高于来源区间,545.03,548.99,90,2022-03-30 14:50:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0064,2022-03-30 14:55:04,2022-03-30 15:04:24,565,高于来源区间,545.07,548.67,113,2022-03-30 15:04:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0065,2022-03-30 16:45:29,2022-03-30 16:52:09,405,低于来源区间,527.29,529.96,81,2022-03-30 16:52:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0066,2022-03-30 18:06:54,2022-03-30 18:17:39,650,低于来源区间,525.22,529.98,130,2022-03-30 18:17:44,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0067,2022-03-30 18:28:24,2022-03-30 18:35:34,435,低于来源区间,527.03,529.96,87,2022-03-30 18:35:39,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0068,2022-03-30 19:18:44,2022-03-30 19:23:04,265,低于来源区间,529.25,529.97,53,2022-03-30 19:23:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0069,2022-03-30 21:16:59,2022-03-30 21:31:49,895,低于来源区间,525.11,529.96,179,2022-03-30 21:31:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0070,2022-03-30 22:24:24,2022-03-30 22:32:19,480,低于来源区间,528.63,529.99,96,2022-03-30 22:32:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0071,2022-03-31 01:24:54,2022-03-31 01:29:54,305,高于来源区间,545.02,547.19,61,2022-03-31 01:29:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0072,2022-03-31 01:48:29,2022-03-31 01:53:24,300,高于来源区间,545.01,546.58,60,2022-03-31 01:53:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0073,2022-03-31 07:39:34,2022-03-31 07:46:09,400,高于来源区间,545.03,548.13,80,2022-03-31 07:46:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0074,2022-03-31 08:22:34,2022-03-31 08:25:39,190,低于来源区间,529.72,529.96,38,2022-03-31 08:25:44,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0075,2022-03-31 09:18:49,2022-03-31 09:28:49,605,低于来源区间,526.86,529.95,121,2022-03-31 09:28:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0076,2022-03-31 14:25:19,2022-03-31 14:29:54,280,高于来源区间,545.06,546.66,56,2022-03-31 14:29:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0077,2022-03-31 14:56:19,2022-03-31 15:00:04,230,低于来源区间,529.21,529.98,46,2022-03-31 15:00:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0078,2022-03-31 16:30:19,2022-03-31 16:35:59,345,高于来源区间,545.03,547.97,69,2022-03-31 16:36:04,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0079,2022-03-31 19:31:29,2022-03-31 19:36:49,325,低于来源区间,528.93,529.98,65,2022-03-31 19:36:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0080,2022-03-31 20:17:19,2022-03-31 20:22:14,300,低于来源区间,528.38,529.97,60,2022-03-31 20:22:19,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0081,2022-03-31 23:58:59,2022-04-01 00:00:54,120,高于来源区间,545.06,545.22,24,2022-04-01 00:00:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0082,2022-04-01 00:01:04,2022-04-01 00:01:04,5,高于来源区间,545.06,545.06,1,2022-04-01 00:01:09,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0083,2022-04-01 01:21:04,2022-04-01 01:24:09,190,高于来源区间,545.02,545.4,38,2022-04-01 01:24:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0084,2022-04-01 02:36:19,2022-04-01 02:56:44,1230,高于来源区间,545.06,548.53,246,2022-04-01 02:56:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0085,2022-04-01 03:13:29,2022-04-01 03:15:34,130,高于来源区间,545.01,545.23,26,2022-04-01 03:15:39,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0086,2022-04-01 03:27:59,2022-04-01 03:33:24,330,高于来源区间,545.04,547.34,66,2022-04-01 03:33:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0087,2022-04-01 03:43:29,2022-04-01 03:47:09,225,高于来源区间,545.04,546.58,45,2022-04-01 03:47:14,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0088,2022-04-01 04:00:54,2022-04-01 04:06:44,355,高于来源区间,545.02,547.34,71,2022-04-01 04:06:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0089,2022-04-01 04:21:54,2022-04-01 04:24:29,160,高于来源区间,545.04,545.51,32,2022-04-01 04:24:34,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0090,2022-04-01 06:10:44,2022-04-01 06:17:24,405,高于来源区间,545.03,547.64,81,2022-04-01 06:17:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0091,2022-04-01 06:31:54,2022-04-01 06:42:24,635,高于来源区间,545.04,547.21,127,2022-04-01 06:42:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0092,2022-04-01 07:23:19,2022-04-01 07:27:59,285,高于来源区间,545.04,545.85,57,2022-04-01 07:28:04,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0093,2022-04-01 11:11:49,2022-04-01 11:14:19,155,高于来源区间,545.02,546.06,31,2022-04-01 11:14:24,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
