order_id,day_index,arrival_minute,item_count,item_ids_preview,is_observed_production_order,data_nature
D01-O0039,1,7.1707,5,I0178;I0353;I0878;I0965;I0997,False,public-benchmark-derived
D01-O0040,1,7.8144,10,I0099;I0155;I0244;I0491;I0494;I0759;I0763;I0793;I0827;I0965,False,public-benchmark-derived
D01-O0041,1,7.8965,2,I0538;I1174,False,public-benchmark-derived
D01-O0042,1,7.9576,7,I0054;I0126;I0177;I0838;I0932;I0935;I0954,False,public-benchmark-derived
D01-O0043,1,8.3254,8,I0180;I0207;I0414;I0600;I0728;I0754;I0958;I1187,False,public-benchmark-derived
D01-O0044,1,8.925,8,I0054;I0478;I0648;I0681;I0857;I1021;I1038;I1165,False,public-benchmark-derived
D01-O0045,1,9.306,9,I0059;I0254;I0273;I0540;I0596;I0623;I0690;I0882;I1003,False,public-benchmark-derived
D01-O0046,1,9.4136,2,I0538;I0569,False,public-benchmark-derived
D01-O0047,1,9.603,3,I0545;I0748;I1055,False,public-benchmark-derived
D01-O0048,1,9.6709,5,I0167;I0744;I0913;I1141;I1164,False,public-benchmark-derived
D01-O0049,1,10.0841,1,I0346,False,public-benchmark-derived
D01-O0050,1,10.1384,4,I0707;I0893;I1014;I1106,False,public-benchmark-derived
D01-O0051,1,10.1525,9,I0261;I0362;I0408;I0410;I0509;I0546;I0650;I0749;I0810,False,public-benchmark-derived
D01-O0052,1,10.1752,3,I0212;I0761;I1114,False,public-benchmark-derived
D01-O0053,1,10.2413,5,I0136;I0213;I0411;I0831;I1008,False,public-benchmark-derived
D01-O0054,1,10.5882,5,I0051;I0557;I0632;I0746;I1007,False,public-benchmark-derived
D01-O0055,1,11.0762,1,I1122,False,public-benchmark-derived
D01-O0056,1,11.1639,10,I0031;I0060;I0153;I0253;I0318;I0531;I0758;I0797;I0952;I1189,False,public-benchmark-derived
D01-O0057,1,11.1704,3,I0087;I0570;I1042,False,public-benchmark-derived
D01-O0058,1,11.1807,5,I0006;I0327;I0466;I0468;I1082,False,public-benchmark-derived
D01-O0059,1,11.2145,5,I0226;I0265;I0350;I0770;I0798,False,public-benchmark-derived
D01-O0060,1,11.3014,1,I1006,False,public-benchmark-derived
D01-O0061,1,11.3603,1,I1039,False,public-benchmark-derived
D01-O0062,1,11.4236,7,I0361;I0475;I0545;I0756;I0841;I0915;I1070,False,public-benchmark-derived
D01-O0063,1,11.8462,10,I0091;I0094;I0187;I0254;I0511;I0529;I0709;I1010;I1082;I1101,False,public-benchmark-derived
D01-O0064,1,12.0531,7,I0020;I0164;I0328;I0393;I0844;I1039;I1062,False,public-benchmark-derived
D01-O0065,1,12.1773,3,I0181;I0350;I0491,False,public-benchmark-derived
D01-O0066,1,12.4992,7,I0289;I0420;I0681;I0744;I1004;I1116;I1175,False,public-benchmark-derived
D01-O0067,1,13.2156,4,I0034;I0109;I0375;I0729,False,public-benchmark-derived
D01-O0068,1,14.4036,4,I0124;I0714;I0829;I0853,False,public-benchmark-derived
D01-O0069,1,14.6293,3,I0165;I0797;I1071,False,public-benchmark-derived
D01-O0070,1,14.765,1,I1071,False,public-benchmark-derived
D01-O0071,1,14.9619,4,I0053;I0127;I0258;I0266,False,public-benchmark-derived
D01-O0072,1,15.4037,10,I0079;I0208;I0356;I0532;I0734;I0742;I0783;I0870;I1000;I1040,False,public-benchmark-derived
D01-O0073,1,15.7737,5,I0049;I0220;I0664;I0797;I1104,False,public-benchmark-derived
D01-O0074,1,15.8499,6,I0025;I0041;I0537;I0864;I1158;I1163,False,public-benchmark-derived
D01-O0075,1,15.8665,2,I0043;I0929,False,public-benchmark-derived
D01-O0076,1,15.9203,4,I0386;I0488;I0558;I0992,False,public-benchmark-derived
D01-O0077,1,16.0941,3,I0176;I0495;I1181,False,public-benchmark-derived
D01-O0078,1,16.2241,7,I0009;I0020;I0464;I0641;I0804;I0856;I1191,False,public-benchmark-derived
D01-O0079,1,16.409,2,I0155;I0911,False,public-benchmark-derived
D01-O0080,1,16.4206,4,I0046;I0316;I0644;I0789,False,public-benchmark-derived
D01-O0081,1,16.7017,1,I0511,False,public-benchmark-derived
D01-O0082,1,17.2964,2,I0465;I0624,False,public-benchmark-derived
D01-O0083,1,17.4591,7,I0034;I0124;I0394;I0550;I0587;I0769;I1175,False,public-benchmark-derived
D01-O0084,1,17.4976,3,I0979;I1116;I1127,False,public-benchmark-derived
D01-O0085,1,17.7676,7,I0589;I0605;I0711;I0781;I0799;I0909;I1006,False,public-benchmark-derived
D01-O0086,1,17.9525,8,I0075;I0190;I0373;I0386;I0691;I0873;I0934;I0938,False,public-benchmark-derived
D01-O0087,1,18.1823,9,I0057;I0324;I0412;I0465;I0487;I0956;I0984;I1027;I1039,False,public-benchmark-derived
D01-O0088,1,18.2191,8,I0149;I0323;I0434;I0574;I0704;I1010;I1149;I1191,False,public-benchmark-derived
D01-O0089,1,18.4299,1,I1034,False,public-benchmark-derived
D01-O0090,1,19.2292,5,I0055;I0322;I0346;I0700;I1072,False,public-benchmark-derived
D01-O0091,1,19.2814,1,I0166,False,public-benchmark-derived
D01-O0092,1,19.4954,7,I0041;I0295;I0406;I0680;I0699;I0829;I1124,False,public-benchmark-derived
D01-O0093,1,19.9062,6,I0100;I0160;I0446;I0573;I0739;I0971,False,public-benchmark-derived
D01-O0094,1,19.9809,4,I0109;I0493;I0876;I0943,False,public-benchmark-derived
D01-O0095,1,20.0702,10,I0345;I0364;I0443;I0714;I0744;I0815;I0826;I1073;I1127;I1132,False,public-benchmark-derived
D01-O0096,1,20.7454,10,I0164;I0247;I0260;I0267;I0462;I0502;I0583;I0643;I0871;I1200,False,public-benchmark-derived
D01-O0097,1,21.04,4,I0281;I0725;I0744;I1081,False,public-benchmark-derived
D01-O0098,1,21.0446,3,I0161;I0561;I0595,False,public-benchmark-derived
D01-O0099,1,21.1665,5,I0875;I0960;I0969;I0996;I1130,False,public-benchmark-derived
D01-O0100,1,21.4566,7,I0107;I0185;I0224;I0775;I0841;I1042;I1181,False,public-benchmark-derived
D01-O0101,1,21.7699,2,I0152;I0242,False,public-benchmark-derived
D01-O0102,1,21.789,6,I0012;I0135;I0741;I0970;I0995;I1141,False,public-benchmark-derived
D01-O0103,1,22.7842,10,I0236;I0342;I0455;I0552;I0561;I0763;I0771;I0909;I0928;I1086,False,public-benchmark-derived
D01-O0104,1,22.7883,9,I0058;I0107;I0521;I0535;I0721;I0808;I0852;I0872;I0900,False,public-benchmark-derived
D01-O0105,1,23.0955,7,I0023;I0203;I0299;I0372;I0383;I0434;I0693,False,public-benchmark-derived
D01-O0106,1,23.2181,4,I0147;I0319;I0454;I0490,False,public-benchmark-derived
D01-O0107,1,23.4229,7,I0089;I0140;I0159;I0186;I0341;I0953;I1182,False,public-benchmark-derived
D01-O0108,1,23.6395,6,I0188;I0468;I0512;I0611;I0620;I1194,False,public-benchmark-derived
D01-O0109,1,23.7444,7,I0075;I0300;I0314;I0633;I0980;I0995;I1043,False,public-benchmark-derived
D01-O0110,1,24.1939,1,I0624,False,public-benchmark-derived
D01-O0111,1,24.2981,9,I0029;I0161;I0346;I0436;I0662;I0713;I0769;I0799;I0960,False,public-benchmark-derived
D01-O0112,1,24.5514,2,I0228;I0764,False,public-benchmark-derived
D01-O0113,1,24.7475,6,I0335;I0367;I0597;I0649;I0933;I1064,False,public-benchmark-derived
D01-O0114,1,24.9702,2,I0037;I0380,False,public-benchmark-derived
D01-O0115,1,25.0546,3,I1048;I1146;I1197,False,public-benchmark-derived
D01-O0116,1,25.1095,5,I0318;I0414;I0540;I0661;I1197,False,public-benchmark-derived
D01-O0117,1,25.5908,6,I0404;I0494;I0547;I0628;I1079;I1152,False,public-benchmark-derived
D01-O0118,1,25.8415,5,I0184;I0597;I0616;I0711;I1010,False,public-benchmark-derived
D01-O0119,1,25.9356,6,I0232;I0308;I0495;I0790;I1113;I1181,False,public-benchmark-derived
D01-O0120,1,26.2148,3,I0469;I0969;I1084,False,public-benchmark-derived
D01-O0121,1,26.2591,9,I0002;I0312;I0341;I0349;I0457;I0666;I0701;I1035;I1166,False,public-benchmark-derived
D01-O0122,1,26.3012,5,I0583;I0608;I0908;I0925;I1060,False,public-benchmark-derived
D01-O0123,1,26.8335,1,I1001,False,public-benchmark-derived
D01-O0124,1,27.1767,1,I0081,False,public-benchmark-derived
D01-O0125,1,27.5935,6,I0201;I0306;I0590;I0593;I1071;I1085,False,public-benchmark-derived
D01-O0126,1,27.8151,5,I0050;I0431;I0722;I0831;I1083,False,public-benchmark-derived
D01-O0127,1,27.9694,1,I0196,False,public-benchmark-derived
D01-O0128,1,28.153,4,I0194;I0830;I1019;I1082,False,public-benchmark-derived
D01-O0129,1,28.2553,3,I0211;I0301;I1064,False,public-benchmark-derived
D01-O0130,1,28.5819,9,I0183;I0259;I0432;I0435;I0480;I0605;I0812;I0838;I0878,False,public-benchmark-derived
D01-O0131,1,28.7727,6,I0068;I0208;I0282;I0512;I0752;I0928,False,public-benchmark-derived
D01-O0132,1,29.217,3,I0313;I0675;I0806,False,public-benchmark-derived
D01-O0133,1,29.4283,6,I0214;I0238;I0488;I0687;I0847;I1191,False,public-benchmark-derived
D01-O0134,1,29.5532,8,I0042;I0241;I0270;I0459;I0564;I0595;I0752;I0776,False,public-benchmark-derived
D01-O0135,1,29.5854,6,I0064;I0343;I0366;I0381;I0513;I1000,False,public-benchmark-derived
D01-O0136,1,29.7219,6,I0190;I0230;I0246;I0601;I0766;I0991,False,public-benchmark-derived
D01-O0137,1,29.9472,5,I0057;I0324;I0571;I0746;I1172,False,public-benchmark-derived
D01-O0138,1,30.1679,9,I0058;I0068;I0231;I0508;I0673;I0726;I0788;I1125;I1128,False,public-benchmark-derived
D01-O0139,1,30.2346,2,I0263;I0439,False,public-benchmark-derived
D01-O0140,1,30.2738,1,I1122,False,public-benchmark-derived
D01-O0141,1,30.2865,3,I0352;I0529;I0876,False,public-benchmark-derived
D01-O0142,1,30.2965,6,I0188;I0203;I0230;I0347;I0556;I0763,False,public-benchmark-derived
D01-O0143,1,30.3851,6,I0028;I0385;I0805;I0876;I0917;I0940,False,public-benchmark-derived
D01-O0144,1,30.5639,1,I0094,False,public-benchmark-derived
D01-O0145,1,30.5647,2,I0461;I0783,False,public-benchmark-derived
D01-O0146,1,30.6974,8,I0112;I0127;I0349;I0685;I0686;I0933;I1047;I1126,False,public-benchmark-derived
D01-O0147,1,31.063,7,I0027;I0049;I0221;I0517;I0805;I1003;I1174,False,public-benchmark-derived
D01-O0148,1,31.1152,3,I1002;I1069;I1098,False,public-benchmark-derived
D01-O0149,1,31.1976,6,I0018;I0143;I0301;I0354;I0987;I1085,False,public-benchmark-derived
D01-O0150,1,31.4403,10,I0148;I0223;I0380;I0394;I0700;I0737;I0803;I0838;I0960;I1107,False,public-benchmark-derived
D01-O0151,1,31.656,9,I0010;I0012;I0247;I0305;I0398;I0438;I0513;I0857;I1197,False,public-benchmark-derived
D01-O0152,1,31.7209,5,I0337;I0364;I0409;I0803;I1183,False,public-benchmark-derived
D01-O0153,1,32.1173,5,I0059;I0150;I0207;I0499;I0632,False,public-benchmark-derived
D01-O0154,1,32.3389,6,I0230;I0245;I0279;I0585;I0756;I0921,False,public-benchmark-derived
D01-O0155,1,32.3681,2,I0617;I0635,False,public-benchmark-derived
D01-O0156,1,32.4337,8,I0005;I0010;I0429;I0528;I0591;I0673;I1093;I1184,False,public-benchmark-derived
D01-O0157,1,32.4448,9,I0015;I0171;I0318;I0475;I0537;I0579;I0905;I0984;I1160,False,public-benchmark-derived
D01-O0158,1,32.6134,9,I0130;I0295;I0665;I0725;I0852;I0883;I0927;I1074;I1179,False,public-benchmark-derived
D01-O0159,1,32.842,9,I0388;I0459;I0578;I0599;I0646;I0668;I0906;I1100;I1111,False,public-benchmark-derived
D01-O0160,1,33.0048,10,I0013;I0131;I0165;I0172;I0226;I0289;I0393;I0537;I1101;I1145,False,public-benchmark-derived
D01-O0161,1,33.0438,10,I0013;I0068;I0228;I0297;I0509;I0518;I0564;I0718;I0856;I0908,False,public-benchmark-derived
D01-O0162,1,33.0518,7,I0224;I0492;I0590;I0609;I0648;I0803;I1037,False,public-benchmark-derived
D01-O0163,1,33.213,1,I0203,False,public-benchmark-derived
D01-O0164,1,33.4035,7,I0144;I0403;I0568;I0716;I0736;I1095;I1098,False,public-benchmark-derived
D01-O0165,1,33.462,3,I0531;I0798;I1029,False,public-benchmark-derived
D01-O0166,1,33.7169,8,I0029;I0342;I0460;I0790;I0920;I1114;I1118;I1184,False,public-benchmark-derived
D01-O0167,1,33.8486,6,I0091;I0161;I0511;I0546;I0562;I0853,False,public-benchmark-derived
D01-O0168,1,33.9192,1,I0210,False,public-benchmark-derived
D01-O0169,1,34.1803,5,I0258;I0330;I0420;I0548;I1094,False,public-benchmark-derived
D01-O0170,1,34.6049,2,I0015;I0693,False,public-benchmark-derived
D01-O0171,1,34.6928,9,I0038;I0322;I0510;I0646;I0843;I0851;I1106;I1116;I1197,False,public-benchmark-derived
D01-O0172,1,35.0233,4,I0400;I0614;I0933;I1068,False,public-benchmark-derived
D01-O0173,1,35.2426,7,I0113;I0170;I0260;I0411;I0822;I0924;I1122,False,public-benchmark-derived
D01-O0174,1,35.4205,1,I0796,False,public-benchmark-derived
D01-O0175,1,35.5062,4,I0093;I0450;I0728;I1108,False,public-benchmark-derived
D01-O0176,1,36.0567,3,I0378;I0489;I1058,False,public-benchmark-derived
D01-O0177,1,36.3257,9,I0398;I0446;I0889;I0949;I1091;I1112;I1143;I1152;I1196,False,public-benchmark-derived
D01-O0178,1,36.6419,9,I0159;I0545;I0551;I0610;I0879;I0915;I0998;I1083;I1120,False,public-benchmark-derived
D01-O0179,1,36.6643,4,I0298;I0347;I0638;I1014,False,public-benchmark-derived
D01-O0180,1,36.7418,2,I0911;I1158,False,public-benchmark-derived
D01-O0181,1,37.0806,5,I0140;I0757;I0821;I0921;I1172,False,public-benchmark-derived
D01-O0182,1,37.0899,8,I0204;I0372;I0440;I0520;I0664;I0692;I0738;I0762,False,public-benchmark-derived
D01-O0183,1,37.2174,8,I0268;I0407;I0470;I0522;I0561;I0660;I0962;I0997,False,public-benchmark-derived
D01-O0184,1,37.5088,5,I0037;I0077;I0185;I0575;I0587,False,public-benchmark-derived
D01-O0185,1,37.9385,10,I0205;I0255;I0258;I0296;I0306;I0341;I0656;I0675;I0746;I1160,False,public-benchmark-derived
D01-O0186,1,37.9543,2,I0433;I0995,False,public-benchmark-derived
D01-O0187,1,37.9895,7,I0011;I0153;I0305;I0397;I0467;I0594;I0651,False,public-benchmark-derived
D01-O0188,1,38.1136,8,I0346;I0475;I0591;I0997;I1034;I1043;I1095;I1181,False,public-benchmark-derived
D01-O0189,1,38.6128,9,I0039;I0228;I0298;I0325;I0560;I0679;I0935;I1163;I1200,False,public-benchmark-derived
D01-O0190,1,38.7977,6,I0046;I0277;I0316;I0423;I0668;I0726,False,public-benchmark-derived
D01-O0191,1,38.9103,1,I0929,False,public-benchmark-derived
D01-O0192,1,38.9207,10,I0173;I0189;I0245;I0273;I0335;I0618;I0827;I0841;I0895;I1157,False,public-benchmark-derived
D01-O0193,1,39.1097,2,I0773;I0863,False,public-benchmark-derived
D01-O0194,1,39.2859,7,I0047;I0504;I0522;I0575;I0602;I0685;I1105,False,public-benchmark-derived
D01-O0195,1,39.3038,4,I0126;I0308;I0393;I1071,False,public-benchmark-derived
D01-O0196,1,39.412,6,I0287;I0429;I0439;I0520;I0808;I0851,False,public-benchmark-derived
D01-O0197,1,39.5303,9,I0017;I0029;I0198;I0246;I0344;I0491;I0887;I0988;I1024,False,public-benchmark-derived
D01-O0198,1,39.829,10,I0036;I0043;I0055;I0547;I0549;I0672;I0849;I0974;I1062;I1191,False,public-benchmark-derived
D01-O0199,1,40.1375,9,I0035;I0041;I0069;I0173;I0612;I0711;I0797;I1024;I1130,False,public-benchmark-derived
D01-O0200,1,40.2523,7,I0131;I0474;I0494;I0550;I0563;I0790;I1042,False,public-benchmark-derived
D01-O0201,1,40.5835,7,I0139;I0510;I0511;I0564;I0701;I0884;I1025,False,public-benchmark-derived
D01-O0202,1,40.6381,3,I0272;I0593;I0884,False,public-benchmark-derived
D01-O0203,1,40.7849,3,I0271;I0405;I1105,False,public-benchmark-derived
D01-O0204,1,40.8033,9,I0025;I0236;I0375;I0386;I0747;I0800;I0900;I0931;I0972,False,public-benchmark-derived
D01-O0205,1,40.836,10,I0009;I0113;I0145;I0517;I0526;I0632;I0636;I0692;I1084;I1112,False,public-benchmark-derived
D01-O0206,1,40.9371,8,I0010;I0024;I0417;I0577;I0597;I0688;I0727;I1169,False,public-benchmark-derived
D01-O0207,1,41.357,2,I0736;I1144,False,public-benchmark-derived
D01-O0208,1,41.7775,4,I0279;I0707;I1045;I1143,False,public-benchmark-derived
D01-O0209,1,42.3623,10,I0091;I0249;I0314;I0442;I0444;I0483;I0593;I0636;I0905;I1176,False,public-benchmark-derived
D01-O0210,1,42.3747,7,I0089;I0209;I0315;I0616;I0710;I0988;I1037,False,public-benchmark-derived
D01-O0211,1,42.778,4,I0219;I0344;I0555;I0556,False,public-benchmark-derived
D01-O0212,1,43.2767,2,I0047;I0936,False,public-benchmark-derived
D01-O0213,1,43.4581,1,I0750,False,public-benchmark-derived
D01-O0214,1,43.4711,5,I0003;I0064;I0102;I0265;I0914,False,public-benchmark-derived
D01-O0215,1,43.4975,8,I0176;I0314;I0376;I0679;I0784;I0907;I1028;I1161,False,public-benchmark-derived
D01-O0216,1,43.5503,4,I0272;I0428;I1062;I1115,False,public-benchmark-derived
D01-O0217,1,43.6578,4,I0030;I0208;I0399;I0881,False,public-benchmark-derived
D01-O0218,1,43.7429,10,I0076;I0346;I0392;I0752;I1029;I1064;I1139;I1147;I1154;I1164,False,public-benchmark-derived
D01-O0219,1,43.8926,6,I0002;I0200;I0214;I0587;I0615;I0767,False,public-benchmark-derived
D01-O0220,1,43.9297,4,I0003;I0294;I0804;I0967,False,public-benchmark-derived
D01-O0221,1,43.9728,9,I0121;I0166;I0508;I0640;I0678;I0802;I0841;I0920;I1021,False,public-benchmark-derived
D01-O0222,1,44.425,1,I0959,False,public-benchmark-derived
D01-O0223,1,44.8185,8,I0088;I0120;I0280;I0481;I0504;I0570;I1032;I1138,False,public-benchmark-derived
D01-O0224,1,44.9569,10,I0004;I0035;I0310;I0492;I0571;I0729;I0863;I0963;I1098;I1115,False,public-benchmark-derived
D01-O0225,1,44.9881,6,I0319;I0332;I0530;I0603;I0685;I0908,False,public-benchmark-derived
D01-O0226,1,45.1186,5,I0053;I0220;I0471;I0784;I0852,False,public-benchmark-derived
D01-O0227,1,45.6272,4,I0003;I0160;I0545;I0865,False,public-benchmark-derived
D01-O0228,1,46.1732,10,I0072;I0150;I0201;I0215;I0426;I0443;I0820;I0857;I1034;I1168,False,public-benchmark-derived
D01-O0229,1,46.464,8,I0081;I0198;I0477;I0633;I0939;I0985;I1032;I1039,False,public-benchmark-derived
D01-O0230,1,46.5944,9,I0259;I0301;I0315;I0742;I0769;I0861;I0913;I0978;I1016,False,public-benchmark-derived
D01-O0231,1,46.7985,9,I0040;I0230;I0405;I0454;I0590;I0663;I0731;I0868;I0926,False,public-benchmark-derived
D01-O0232,1,46.8142,7,I0053;I0144;I0488;I0536;I0538;I0567;I0655,False,public-benchmark-derived
D01-O0233,1,47.2748,1,I0329,False,public-benchmark-derived
D01-O0234,1,47.4722,3,I0025;I0050;I0831,False,public-benchmark-derived
D01-O0235,1,47.8061,2,I0032;I0464,False,public-benchmark-derived
D01-O0236,1,47.8671,4,I0134;I0496;I1077;I1160,False,public-benchmark-derived
D01-O0237,1,47.9463,4,I0078;I0130;I0934;I1123,False,public-benchmark-derived
D01-O0238,1,47.9776,10,I0045;I0116;I0284;I0460;I0792;I0837;I0840;I0943;I0994;I1121,False,public-benchmark-derived
D01-O0239,1,48.0206,6,I0145;I0520;I0544;I0698;I0915;I0978,False,public-benchmark-derived
D01-O0240,1,48.0594,6,I0006;I0722;I0797;I0815;I0830;I1047,False,public-benchmark-derived
D01-O0241,1,48.1199,4,I0609;I0617;I1105;I1168,False,public-benchmark-derived
D01-O0242,1,48.3349,4,I0653;I0732;I0795;I1061,False,public-benchmark-derived
D01-O0243,1,48.7438,1,I1137,False,public-benchmark-derived
D01-O0244,1,48.8797,2,I0149;I0660,False,public-benchmark-derived
D01-O0245,1,49.0468,5,I0169;I0299;I0397;I0589;I0985,False,public-benchmark-derived
D01-O0246,1,49.3122,10,I0005;I0115;I0400;I0669;I0699;I0889;I0902;I0987;I1012;I1177,False,public-benchmark-derived
D01-O0247,1,49.3625,2,I0002;I0775,False,public-benchmark-derived
D01-O0248,1,49.4688,8,I0087;I0392;I0488;I0572;I0681;I0912;I1076;I1180,False,public-benchmark-derived
D01-O0249,1,49.4814,7,I0032;I0548;I0721;I0914;I0987;I1065;I1085,False,public-benchmark-derived
D01-O0250,1,49.6599,2,I0023;I0059,False,public-benchmark-derived
D01-O0251,1,49.6986,6,I0378;I0462;I0854;I0902;I1015;I1192,False,public-benchmark-derived
D01-O0252,1,49.9212,7,I0057;I0335;I0454;I0759;I0783;I0981;I1054,False,public-benchmark-derived
D01-O0253,1,49.9939,6,I0101;I0397;I0775;I1076;I1095;I1169,False,public-benchmark-derived
D01-O0254,1,50.1059,3,I0016;I1058;I1140,False,public-benchmark-derived
D01-O0255,1,50.1352,10,I0068;I0234;I0278;I0359;I0399;I0435;I0634;I0833;I0885;I0978,False,public-benchmark-derived
D01-O0256,1,50.1796,2,I0142;I0465,False,public-benchmark-derived
D01-O0257,1,50.3768,5,I0080;I0436;I0466;I0651;I0979,False,public-benchmark-derived
D01-O0258,1,50.458,4,I0334;I0357;I0380;I1139,False,public-benchmark-derived
D01-O0259,1,50.7125,7,I0173;I0377;I0513;I0701;I0880;I1001;I1026,False,public-benchmark-derived
D01-O0260,1,51.3898,5,I0566;I0954;I1079;I1193;I1195,False,public-benchmark-derived
D01-O0261,1,51.4565,3,I0180;I0560;I0830,False,public-benchmark-derived
D01-O0262,1,51.8236,3,I0481;I0527;I0793,False,public-benchmark-derived
D01-O0263,1,51.8658,8,I0049;I0098;I0328;I0446;I0536;I0632;I0890;I0987,False,public-benchmark-derived
D01-O0264,1,51.9595,9,I0013;I0022;I0113;I0263;I0584;I0593;I0690;I0704;I0838,False,public-benchmark-derived
D01-O0265,1,52.5516,3,I0190;I0221;I0550,False,public-benchmark-derived
D01-O0266,1,52.9989,5,I0627;I0695;I0885;I0904;I1183,False,public-benchmark-derived
D01-O0267,1,53.2286,7,I0132;I0556;I0578;I0802;I0899;I0941;I1146,False,public-benchmark-derived
D01-O0268,1,53.3232,1,I1195,False,public-benchmark-derived
D01-O0269,1,53.3514,10,I0026;I0031;I0095;I0311;I0370;I0541;I0542;I0679;I0696;I0807,False,public-benchmark-derived
D01-O0270,1,53.6394,6,I0048;I0261;I0673;I0881;I1012;I1119,False,public-benchmark-derived
D01-O0271,1,53.7865,7,I0030;I0064;I0103;I0530;I0760;I0832;I1003,False,public-benchmark-derived
D01-O0272,1,53.9142,6,I0064;I0159;I0264;I0685;I0853;I1038,False,public-benchmark-derived
D01-O0273,1,53.9489,9,I0066;I0142;I0424;I0431;I0470;I0475;I0544;I0622;I0686,False,public-benchmark-derived
D01-O0274,1,54.0327,6,I0080;I0201;I0299;I0309;I0929;I1182,False,public-benchmark-derived
D01-O0275,1,54.0565,4,I0039;I0139;I0589;I0776,False,public-benchmark-derived
D01-O0276,1,54.1015,2,I0655;I1090,False,public-benchmark-derived
D01-O0277,1,54.2145,9,I0139;I0258;I0278;I0465;I0576;I0741;I0810;I0979;I1120,False,public-benchmark-derived
D01-O0278,1,54.2236,10,I0087;I0164;I0523;I0652;I0659;I0865;I0892;I0906;I1143;I1154,False,public-benchmark-derived
D01-O0279,1,54.6683,8,I0142;I0304;I0355;I0434;I0613;I0684;I0834;I1136,False,public-benchmark-derived
D01-O0280,1,54.7092,10,I0001;I0192;I0402;I0549;I0552;I0588;I0622;I0890;I0977;I0991,False,public-benchmark-derived
