wafer_id,test_timestamp,quality_label,sensor_161,sensor_159,sensor_021,sensor_024,sensor_158,sensor_160,sensor_294,sensor_162,sensor_296,sensor_295,sensor_022,sensor_090,review_priority,causal_root_cause_allowed,automatic_scrap_allowed,allowed_action,data_nature
SECOM-0011,19/07/2008 21:57:00,fail,3967,5655,-2727.5,360.5,,2942,3153.6764,776,2281.7211,1620.7332,1400,8476.17,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0012,19/07/2008 22:52:00,fail,295,2352,-6097.75,752.5,,597,1081.3385,143,128.014,255.566,2808,8789.5001,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0013,20/07/2008 03:35:00,pass,1437,971,-5521.25,-1933.25,,302,444.4295,3851,651.5322,133.5649,2592.75,7889.72,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0014,21/07/2008 08:21:00,pass,692,2413,-6069.75,833.75,,648,1073.8102,216,314.8931,266.8562,2858.25,8889.3,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0015,21/07/2008 11:53:00,fail,4101,5726,-1431.5,131.75,,2478,2863,527,2050.5,1239,619.5,8651.3099,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0016,22/07/2008 00:03:00,pass,4483,5803,-2694.75,81.25,,3530,3129.8922,265,2390.5016,1768.6406,1476.25,8907.68,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0017,22/07/2008 02:59:00,pass,643,601,-5757.25,-2445,,199,301.6514,1748,303.3815,96.8035,2675.75,8581.6799,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0018,22/07/2008 08:41:00,pass,1216,1653,-5612.5,514.75,,346,733.2587,1895,515.9667,145.962,3417.75,9100.62,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0019,22/07/2008 11:47:00,pass,3818,1036,-5575.25,-1533.5,,644,441.7317,5475,1740.3043,279.3486,2755.5,9242.01,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0020,22/07/2008 14:00:00,pass,3296,906,-5469.25,-1275.5,,380,432.2865,1672,1552.4676,171.1695,2685.5,8769.58,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0021,22/07/2008 15:30:00,pass,3142,227,-5441,-4198,,339,103.8813,7289,1407.5641,181.3781,2547,9605.01,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0022,23/07/2008 05:15:00,pass,4335,1001,-5434,-309.75,,429,430.2875,900,1904.3997,175.7811,2617.5,9233.7999,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0023,23/07/2008 19:22:00,pass,2354,668,-5310.25,65.25,,385,286.4628,1144,1132.135,185.2647,2717.5,8189.1601,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0024,25/07/2008 15:23:00,fail,4429,5665,-2664.25,-112.25,,3623,3088.6554,1045,2400.8614,1834.1299,1542,8621.49,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0025,27/07/2008 04:18:00,pass,3988,5366,-2681.75,379.25,,3130,3096.6188,895,2252.2613,1731.3645,1496.25,8592.1301,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0026,27/07/2008 09:37:00,pass,4229,5913,-2706,533.75,,3301,3151.2826,1180,2292.6233,1702.5621,1445.75,8753.19,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0027,27/07/2008 11:10:00,pass,2982,542,-5611.75,-1822.5,,647,243.4904,1748,1347.0816,307.8943,2736.25,9381.19,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0028,27/07/2008 15:46:00,pass,2311,455,-5369,-117.25,,420,190.1736,977,1026.9549,177.2362,2732,8608.34,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0029,27/07/2008 16:06:00,pass,375,724,-5217.5,678.5,,812,305.296,307,179.4937,334.9113,3015.25,8883.0601,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0030,27/07/2008 16:49:00,pass,698,252,-5416,-788.5,,603,117.6124,1623,300.5466,259.6344,2588,8563.6299,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0031,27/07/2008 20:24:00,pass,232,535,-5500.5,-947,,406,243.9242,429,116.1163,172.3359,2739.5,8176.35,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0032,27/07/2008 22:28:00,pass,2984,310,-5497.75,-372.75,,261,131.5862,1321,1252.0715,116.7144,2535.75,7397.31,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0033,27/07/2008 22:28:00,pass,19038,671,-5507.75,-2021,,396,274.026,1010,9195.3919,172.5097,2637.25,8524.3801,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0034,27/07/2008 23:14:00,pass,4126,5575,-2622.5,226.5,,3511,3040.1658,590,2304.9599,1820.9743,1550,8955.3,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0035,28/07/2008 03:31:00,pass,214,2058,-6010.25,893,,560,993.652,225,110.8283,240.0783,2805.75,8892.11,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0036,28/07/2008 03:48:00,pass,692,531,-5548,244.75,,118,242.4967,384,301.4874,51.9102,2637,8344.05,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0037,28/07/2008 04:37:00,pass,4065,5448,-1362,260.5,,2841,2724,1042,2032.5,1420.5,710.25,9364.7399,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0038,28/07/2008 05:36:00,pass,279,617,-5452.75,-962.75,,244,253.4106,651,120.2508,118.9856,2574.25,8832.0102,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0039,28/07/2008 06:45:00,fail,4672,73,-5493.75,-1403.75,,259,34.0722,2073,2230.3298,116.2999,2550.5,8660.4701,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0040,28/07/2008 08:36:00,pass,2904,168,-5525.5,-2171.5,,484,77.9081,720,1349.1061,260.8184,2684.25,9144.7999,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0041,28/07/2008 15:11:00,fail,8536,1848,-5085.25,-4444.6667,,4170,876.6031,4507,4175.3221,2005.8744,3493.75,8416.3099,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0042,28/07/2008 23:57:00,pass,572,72,-5626.25,-1851.25,995.6006,179,36.8273,4153,243.0459,86.0867,2776.75,9029.42,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0043,29/07/2008 04:08:00,pass,12313,2867,-6033.25,-2748.25,,214,1335.7012,5422,5923.6451,87.9147,2642.5,8586.46,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0044,29/07/2008 05:16:00,pass,4960,723,-5415.75,1.75,,163,297.0492,535,2244.8646,72.7232,2569,9026.6399,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0045,29/07/2008 06:19:00,pass,4171,7569,-4731,-191.75,,3309,3280.8927,535,2013.4509,1471.4602,2148.5,8152.3899,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0046,29/07/2008 08:23:00,fail,2331,299,-5546.5,-531,,190,134.7207,564,1016.4662,87.9825,2632.75,8925.6301,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0047,29/07/2008 11:47:00,pass,4348,7600,-3281,264,,3290,3882.2129,638,2341.4058,1770.0986,1523.25,8621.6501,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0048,29/07/2008 15:41:00,pass,4076,7653,-4667.25,160,,3417,3307.3123,367,1961.5772,1586.2346,2265.5,8844.1101,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0049,29/07/2008 15:49:00,fail,1075,109,-5300.25,-485.5,,547,48.9583,1524,504.3864,262.8269,2631,8800.4,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0050,29/07/2008 17:05:00,fail,1310,760,-5553,-1657.25,,169,318.781,6822,616.853,83.0682,2616.5,9295.6198,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0051,29/07/2008 18:08:00,fail,2518,157,-5394,-1993.5,,368,75.7144,3258,1074.1298,157.5423,2621.75,9073.13,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0052,29/07/2008 21:07:00,pass,3900,5391,-2575.5,174,,3294,2980.3803,353,2250.2236,1791.2725,1544.5,8466.2299,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0053,29/07/2008 23:14:00,pass,134,785,-5175.5,-387.25,,207,362.8135,587,62.8351,96.4793,2589.75,9105.49,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0054,29/07/2008 23:19:00,pass,712,444,-5545,-3835.25,,264,206.3121,31669,330.1262,134.3577,2624,9020.2799,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0055,30/07/2008 06:30:00,pass,4804,7657,-4520.75,761.25,,3278,3235.5781,1166,2185.9644,1537.8514,2277.75,8791.82,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0056,30/07/2008 07:08:00,pass,3779,540,-5683.75,-6735,,618,246.9458,10290,1613.132,306.3934,2713.25,8539.3801,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0057,30/07/2008 12:02:00,pass,3345,682,-5460.5,87.25,,174,314.963,998,1580.5228,76.4608,2677.75,8617.3601,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0058,30/07/2008 12:29:00,fail,3803,5475,-1368.75,58,,2615,2737.5,232,1901.5,1307.5,653.75,8249.76,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0059,30/07/2008 21:16:00,fail,4349,7709,-4490.5,538.5,,3253,3234.6965,744,2027.8528,1560.1131,2320.25,8722.96,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0060,31/07/2008 13:57:00,pass,2236,817,-5433.25,-3176.5,,357,355.3237,10151,1061.1649,157.2819,2727.25,9395.09,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0061,31/07/2008 15:36:00,pass,4020,571,-5493.75,-4376.6667,,387,240.8213,2831,1785.3463,190.7658,2597.25,9001.48,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0062,31/07/2008 17:07:00,pass,3903,5477,-2597,550.75,,3184,3007.6466,1136,2243.34,1713.1426,1474.25,8723.97,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0063,31/07/2008 20:18:00,fail,11838,662,-5507.5,64,,265,293.2547,1687,5088.9574,123.2027,2658.25,8307.91,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0064,01/08/2008 02:02:00,pass,920,1213,-5667.5,-30.75,,528,583.7548,842,415.4117,245.6262,2458.25,8999.3699,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0065,01/08/2008 05:52:00,fail,2013,599,-5501.75,-1994.75,,768,270.7513,3523,881.5881,353.7272,2698.25,8999.1098,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0066,01/08/2008 10:20:00,pass,5521,984,-5382.5,3596.5,,457,428.5545,13517,2557.199,188.7441,2614.5,9039.1398,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0067,01/08/2008 10:26:00,pass,1019,148,-5659.25,-2117.5,2505.2998,458,74.5537,3323,558.8645,217.4849,2597.5,8733.9801,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0068,01/08/2008 11:28:00,pass,6970,489,-5349,-2278.25,,411,247.8266,3444,3644.1769,204.0147,2655,8729.22,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0069,01/08/2008 12:29:00,pass,1892,548,-5597,-769.5,,317,234.3174,1478,781.0546,151.5355,2582.5,8654.6899,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0070,01/08/2008 14:07:00,pass,3676,833,-5440.5,-73.25,,140,349.419,819,1695.1209,63.1684,2584.25,8923.6199,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0071,01/08/2008 15:10:00,pass,2442,594,-5614.25,-1284.5,,656,312.2738,3306,1222.0566,271.4934,2771,8664.4001,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0072,02/08/2008 03:39:00,pass,1530,308,-5534.5,-187.25,,218,132.9097,489,786.3205,101.9914,2629.25,8651.4101,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0073,03/08/2008 13:09:00,pass,4211,5684,-2649.25,328,,3287,3075.2411,676,2347.5491,1713.3521,1461.25,9008.5601,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0074,03/08/2008 14:06:00,pass,342,268,-5554.25,-2054.75,,423,134.8292,1906,163.0726,176.3016,2624.75,8404.05,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0075,03/08/2008 14:25:00,pass,7526,663,-6566,1293.25,,653,295.1305,209,3342.3434,280.7805,2975.5,9031.82,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0076,03/08/2008 15:03:00,pass,982,386,-5613.75,-1436.25,,3775,159.8653,1701,531.3966,1823.7921,3418.5,9300.7701,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0077,03/08/2008 15:27:00,pass,11748,502,-6546.5,1189,,613,218.4651,211,5450.8142,268.8159,3058,8952.31,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0078,03/08/2008 16:00:00,pass,5886,423,-5652,-3639.5,,751,204.1258,2181,2704.3424,347.9132,2711.25,9269.57,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0079,03/08/2008 17:00:00,pass,504,2170,-6656.75,-116.25,,786,1143.1321,1055,216.8277,378.7572,2883.5,8401.17,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0080,03/08/2008 17:58:00,pass,1571,504,-5681.5,171.5,,161,261.0038,1332,665.6128,75.82,2670,8557.4501,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0081,03/08/2008 20:23:00,pass,1108,311,-5537.5,-1732.5,,967,143.9873,1094,483.7082,400.6599,2483.5,8400.7099,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0082,03/08/2008 22:52:00,pass,2175,378,-5349.25,-502,,82,185.1709,1653,1054.2917,40.3185,2536.75,9047.98,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0083,04/08/2008 00:39:00,fail,1757,424,-5495.75,1334.5,,424,188.5831,13977,741.3557,187.2011,2703.75,9054.92,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0084,04/08/2008 03:45:00,pass,1946,527,-6518.25,1307.5,,595,216.6631,194,852.0397,263.1862,3073.5,8545.2799,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0085,04/08/2008 03:49:00,pass,4228,7791,-4556,532.25,,3267,3277.3157,720,2006.9923,1522.3693,2259.25,8677.0401,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0086,04/08/2008 13:19:00,pass,1650,530,-5432.5,237.25,1043.6006,248,237.9447,662,803.6361,111.4839,2674,9369.24,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0087,04/08/2008 14:04:00,pass,1494,745,-5677.75,259,,344,310.3464,655,697.9926,155.59,2791.75,8594.4,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0088,04/08/2008 14:31:00,pass,9764,1657,-6174.5,1345.5,,735,787.0352,255,4384.1171,322.0445,2919,8488.5099,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0089,04/08/2008 15:29:00,pass,1471,296,-5367.75,-296.25,,106,131.0328,1297,627.7967,50.1622,2560.25,8945.4,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0090,04/08/2008 16:15:00,pass,509,531,-5393.25,2229,,551,218.977,20853,226.8751,257.5285,2662.25,8929.2,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0091,04/08/2008 16:31:00,pass,846,578,-5594.25,1436.5,,447,251.8152,155,386.719,202.3512,2949,9136.34,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0092,04/08/2008 17:11:00,pass,4110,5703,-2665.5,594.75,,3454,3092.805,1254,2246.457,1760.2485,1485.75,9327.4499,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0093,04/08/2008 17:46:00,pass,8554,527,-5527,-4759.3333,,232,261.3899,7092,4709.3376,113.0262,2560.25,8172.39,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0094,04/08/2008 18:24:00,pass,3892,7716,-4695.25,492.25,,3046,3308.1092,843,1893.876,1424.5622,2105,8734.73,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0095,04/08/2008 19:58:00,pass,7826,663,-5491.5,-369.75,,451,307.0814,2047,3727.4711,195.6672,2578.5,9393.38,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0096,04/08/2008 20:32:00,pass,1045,619,-5463.25,-982,,390,289.5748,2713,469.9081,161.5488,2652,9001.7399,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0097,04/08/2008 20:58:00,fail,3986,5480,-2609.25,502,,3218,3020.4584,1104,2243.428,1746.5985,1505.5,8887.5198,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0098,04/08/2008 21:43:00,pass,871,167,-5497.75,-1744,,411,78.6824,3036,396.1123,196.0466,2598.75,8865.8101,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0099,04/08/2008 22:51:00,pass,201,592,-5522.25,1433,,435,242.5385,206,93.2631,201.6538,2935.25,8972.6301,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0100,04/08/2008 23:33:00,pass,3662,6011,-1502.75,-428,,2426,3005.5,1712,1831,1213,606.5,9010.52,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0101,05/08/2008 00:04:00,pass,1087,352,-5443,-136.25,,307,157.6283,632,462.0483,144.7999,2524.5,8624.16,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0102,05/08/2008 01:12:00,pass,466,336,-5668,1422.25,,127,160.0125,227,214.2014,59.2565,2817,9292.8499,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0103,05/08/2008 02:15:00,pass,2408,168,-6274.75,1596.25,,790,85.5117,114,1235.7416,332.6584,3010.25,8028.82,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0104,05/08/2008 02:36:00,pass,510,552,-5609.5,1435.25,,556,226.7532,216,231.9224,261.5754,2934.5,8967.0801,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0105,05/08/2008 02:45:00,pass,2680,302,-6487.25,1416.5,,633,138.3652,108,1176.4221,265.8276,2943.5,8246.59,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0106,05/08/2008 03:17:00,pass,4825,623,-6361.5,1569.75,,544,262.1558,122,2102.0717,229.9993,2988.5,8974.06,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0107,05/08/2008 03:36:00,pass,10594,392,-6514,1488.5,,795,161.0756,38,4806.8896,331.9693,3037.75,8242.48,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0108,05/08/2008 03:54:00,pass,5707,532,-6541.25,1169.5,,549,235.0736,124,2513.9575,256.6663,3022.75,9013.3401,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0109,05/08/2008 04:32:00,pass,5034,1270,-5147.25,-5755.5,,470,547.3855,18101,2132.4806,193.1638,2420.25,8182.9,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0110,05/08/2008 04:35:00,pass,5441,385,-6485.5,1440.25,,700,188.0257,112,2242.9734,296.3376,3043,9061.3801,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0111,05/08/2008 05:11:00,pass,550,702,-5409,-322.5,,280,296.1948,1297,247.9158,135.9764,2664.75,8249.0901,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0112,05/08/2008 06:10:00,pass,1120,389,-6463,1566.25,,644,159.7561,45,501.6048,300.9729,3027,9226.67,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0113,05/08/2008 06:11:00,pass,1976,259,-5301,-4328.75,,397,129.2878,28916,878.2722,195.3885,2437,8481.16,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0114,05/08/2008 06:21:00,pass,2051,203,-5401.75,-37,,562,93.6425,1423,961.3464,241.1602,2672.25,9439.44,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0115,05/08/2008 07:12:00,pass,9723,674,-6470.75,1526,,613,297.0874,69,4129.4075,264.0543,3081,9065.4699,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0116,05/08/2008 07:12:00,fail,4597,692,-5432.75,181,,171,322.4101,403,2187.4828,73.4909,2579.75,8721.5101,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0117,05/08/2008 07:48:00,pass,1370,3597,-5856.75,1238.25,,725,1716.0853,324,625.1352,338.4977,3085,8529.3901,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0118,05/08/2008 08:50:00,pass,564,793,-5657.75,-158,,467,328.8539,9300,259.1774,196.8474,2628.75,8394.1499,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0119,05/08/2008 09:48:00,pass,2344,717,-5560.75,-1957.75,,154,329.8428,2375,1042.4226,63.4849,2602.5,8892.8699,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0120,05/08/2008 14:17:00,pass,1360,210,-5474.25,-208.25,,336,109.1402,1078,568.0807,143.1712,2532,8527.2501,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0121,05/08/2008 14:45:00,pass,887,460,-5600.5,-414.5,,326,230.26,941,374.7972,137.3496,2727.25,10746.6,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0122,05/08/2008 15:45:00,pass,152,2481,-6068.75,1033.75,,712,1103.7634,247,81.9202,329.3047,2827.75,9519.65,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0123,05/08/2008 20:04:00,pass,14396,492,-5306.5,157.5,,374,249.8059,825,6823.2113,176.6831,2648.75,8610.0701,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0124,05/08/2008 21:07:00,pass,1671,1909,-6030.25,-639.25,,500,890.0589,2160,773.9942,233.9288,2656,9188.72,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0125,05/08/2008 21:22:00,pass,1394,206,-5653.75,-1463.25,,854,105.56,3978,731.0611,394.0621,2327.25,9332.7599,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0126,05/08/2008 23:02:00,pass,2542,1132,-5418.25,-4279,,604,511.4224,12405,1096.6838,276.7303,2571.5,8796.0601,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0127,05/08/2008 23:06:00,pass,5273,266,-5641.25,-166.25,,472,123.6888,1393,2878.8541,201.6538,2642.25,8802.4499,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0128,05/08/2008 23:38:00,pass,2104,293,-5538.5,-1160.25,,461,157.5108,2054,1032.2565,209.6481,2562.5,8886.1802,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0129,06/08/2008 00:04:00,pass,8053,347,-5261.75,-145,,108,142.3713,2384,3532.2951,50.2419,2685.75,8396.56,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0130,06/08/2008 02:20:00,pass,3365,878,-5587.75,-6064.75,,566,385.1401,9814,1587.7467,235.8679,2482.5,8613.2899,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
