cycle_id,main_pressure_mean,return_pressure_mean,system_pressure_mean,motor_power_mean,main_flow_mean,tank_temperature_mean,system_vibration_mean,cooler_condition,cooler_state,cooler_severity,valve_condition,valve_state,valve_severity,pump_condition,pump_state,pump_severity,accumulator_condition,accumulator_state,accumulator_severity,stability_flag,stability_label,overall_severity,overall_severity_label,affected_component_count,automatic_maintenance_allowed,allowed_action,data_nature
11,159.3217566666667,108.43785166666666,1.832484,2478.7949,6.659208333333334,44.10611666666666,0.5687,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
12,159.23511333333335,108.3167815,1.8256623333333333,2472.2732,6.663306666666667,44.63850000000001,0.5781499999999998,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
13,159.13514833333335,108.24107966666666,1.8158948333333333,2467.228833333333,6.655926666666667,45.159600000000005,0.5842333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
14,159.08735166666668,108.21403683333334,1.807515,2465.3071666666665,6.6654100000000005,45.62873333333333,0.5885666666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
15,158.98582333333331,108.12740333333332,1.8038095,2461.7723333333333,6.669133333333333,46.05918333333334,0.5824666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
16,158.86424000000002,108.03851166666668,1.8023995000000002,2459.5113666666666,6.649888333333333,46.46225000000001,0.5823666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
17,158.81964166666668,107.981409,1.793656333333333,2458.1660999999995,6.649658333333334,46.83956666666666,0.5849,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
18,158.79358,107.95498783333332,1.7949478333333333,2455.588233333333,6.639613333333334,47.15218333333333,0.5930833333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
19,158.65068833333333,107.83698666666668,1.7934546666666664,2452.2997666666665,6.660111666666666,47.46976666666668,0.6039,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
20,158.59539833333332,107.76220716666667,1.8003541666666667,2448.3263333333334,6.64878,47.751066666666674,0.60335,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
21,158.61717000000002,107.79408933333335,1.8004373333333332,2444.7216333333336,6.6382449999999995,48.026199999999996,0.6186666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
22,158.57060333333334,107.739285,1.7975006666666669,2441.7758,6.6441333333333334,48.27095,0.6306999999999999,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
23,158.53252166666664,107.73017866666666,1.7913808333333332,2438.7711999999997,6.636838333333333,48.49956666666667,0.6217333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
24,158.50901166666668,107.73016933333332,1.7924931666666666,2437.650633333333,6.63277,48.71131666666666,0.6250333333333332,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
25,158.44460833333332,107.71205083333334,1.7926175,2437.1267666666668,6.63475,48.919533333333334,0.6333000000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
26,158.33628166666668,107.59213533333332,1.7388951666666665,2434.6056,6.647125000000001,49.110033333333334,0.6361166666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
27,158.26508666666666,107.51676166666665,1.731176,2432.5054333333333,6.634791666666667,49.318749999999994,0.6377333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
28,158.25193833333333,107.48398466666667,1.7406128333333333,2432.6523666666667,6.6468799999999995,49.49523333333334,0.6266999999999999,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
29,158.09042666666667,107.34845083333333,1.7405576666666667,2428.3547,6.64119,49.66363333333332,0.6350500000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
30,157.950735,107.23488649999999,1.7349649999999999,2425.8440333333333,6.644684999999999,49.824416666666664,0.6339666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
31,157.955,107.223577,1.7374010000000002,2425.4720666666663,6.62911,49.92826666666666,0.6377833333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
32,157.90042833333334,107.179437,1.733439,2424.2784666666666,6.624546666666666,50.03428333333332,0.6266,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
33,157.96926166666668,107.24081533333333,1.737158,2424.3659666666663,6.641248333333333,50.169133333333335,0.63425,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
34,157.87992833333334,107.12953016666667,1.7336915,2423.3833999999997,6.632510000000001,50.284766666666684,0.6351833333333337,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
35,157.83447333333334,107.08963366666666,1.7324601666666668,2421.6704,6.635743333333333,50.388083333333334,0.6517333333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
36,157.79948666666667,107.07464449999999,1.725165333333333,2421.0855666666666,6.625091666666665,50.50148333333333,0.6418499999999999,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
37,157.76861,107.01590383333333,1.7241555,2421.494433333333,6.622036666666666,50.59571666666667,0.6413,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
38,157.7616416666667,107.01763666666666,1.7163973333333333,2422.7842333333333,6.630413333333334,50.672216666666664,0.6397333333333332,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
39,157.83084333333335,107.082773,1.7233015000000003,2424.2356333333337,6.635855,50.71945,0.6484666666666669,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
40,157.73760166666668,106.986294,1.730678,2420.9752,6.633998333333333,50.81441666666667,0.6307333333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
41,157.79064166666666,107.04378299999999,1.7351098333333332,2424.3420666666666,6.621596666666668,50.905166666666666,0.6316500000000002,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
42,157.69486333333333,106.96930400000001,1.7331998333333334,2421.6365,6.6197799999999996,50.97945,0.6349833333333331,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
43,157.65831166666666,106.91783749999999,1.7281376666666668,2421.6704333333328,6.617328333333333,51.06951666666665,0.6306666666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
44,157.63319333333334,106.9272585,1.7272038333333337,2420.5835333333334,6.621698333333333,51.115866666666655,0.63965,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
45,157.59208166666667,106.9054745,1.7351356666666664,2418.8603999999996,6.62801,51.19321666666665,0.6396000000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
46,157.58220166666666,106.88391383333334,1.7355376666666664,2419.733266666666,6.619646666666666,51.21803333333333,0.6409499999999999,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
47,157.58094333333335,106.88588216666668,1.7254746666666667,2422.490733333333,6.64247,51.28616666666667,0.6575333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
48,157.56419666666667,106.84422833333333,1.7243855000000001,2417.854833333333,6.640555,51.34835,0.6304666666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
49,157.56484,106.86601483333332,1.7140006666666667,2417.6625666666664,6.632315,51.394616666666664,0.6288333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
50,157.5742,106.90339783333333,1.7126375,2417.0092,6.622501666666667,51.46833333333335,0.6278166666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
51,157.61297166666665,106.91734299999999,1.7199308333333332,2417.6376333333333,6.6224099999999995,51.52106666666667,0.6350666666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
52,157.54615833333332,106.86868016666666,1.7225358333333334,2415.608233333333,6.619305,51.56841666666666,0.6599,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
53,157.5319716666667,106.83982216666666,1.7172071666666668,2416.2641333333327,6.623915,51.613266666666654,0.6257000000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
54,157.52619166666665,106.8348995,1.7212993333333333,2416.1488666666664,6.618191666666666,51.657349999999994,0.6337166666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
55,157.63029333333333,106.92785816666667,1.7323231666666667,2416.8651666666665,6.627843333333333,51.700700000000005,0.6483833333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
56,157.54221166666667,106.85180450000001,1.7315649999999998,2415.1581333333334,6.634783333333333,51.743950000000005,0.6352000000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
57,157.5051816666667,106.804933,1.729342,2413.1221333333333,6.6368100000000005,51.76063333333334,0.6404833333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
58,157.51768666666666,106.82720516666667,1.7297331666666669,2412.4019666666663,6.617531666666666,51.7932,0.63805,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
59,157.48090499999998,106.78475733333333,1.7237745000000002,2411.0018666666665,6.637646666666667,51.8459,0.6442000000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
60,157.49671666666669,106.80555149999998,1.7270596666666667,2412.4341999999997,6.635518333333333,51.88128333333332,0.6434500000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
61,157.47000500000001,106.76232733333335,1.7252293333333333,2411.9811666666665,6.629313333333334,51.913916666666665,0.6322666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
62,157.44858166666666,106.79522116666668,1.7162468333333334,2411.348233333333,6.618843333333334,51.9296,0.6377333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
63,157.46928666666668,106.79131433333332,1.7330455000000002,2411.7633666666666,6.6272649999999995,51.91603333333334,0.6336833333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
64,157.44118166666664,106.76242816666667,1.7332018333333332,2409.764733333333,6.621781666666666,51.97953333333333,0.6446666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
65,157.44845833333332,106.7977145,1.7339761666666667,2409.6333999999997,6.6250816666666665,52.00331666666668,0.6407500000000003,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
66,157.45015166666664,106.77696283333333,1.7275918333333335,2409.8077,6.628023333333334,52.0069,0.6413666666666668,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
67,157.43817333333334,106.74620333333333,1.7257040000000001,2410.0885,6.637779999999999,52.02756666666667,0.64015,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
68,157.414365,106.73128633333333,1.725384,2410.55,6.633065,52.06471666666666,0.6389,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
69,157.43055166666667,106.75701466666666,1.722290833333333,2410.0348666666664,6.63636,52.09798333333334,0.6411166666666668,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
70,157.40886666666665,106.7360055,1.7251660000000002,2408.9121,6.616253333333333,52.155649999999994,0.6367333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
71,157.39658,106.72372299999999,1.7293744999999998,2408.1739333333335,6.6199666666666666,52.15624999999999,0.6480833333333335,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
72,157.39736333333332,106.7371035,1.7268355000000002,2406.7877999999996,6.623598333333333,52.21026666666667,0.6466333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
73,157.343405,106.67700500000001,1.7239751666666665,2409.1892666666663,6.621493333333333,52.304833333333335,0.6458166666666668,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
74,157.33445833333334,106.674138,1.724616,2409.419666666666,6.616700000000001,52.378400000000006,0.6400333333333332,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
75,157.35737833333334,106.68386483333333,1.7351961666666667,2409.183766666666,6.635338333333334,52.41358333333333,0.6354833333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
76,157.33142166666667,106.63986700000001,1.7397246666666666,2409.437,6.6241216666666665,52.42258333333333,0.6470500000000001,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
77,157.32465833333333,106.6479965,1.7390356666666666,2409.3107666666665,6.635296666666666,52.52995,0.6537999999999998,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
78,157.312085,106.63928866666667,1.726819,2406.848433333333,6.612963333333333,52.59775,0.6414999999999998,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
79,157.29419499999997,106.61167683333333,1.7332543333333332,2407.1385666666665,6.617265000000001,52.63828333333335,0.6430833333333335,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
80,157.26318166666667,106.5938705,1.7260228333333332,2406.7525333333333,6.626873333333333,52.69541666666667,0.6453,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
81,157.25044666666668,106.58279866666668,1.7186421666666665,2406.8329,6.620123333333333,52.67783333333333,0.6501166666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
82,157.23630833333334,106.59210133333333,1.7139006666666665,2406.6368333333335,6.6047400000000005,52.765483333333336,0.6490333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
83,157.25583833333334,106.59770866666666,1.7146386666666666,2406.5520999999994,6.607058333333333,52.796916666666675,0.6467666666666665,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
84,157.23048333333332,106.58887566666667,1.7102321666666667,2407.507466666666,6.606386666666667,52.827716666666674,0.6439333333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
85,157.22484,106.56119916666668,1.7252666666666667,2407.3775,6.6045766666666665,52.833633333333324,0.6489166666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
86,157.23757833333332,106.5855185,1.7167946666666667,2407.5121000000004,6.605370000000001,52.89256666666666,0.6555166666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
87,157.23151333333334,106.56801883333334,1.7096396666666667,2407.107666666667,6.605456666666667,52.90308333333334,0.6436,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
88,157.24356333333333,106.579093,1.7213730000000003,2409.4431333333337,6.609093333333333,52.90551666666667,0.6436333333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
89,157.234505,106.54324083333333,1.7215960000000001,2406.6547333333333,6.624023333333333,52.9446,0.6445833333333334,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
90,157.21444166666666,106.52546933333335,1.7211828333333332,2409.0202999999997,6.607241666666666,52.98328333333333,0.6474666666666665,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
91,157.21048333333334,106.52103600000001,1.7236663333333333,2411.2561,6.626918333333333,52.99998333333333,0.6497666666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
92,157.19772333333336,106.52578299999999,1.7153908333333334,2410.361966666667,6.605630000000001,53.019383333333344,0.6480833333333335,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
