No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,observed_at,missing_pollutant_count,data_nature
901,2013,4,7,12,86.0,115.0,50.0,62.0,1200.0,43.0,12.7,1001.3,0.1,0.0,E,2.0,Aotizhongxin,2013-04-07 12:00:00,0,public-derived
921,2013,4,8,8,24.0,132.0,8.0,16.0,500.0,72.0,8.8,1007.4,-11.2,0.0,WNW,5.6,Aotizhongxin,2013-04-08 08:00:00,0,public-derived
941,2013,4,9,4,11.0,21.0,8.0,18.0,400.0,68.0,6.0,1012.3,-10.3,0.0,NNW,5.4,Aotizhongxin,2013-04-09 04:00:00,0,public-derived
961,2013,4,10,0,13.0,23.0,4.0,33.0,400.0,60.0,4.6,1016.9,-9.2,0.0,NNW,1.7,Aotizhongxin,2013-04-10 00:00:00,0,public-derived
981,2013,4,10,20,18.0,45.0,5.0,37.0,600.0,53.1216,6.3,1012.9,-4.5,0.0,NNE,0.5,Aotizhongxin,2013-04-10 20:00:00,0,public-derived
1001,2013,4,11,16,10.0,18.0,3.0,10.0,400.0,90.8208,18.1,1010.3,-11.8,0.0,NW,2.3,Aotizhongxin,2013-04-11 16:00:00,0,public-derived
1021,2013,4,12,12,45.0,95.0,20.0,104.0,1000.0,24.0,20.9,1006.6,-2.9,0.0,SSW,2.9,Aotizhongxin,2013-04-12 12:00:00,0,public-derived
1041,2013,4,13,8,100.0,196.0,33.0,86.0,1300.0,2.0,16.9,996.8,2.5,0.0,NE,1.4,Aotizhongxin,2013-04-13 08:00:00,0,public-derived
1061,2013,4,14,4,30.0,127.0,7.0,81.0,500.0,10.0,7.0,1007.9,-6.7,0.0,E,1.3,Aotizhongxin,2013-04-14 04:00:00,0,public-derived
1081,2013,4,15,0,65.0,169.0,35.0,77.0,1700.0,25.0,9.6,1000.0,0.2,0.0,SW,1.6,Aotizhongxin,2013-04-15 00:00:00,0,public-derived
1101,2013,4,15,20,61.0,207.0,29.0,58.0,600.0,60.0,11.6,997.7,3.9,0.0,SE,0.9,Aotizhongxin,2013-04-15 20:00:00,0,public-derived
1121,2013,4,16,16,21.0,60.0,11.0,16.0,300.0,,22.2,1000.2,-3.3,0.0,W,1.1,Aotizhongxin,2013-04-16 16:00:00,1,public-derived
1141,2013,4,17,12,51.0,86.0,25.0,46.0,600.0,63.0,15.8,1003.3,-2.2,0.0,SSW,2.2,Aotizhongxin,2013-04-17 12:00:00,0,public-derived
1161,2013,4,18,8,12.0,35.0,6.0,28.0,400.0,59.0,9.8,1020.5,-13.5,0.0,NE,2.9,Aotizhongxin,2013-04-18 08:00:00,0,public-derived
1181,2013,4,19,4,67.0,154.0,49.0,85.0,1300.0,10.0,7.2,1019.2,-7.3,0.0,SW,1.9,Aotizhongxin,2013-04-19 04:00:00,0,public-derived
1201,2013,4,20,0,55.0,60.0,4.0,59.0,600.0,10.0,3.5,1017.5,1.9,0.0,SW,1.7,Aotizhongxin,2013-04-20 00:00:00,0,public-derived
1221,2013,4,20,20,68.0,110.0,14.0,50.0,700.0,74.0,11.0,1014.2,0.4,0.0,SW,2.5,Aotizhongxin,2013-04-20 20:00:00,0,public-derived
1241,2013,4,21,16,142.0,153.0,42.0,48.0,1000.0,,17.2,1008.6,3.1,0.0,SW,4.7,Aotizhongxin,2013-04-21 16:00:00,1,public-derived
1261,2013,4,22,12,202.0,204.0,52.0,72.0,1200.0,,13.9,1009.1,7.0,0.0,SSW,1.8,Aotizhongxin,2013-04-22 12:00:00,1,public-derived
1281,2013,4,23,8,171.0,194.0,14.0,49.0,1100.0,2.0,10.1,1005.9,7.3,0.0,SW,0.6,Aotizhongxin,2013-04-23 08:00:00,0,public-derived
1301,2013,4,24,4,145.0,112.0,17.0,51.0,1100.0,2.0,6.7,1006.7,6.1,0.0,NE,0.9,Aotizhongxin,2013-04-24 04:00:00,0,public-derived
1321,2013,4,25,0,10.0,20.0,4.0,44.0,300.0,37.0,12.2,1007.6,-2.8,0.0,N,1.9,Aotizhongxin,2013-04-25 00:00:00,0,public-derived
1341,2013,4,25,20,12.0,41.0,3.0,44.0,500.0,52.0,12.1,1007.3,2.8,0.0,WSW,0.5,Aotizhongxin,2013-04-25 20:00:00,0,public-derived
1361,2013,4,26,16,81.0,123.0,45.0,45.0,700.0,123.0,23.7,1000.4,3.6,0.0,ESE,3.0,Aotizhongxin,2013-04-26 16:00:00,0,public-derived
1381,2013,4,27,12,38.0,97.0,48.0,34.0,1000.0,96.0,23.1,1005.1,4.1,0.0,ESE,2.4,Aotizhongxin,2013-04-27 12:00:00,0,public-derived
1401,2013,4,28,8,73.0,117.0,81.0,69.0,2100.0,56.0,16.3,1005.1,5.8,0.0,WSW,1.6,Aotizhongxin,2013-04-28 08:00:00,0,public-derived
1421,2013,4,29,4,16.0,24.0,8.0,43.0,300.0,60.0,12.6,1007.8,-3.3,0.0,E,0.7,Aotizhongxin,2013-04-29 04:00:00,0,public-derived
1441,2013,4,30,0,40.0,109.0,8.0,72.0,600.0,26.0,17.0,1008.2,-3.7,0.0,NE,1.6,Aotizhongxin,2013-04-30 00:00:00,0,public-derived
1461,2013,4,30,20,20.0,71.0,6.0,77.0,700.0,44.0,20.7,1008.1,-6.9,0.0,E,1.4,Aotizhongxin,2013-04-30 20:00:00,0,public-derived
1481,2013,5,1,16,31.0,87.0,15.0,22.0,400.0,,22.4,1006.1,2.5,0.0,SW,4.1,Aotizhongxin,2013-05-01 16:00:00,1,public-derived
1501,2013,5,2,12,58.0,65.0,37.0,36.0,500.0,,23.5,1005.9,4.4,0.0,SE,2.9,Aotizhongxin,2013-05-02 12:00:00,1,public-derived
1521,2013,5,3,8,47.0,34.0,28.0,26.0,500.0,88.0,17.5,1013.1,6.1,0.0,NNW,1.6,Aotizhongxin,2013-05-03 08:00:00,0,public-derived
1541,2013,5,4,4,88.0,104.0,23.0,38.0,600.0,61.0,13.6,1011.3,8.4,0.0,SSW,1.0,Aotizhongxin,2013-05-04 04:00:00,0,public-derived
1561,2013,5,5,0,185.0,156.0,29.0,91.0,800.0,39.0,14.2,1010.7,10.6,0.0,ENE,0.6,Aotizhongxin,2013-05-05 00:00:00,0,public-derived
1581,2013,5,5,20,252.0,309.0,42.0,45.0,2100.0,128.0,22.5,1009.4,15.6,0.0,SSW,1.1,Aotizhongxin,2013-05-05 20:00:00,0,public-derived
1601,2013,5,6,16,122.0,211.0,42.0,21.0,800.0,230.0,29.7,1006.5,8.1,0.0,SSW,2.6,Aotizhongxin,2013-05-06 16:00:00,0,public-derived
1621,2013,5,7,12,225.0,300.0,48.0,137.0,1600.0,38.0,28.5,1010.0,14.3,0.0,SSW,1.1,Aotizhongxin,2013-05-07 12:00:00,0,public-derived
1641,2013,5,8,8,96.0,111.0,56.0,48.0,1600.0,55.0,21.5,1009.6,10.9,0.0,NE,1.2,Aotizhongxin,2013-05-08 08:00:00,0,public-derived
1661,2013,5,9,4,55.0,58.0,22.0,75.0,500.0,21.0,17.7,1005.5,10.8,0.0,SSW,1.4,Aotizhongxin,2013-05-09 04:00:00,0,public-derived
1681,2013,5,10,0,73.0,90.0,14.0,108.0,700.0,2.0,11.8,1000.9,11.0,0.0,S,0.0,Aotizhongxin,2013-05-10 00:00:00,0,public-derived
1701,2013,5,10,20,40.0,151.0,25.0,48.0,400.0,110.0,23.8,994.2,5.6,0.0,WSW,1.3,Aotizhongxin,2013-05-10 20:00:00,0,public-derived
1721,2013,5,11,16,21.0,114.0,13.0,15.0,200.0,106.0,32.7,988.0,-1.6,0.0,N,2.0,Aotizhongxin,2013-05-11 16:00:00,0,public-derived
1741,2013,5,12,12,20.0,36.0,16.0,24.0,200.0,90.0,28.4,994.1,-1.7,0.0,NNE,0.9,Aotizhongxin,2013-05-12 12:00:00,0,public-derived
1761,2013,5,13,8,92.0,170.0,61.0,94.0,1300.0,6.0,21.3,998.8,4.4,0.0,N,1.3,Aotizhongxin,2013-05-13 08:00:00,0,public-derived
1781,2013,5,14,4,27.0,96.0,16.0,29.0,300.0,67.0,15.0,1000.6,4.9,0.0,N,1.2,Aotizhongxin,2013-05-14 04:00:00,0,public-derived
1801,2013,5,15,0,53.0,177.0,22.0,132.0,800.0,8.0,17.9,1007.8,9.3,0.0,NE,0.7,Aotizhongxin,2013-05-15 00:00:00,0,public-derived
1821,2013,5,15,20,57.0,149.0,33.0,43.0,1000.0,164.0,22.5,1010.4,8.6,0.0,SSW,2.6,Aotizhongxin,2013-05-15 20:00:00,0,public-derived
1841,2013,5,16,16,63.0,105.0,33.0,29.0,600.0,199.0,25.1,1008.1,10.9,0.0,S,1.9,Aotizhongxin,2013-05-16 16:00:00,0,public-derived
1861,2013,5,17,12,115.0,135.0,38.0,79.0,1300.0,26.0,22.8,1006.2,14.1,0.0,S,1.4,Aotizhongxin,2013-05-17 12:00:00,0,public-derived
1881,2013,5,18,8,174.0,188.0,17.0,51.0,900.0,20.0,19.9,1002.5,16.3,0.0,WSW,2.7,Aotizhongxin,2013-05-18 08:00:00,0,public-derived
1901,2013,5,19,4,44.0,54.0,14.0,30.0,900.0,48.0,17.5,995.4,14.6,0.0,S,0.8,Aotizhongxin,2013-05-19 04:00:00,0,public-derived
1921,2013,5,20,0,13.0,81.0,6.0,52.0,300.0,19.7064,11.7,998.4,5.6,0.0,SW,0.6,Aotizhongxin,2013-05-20 00:00:00,0,public-derived
1941,2013,5,20,20,47.0,231.0,31.0,39.0,,128.52,23.5,991.8,6.3,0.0,SW,4.0,Aotizhongxin,2013-05-20 20:00:00,1,public-derived
1961,2013,5,21,16,103.0,245.0,41.0,42.0,,205.632,27.0,994.1,14.7,0.0,NE,1.3,Aotizhongxin,2013-05-21 16:00:00,1,public-derived
1981,2013,5,22,12,81.0,166.0,67.0,44.0,,175.8582,27.7,1005.4,12.1,0.0,SSE,2.1,Aotizhongxin,2013-05-22 12:00:00,1,public-derived
2001,2013,5,23,8,37.0,113.0,24.0,95.0,,2.7846,22.3,1006.8,9.8,0.0,ENE,1.1,Aotizhongxin,2013-05-23 08:00:00,1,public-derived
2021,2013,5,24,4,190.0,283.0,16.0,138.0,2700.0,2.0,18.4,1004.8,14.1,0.0,NE,1.0,Aotizhongxin,2013-05-24 04:00:00,0,public-derived
2041,2013,5,25,0,28.0,74.0,17.0,80.0,500.0,2.0,19.7,1007.7,15.3,0.0,ENE,0.5,Aotizhongxin,2013-05-25 00:00:00,0,public-derived
2061,2013,5,25,20,71.0,157.0,29.0,70.0,1300.0,149.0,25.6,1003.6,17.3,0.0,SE,1.4,Aotizhongxin,2013-05-25 20:00:00,0,public-derived
2081,2013,5,26,16,144.0,170.0,14.0,58.0,2500.0,40.0,21.6,1002.5,16.8,0.0,SSE,1.9,Aotizhongxin,2013-05-26 16:00:00,0,public-derived
2101,2013,5,27,12,67.0,407.0,9.0,54.0,1200.0,34.0,19.8,1001.9,16.4,0.0,WSW,1.8,Aotizhongxin,2013-05-27 12:00:00,0,public-derived
2121,2013,5,28,8,103.0,73.0,3.0,70.0,1000.0,2.0,18.3,1000.9,17.8,0.4,SW,1.3,Aotizhongxin,2013-05-28 08:00:00,0,public-derived
2141,2013,5,29,4,5.0,35.0,4.0,25.0,200.0,50.0,19.6,1004.8,5.3,0.0,NE,1.9,Aotizhongxin,2013-05-29 04:00:00,0,public-derived
2161,2013,5,30,0,39.0,122.0,14.0,116.0,500.0,16.0,15.2,1003.0,11.6,0.0,WSW,0.0,Aotizhongxin,2013-05-30 00:00:00,0,public-derived
2181,2013,5,30,20,65.0,140.0,22.0,52.0,900.0,194.0,28.2,998.0,10.8,0.0,SW,5.1,Aotizhongxin,2013-05-30 20:00:00,0,public-derived
2201,2013,5,31,16,114.0,169.0,71.0,49.0,1300.0,223.0,28.3,994.7,17.2,0.0,SSW,3.2,Aotizhongxin,2013-05-31 16:00:00,0,public-derived
2221,2013,6,1,12,27.0,27.0,5.0,19.0,300.0,123.0,30.2,1000.9,0.7,0.0,NNE,0.7,Aotizhongxin,2013-06-01 12:00:00,0,public-derived
2241,2013,6,2,8,211.0,242.0,16.0,62.0,1700.0,56.0,21.4,1001.2,15.5,0.0,NW,0.9,Aotizhongxin,2013-06-02 08:00:00,0,public-derived
2261,2013,6,3,4,166.0,182.0,6.0,109.0,1500.0,2.0,17.8,998.4,17.2,0.0,S,0.5,Aotizhongxin,2013-06-03 04:00:00,0,public-derived
2281,2013,6,4,0,147.0,426.0,25.0,218.0,2299.0,7.0,19.8,1002.1,17.4,0.0,N,0.2,Aotizhongxin,2013-06-04 00:00:00,0,public-derived
2301,2013,6,4,20,73.0,94.0,6.0,65.0,1300.0,48.0,20.1,1007.1,17.3,0.0,NE,1.8,Aotizhongxin,2013-06-04 20:00:00,0,public-derived
2321,2013,6,5,16,156.0,170.0,3.0,47.0,1500.0,30.0,19.1,1005.9,18.1,0.0,ENE,1.1,Aotizhongxin,2013-06-05 16:00:00,0,public-derived
2341,2013,6,6,12,91.0,96.0,4.0,68.0,2700.0,7.0,19.2,1004.7,18.4,0.0,NE,1.3,Aotizhongxin,2013-06-06 12:00:00,0,public-derived
2361,2013,6,7,8,99.0,107.0,7.0,55.0,2000.0,4.0,19.5,1003.7,18.8,7.6,SE,1.1,Aotizhongxin,2013-06-07 08:00:00,0,public-derived
2381,2013,6,8,4,118.0,89.0,6.0,53.0,1899.0,6.0,19.5,1002.1,19.3,0.0,SE,0.5,Aotizhongxin,2013-06-08 04:00:00,0,public-derived
2401,2013,6,9,0,176.0,259.0,10.0,81.0,2299.0,8.0,19.9,1002.1,19.7,0.0,NNE,1.1,Aotizhongxin,2013-06-09 00:00:00,0,public-derived
2421,2013,6,9,20,18.0,18.0,3.0,83.0,500.0,21.0,16.3,1007.5,16.0,0.0,E,0.6,Aotizhongxin,2013-06-09 20:00:00,0,public-derived
2441,2013,6,10,16,16.0,16.0,4.0,40.0,300.0,101.0,24.8,1005.4,10.3,0.0,SSW,1.1,Aotizhongxin,2013-06-10 16:00:00,0,public-derived
2461,2013,6,11,12,90.0,93.0,12.0,76.0,500.0,123.0,26.3,1001.8,17.9,0.0,SSW,2.6,Aotizhongxin,2013-06-11 12:00:00,0,public-derived
2481,2013,6,12,8,47.0,54.0,6.0,92.0,900.0,24.0,21.2,1003.4,14.8,0.0,W,1.1,Aotizhongxin,2013-06-12 08:00:00,0,public-derived
2501,2013,6,13,4,92.0,98.0,9.0,110.0,800.0,35.0,17.2,1003.1,15.5,0.0,N,0.5,Aotizhongxin,2013-06-13 04:00:00,0,public-derived
2521,2013,6,14,0,86.0,169.0,21.0,90.0,700.0,105.0,24.4,1002.3,11.7,0.0,S,1.4,Aotizhongxin,2013-06-14 00:00:00,0,public-derived
2541,2013,6,14,20,126.0,141.0,13.0,91.0,900.0,179.0,26.1,1001.9,15.5,0.0,S,1.6,Aotizhongxin,2013-06-14 20:00:00,0,public-derived
2561,2013,6,15,16,172.0,226.0,52.0,111.0,1600.0,204.0,30.8,999.2,17.8,0.0,SSW,2.0,Aotizhongxin,2013-06-15 16:00:00,0,public-derived
2581,2013,6,16,12,198.0,333.0,50.0,112.0,2500.0,9.0,21.1,997.7,19.2,0.2,ENE,1.5,Aotizhongxin,2013-06-16 12:00:00,0,public-derived
2601,2013,6,17,8,13.0,129.0,7.0,59.0,400.0,30.0,25.2,997.5,18.9,0.0,ENE,1.6,Aotizhongxin,2013-06-17 08:00:00,0,public-derived
2621,2013,6,18,4,52.0,96.0,14.0,94.0,700.0,2.0,21.9,992.9,17.5,0.0,NE,0.5,Aotizhongxin,2013-06-18 04:00:00,0,public-derived
2641,2013,6,19,0,74.0,252.0,48.0,74.0,1700.0,43.0,24.4,996.5,19.2,0.0,SSE,1.3,Aotizhongxin,2013-06-19 00:00:00,0,public-derived
2661,2013,6,19,20,37.0,37.0,,5.0,,233.6922,26.9,997.6,20.3,0.0,SW,0.9,Aotizhongxin,2013-06-19 20:00:00,2,public-derived
2681,2013,6,20,16,54.0,124.0,34.8432,67.5437,,132.1614,26.6,1002.4,20.7,0.0,WSW,0.7,Aotizhongxin,2013-06-20 16:00:00,1,public-derived
2701,2013,6,21,12,64.0,104.0,20.8488,87.2525,,132.5898,29.7,1003.9,17.8,0.0,SSW,2.9,Aotizhongxin,2013-06-21 12:00:00,1,public-derived
2721,2013,6,22,8,90.0,91.0,3.9984,63.0271,,25.0614,20.5,1004.5,19.8,1.2,NE,1.8,Aotizhongxin,2013-06-22 08:00:00,1,public-derived
2741,2013,6,23,4,78.0,70.0,12.5664,54.6098,,21.8484,19.9,999.9,19.4,0.0,N,0.6,Aotizhongxin,2013-06-23 04:00:00,1,public-derived
2761,2013,6,24,0,73.0,109.0,6.5688,56.4575,,125.0928,24.0,997.8,18.9,0.0,WSW,0.9,Aotizhongxin,2013-06-24 00:00:00,1,public-derived
2781,2013,6,24,20,120.0,168.0,6.8544,44.9607,,164.2914,21.1,995.4,20.3,1.0,SE,1.7,Aotizhongxin,2013-06-24 20:00:00,1,public-derived
2801,2013,6,25,16,153.0,175.0,35.1288,71.855,,51.408,23.3,993.0,20.8,0.0,NE,1.3,Aotizhongxin,2013-06-25 16:00:00,1,public-derived
2821,2013,6,26,12,189.0,182.0,6.2832,63.2324,,139.8726,29.7,991.4,21.6,0.0,SSW,1.5,Aotizhongxin,2013-06-26 12:00:00,1,public-derived
2841,2013,6,27,8,100.0,182.0,14.28,75.3451,,8.1396,26.4,993.4,21.6,0.0,NE,1.4,Aotizhongxin,2013-06-27 08:00:00,1,public-derived
2861,2013,6,28,4,368.0,322.0,17.9928,,,36.1998,25.3,995.7,22.6,0.0,NNE,1.1,Aotizhongxin,2013-06-28 04:00:00,2,public-derived
2881,2013,6,29,0,25.0,25.0,3.0,61.0,500.0,85.0,21.0,996.6,20.5,0.6,NNE,1.5,Aotizhongxin,2013-06-29 00:00:00,0,public-derived
2901,2013,6,29,20,151.0,173.0,16.0,86.0,2100.0,24.0,23.4,999.9,21.8,0.0,NNE,0.9,Aotizhongxin,2013-06-29 20:00:00,0,public-derived
2921,2013,6,30,16,190.0,175.0,16.0,40.0,1100.0,119.0,26.8,997.8,23.9,0.0,N,2.0,Aotizhongxin,2013-06-30 16:00:00,0,public-derived
2941,2013,7,1,12,181.0,181.0,22.0,78.0,2500.0,2.0,24.9,994.2,23.3,0.0,NE,1.9,Aotizhongxin,2013-07-01 12:00:00,0,public-derived
2961,2013,7,2,8,11.0,11.0,9.0,37.0,300.0,63.0,28.9,991.1,16.8,0.0,NNE,2.5,Aotizhongxin,2013-07-02 08:00:00,0,public-derived
2981,2013,7,3,4,31.0,124.0,8.0,99.0,600.0,2.0,21.9,990.3,20.7,0.0,NNE,0.6,Aotizhongxin,2013-07-03 04:00:00,0,public-derived
3001,2013,7,4,0,25.0,54.0,8.0,102.0,700.0,2.0,24.0,989.2,20.9,0.0,N,0.0,Aotizhongxin,2013-07-04 00:00:00,0,public-derived
3021,2013,7,4,20,21.0,50.0,3.0,53.0,400.0,62.0,22.7,990.4,19.9,0.0,NW,0.0,Aotizhongxin,2013-07-04 20:00:00,0,public-derived
3041,2013,7,5,16,15.0,35.0,6.0,26.0,300.0,155.0,34.8,992.0,18.4,0.0,WSW,3.2,Aotizhongxin,2013-07-05 16:00:00,0,public-derived
3061,2013,7,6,12,41.0,35.0,14.0,39.0,500.0,203.0,33.8,994.9,17.9,0.0,SW,3.5,Aotizhongxin,2013-07-06 12:00:00,0,public-derived
3081,2013,7,7,8,49.0,43.0,5.0,44.0,500.0,70.0,25.9,996.9,22.2,0.0,NE,1.6,Aotizhongxin,2013-07-07 08:00:00,0,public-derived
