会员号,卡等级,最近乘机天数,年飞行次数,年消费,分层,里程余额
A448639,银卡,296,38,45623.74,流失预警,1184
A180478,白金,281,23,39608.61,流失预警,83336
A307522,金卡,243,47,63566.65,流失预警,17374
A146489,白金,274,39,46364.31,流失预警,131300
A622034,白金,111,44,117743.68,成长,126210
A851047,银卡,281,5,75680.86,流失预警,178265
A877408,白金,346,27,36780.93,流失预警,134877
A236450,白金,296,40,26783.69,流失预警,15685
A756071,银卡,9,15,113102.09,成长,131407
A593007,白金,366,18,36862.92,流失预警,133019
A748513,普卡,350,12,48970.33,流失预警,107866
A879621,普卡,82,29,13128.45,成长,4506
A339901,金卡,331,18,101323.77,流失预警,182778
A350826,银卡,153,3,7208.2,成长,33969
A547870,普卡,141,21,35460.03,成长,74989
A438150,普卡,108,8,89329.5,成长,6717
A311724,白金,63,10,64610.55,成长,128055
A658897,白金,107,40,23902.69,成长,54495
A867938,金卡,73,37,47125.64,成长,19900
A341538,普卡,259,38,103102.9,流失预警,142259
A381127,普卡,241,26,36909.42,流失预警,47994
A436264,银卡,166,22,14484.58,成长,22145
A560538,白金,233,2,25410.37,流失预警,133646
A560351,金卡,39,11,36070.53,成长,75815
A417861,普卡,287,37,37707.37,流失预警,38850
A461320,银卡,263,11,113035.68,流失预警,155493
A747019,银卡,257,7,117017.24,流失预警,172695
A463672,金卡,139,25,73287.61,成长,159570
A874879,金卡,164,4,95822.44,成长,112544
A509699,普卡,395,14,105941.26,流失预警,91084
A137756,金卡,44,22,23601.09,高价值,135345
A200318,普卡,351,37,58667.28,流失预警,56772
A744665,白金,353,12,59609.2,流失预警,162401
A500833,白金,8,33,92870.08,高价值,118833
A733320,银卡,347,1,51509.09,流失预警,71110
A596464,银卡,60,19,45681.55,成长,83615
A586363,白金,254,6,36420.7,流失预警,114830
A819980,白金,399,14,10675.79,流失预警,157687
A139292,银卡,189,45,38283.92,成长,117495
A277798,白金,130,20,61624.54,成长,142280
A122350,普卡,216,10,71521.81,流失预警,148558
A102411,金卡,235,14,64892.73,流失预警,20906
A560237,白金,338,1,39802.38,流失预警,176490
A485432,白金,170,6,71361.67,成长,745
A384011,金卡,236,16,119403.56,流失预警,173169
A161410,白金,275,5,113955.63,流失预警,197765
A777813,金卡,116,21,25149.78,成长,147490
A653458,普卡,350,49,44856.09,流失预警,76399
A687120,银卡,302,42,73202.47,流失预警,68236
A189439,金卡,137,11,45168.49,成长,144299
A866783,金卡,122,4,11739.06,成长,36174
A415207,白金,316,17,66990.02,流失预警,193555
A651179,银卡,372,1,977.94,流失预警,166151
A426270,银卡,190,33,79888.91,成长,76378
A891606,白金,347,9,75019.19,流失预警,182094
A405927,普卡,334,24,39607.66,流失预警,89068
A797039,银卡,350,13,42232.98,流失预警,11788
A332311,银卡,166,14,91086.54,成长,164351
A652854,白金,67,8,100032.23,成长,95315
A707880,金卡,341,47,56971.84,流失预警,52976
A310289,普卡,221,19,75143.65,流失预警,501
A704859,银卡,182,1,74291.31,成长,68655
A828999,金卡,87,41,58882.94,成长,183595
A141032,白金,123,25,86881.75,成长,120357
A109680,白金,396,33,74599.14,流失预警,98620
A783089,普卡,83,17,63851.78,成长,58170
A872026,普卡,82,48,48570.07,成长,25598
A679133,银卡,214,13,12488.66,流失预警,199303
A899421,白金,294,38,1686.6,流失预警,165768
A279191,白金,36,18,82493.01,成长,165941
A818789,金卡,264,22,16510.3,流失预警,12120
A635921,白金,273,12,73531.83,流失预警,187356
A807423,金卡,160,38,111950.45,成长,12670
A754357,金卡,293,36,10711.82,流失预警,131916
A624843,普卡,345,17,94060.48,流失预警,182042
A636408,普卡,126,45,55512.45,成长,186086
A546560,银卡,195,8,109418.7,成长,189406
A886832,白金,282,39,49591.62,流失预警,48101
A145764,普卡,49,1,114539.58,成长,162084
A540962,金卡,40,21,75523.93,高价值,146763
A769087,白金,196,43,78024.12,成长,107074
A360047,普卡,345,46,110535.63,流失预警,51880
A689560,白金,288,18,88320.5,流失预警,92131
A853458,白金,330,24,68590.17,流失预警,100
A568782,金卡,64,44,77419.92,成长,190195
A591373,白金,224,6,102185.73,流失预警,116669
A124062,白金,280,29,83105.41,流失预警,80725
A719177,金卡,322,8,24866.94,流失预警,86524
A267765,普卡,84,33,53558.98,成长,169534
A886729,白金,338,2,43998.15,流失预警,29845
A755705,金卡,192,16,79219.33,成长,155955
A432236,银卡,192,6,65566.97,成长,191588
A804891,银卡,111,41,29461.49,成长,89036
A351397,普卡,7,12,74881.48,成长,89640
A827484,白金,236,3,21194.61,流失预警,60425
A768914,普卡,94,49,36313.56,成长,115146
A812616,白金,153,13,36371.62,成长,75537
A877743,普卡,229,25,34019.75,流失预警,85201
A566359,银卡,92,32,24380.4,成长,184631
A131145,普卡,13,12,89308.03,成长,42420
A855835,银卡,205,43,91299.97,流失预警,85218
A265033,白金,394,40,57861.19,流失预警,148541
A452883,银卡,369,39,34568.01,流失预警,23573
A428049,普卡,157,18,117000.48,成长,161088
A149886,白金,19,2,102057.95,成长,26719
A170554,普卡,289,23,28696.6,流失预警,46654
A158207,银卡,231,50,81297.72,流失预警,99343
A521090,普卡,116,36,42736.46,成长,106551
A530460,金卡,322,49,116995.19,流失预警,20937
A537072,银卡,125,27,9572.91,成长,194551
A303690,普卡,90,29,101477.94,成长,43142
A228034,白金,377,20,86769.66,流失预警,107184
A202257,白金,262,20,55141.76,流失预警,14653
A637298,普卡,359,38,13480.64,流失预警,74017
A168159,白金,349,45,74093.65,流失预警,139850
A659671,银卡,385,32,38589.97,流失预警,46984
A572051,银卡,83,36,110300.32,成长,120842
A740014,金卡,259,1,54355.12,流失预警,183885
A634833,银卡,255,41,68206.16,流失预警,85906
A171050,白金,177,16,59114.14,成长,74136
A716104,银卡,229,46,18551.74,流失预警,80550
A104685,银卡,130,16,41136.78,成长,52937
A759636,普卡,17,13,39189.08,成长,35169
A219742,金卡,94,42,10269.09,成长,21766
A608024,金卡,7,34,23299.27,高价值,63689
A608649,金卡,215,45,18846.5,流失预警,55406
A253107,普卡,316,18,34391.91,流失预警,110765
A664640,普卡,324,47,68013.67,流失预警,144888
A640089,金卡,349,34,26582.56,流失预警,190931
A239863,银卡,268,25,109720.14,流失预警,132470
A420937,白金,242,47,110221.58,流失预警,27253
A451675,普卡,269,18,112348.12,流失预警,170259
A385355,白金,152,32,38447.95,成长,16034
A577459,普卡,259,50,9703.89,流失预警,195261
A609629,银卡,385,31,69047.49,流失预警,185006
A721961,银卡,318,48,87315.89,流失预警,22961
A536518,银卡,195,49,27459.82,成长,11991
A841982,普卡,250,41,65631.48,流失预警,13518
A342477,金卡,293,42,117416.65,流失预警,117930
A817594,白金,387,43,111182.31,流失预警,140874
A248683,金卡,219,44,36644.13,流失预警,170162
A464585,白金,297,14,52435.65,流失预警,162551
A560693,金卡,215,18,26638.56,流失预警,185103
A898290,银卡,364,3,21673.11,流失预警,191715
A314098,金卡,149,38,32756.35,成长,156144
A154040,银卡,171,44,118488.46,成长,108658
A576999,金卡,189,48,70491.13,成长,146671
A687929,普卡,79,33,6582.25,成长,100962
A462540,金卡,316,18,114782.19,流失预警,159080
A541105,普卡,236,3,12827.5,流失预警,21888
A416888,白金,227,47,106722.25,流失预警,53573
A280595,金卡,119,37,13531.62,成长,149339
A219251,普卡,206,17,27353.93,流失预警,89736
A352219,普卡,297,7,58709.93,流失预警,140258
A208792,普卡,61,47,58849.29,成长,55030
A207692,白金,245,50,43322.67,流失预警,120771
A457289,白金,197,23,73824.2,成长,27060
A591705,普卡,95,48,85148.39,成长,148910
A209276,金卡,170,38,94440.33,成长,183532
A737645,金卡,288,5,41478.84,流失预警,31397
A200699,白金,242,36,112965.62,流失预警,174983
A157242,普卡,359,50,90419.9,流失预警,192310
A274512,普卡,40,12,119316.71,成长,54585
A757929,银卡,39,22,86589.42,高价值,80015
A448040,白金,355,22,57712.65,流失预警,28966
A567966,金卡,73,40,7592.73,成长,67366
A191810,银卡,26,35,95332.61,高价值,53556
A182709,金卡,350,30,26824.62,流失预警,194303
A497291,白金,348,42,100015.46,流失预警,92545
A861579,白金,35,22,21777.41,高价值,191652
A322048,白金,208,33,87996.76,流失预警,132534
A553050,银卡,374,16,72382.72,流失预警,104166
A115271,普卡,97,34,3469.99,成长,173947
A788886,白金,223,9,7824.92,流失预警,149296
A152862,金卡,233,20,119040.79,流失预警,37136
A395336,白金,35,22,107527.91,高价值,53053
A859385,银卡,74,25,110907.8,成长,181059
A245665,金卡,368,6,82507.36,流失预警,9758
A629996,普卡,284,37,91661.75,流失预警,163141
A763682,普卡,217,27,48138.34,流失预警,135246
A614139,金卡,387,39,12809.81,流失预警,23693
A762689,银卡,197,19,61293.22,成长,197669
A678622,普卡,256,37,7046.14,流失预警,127245
A850727,金卡,322,16,102791.4,流失预警,87058
A832980,普卡,62,6,19986.01,成长,172027
A570177,金卡,2,30,100764.51,高价值,88814
A875096,普卡,140,43,11236.01,成长,128831
A182018,普卡,38,44,39387.88,高价值,74964
A489476,银卡,297,23,12466.98,流失预警,188629
A652016,金卡,262,34,110111.39,流失预警,99398
A433097,银卡,1,28,8906.67,高价值,44500
A628503,普卡,97,34,35100.34,成长,69412
A603402,金卡,242,45,95208.47,流失预警,118817
A404304,白金,166,30,65525.63,成长,41290
A873304,白金,208,32,23682.37,流失预警,5695
A391086,银卡,198,27,119976.27,成长,17554
A869964,白金,314,24,3289.18,流失预警,26863
A857419,金卡,34,21,35484.4,高价值,84053
A721723,普卡,179,46,70123.97,成长,61997
A862518,白金,78,17,71958.01,成长,38540
A291462,银卡,32,43,116489.77,高价值,169377
A892927,银卡,257,9,69774.07,流失预警,25996
A166034,普卡,357,48,14441.45,流失预警,166811
A819608,银卡,36,38,21250.42,高价值,62167
A239513,普卡,156,29,32658.99,成长,176008
A473345,金卡,241,48,13037.22,流失预警,51129
A678119,金卡,173,43,114966.71,成长,25268
A649309,普卡,292,5,55572.03,流失预警,187281
A378144,普卡,8,41,3715.46,高价值,131759
A817433,普卡,110,7,95648.79,成长,85225
A361713,银卡,1,12,20320.82,成长,69665
A681799,金卡,178,6,73052.3,成长,143518
A772289,银卡,114,49,35591.15,成长,38863
A328348,普卡,373,32,8683.87,流失预警,151668
A700685,金卡,184,38,90020.89,成长,91479
A341925,银卡,123,22,68538.64,成长,185911
A110318,普卡,205,22,103480.82,流失预警,97118
A413167,白金,21,5,57159.8,成长,141019
A325530,普卡,22,39,73588.47,高价值,104331
A352993,银卡,296,5,98032.11,流失预警,116854
A746641,白金,291,25,8517.03,流失预警,11030
A691824,白金,363,20,98806.71,流失预警,104203
A318514,金卡,142,11,80015.87,成长,74532
A363918,白金,255,22,12377.48,流失预警,141192
A821002,普卡,346,43,98237.04,流失预警,156793
A372943,白金,114,30,79900.64,成长,170811
A710493,金卡,28,15,1070.77,成长,54618
A148193,金卡,189,32,73956.55,成长,57549
A675965,银卡,171,14,76737.95,成长,77971
A412870,金卡,84,50,2072.56,成长,177423
A131000,银卡,308,37,81830.41,流失预警,68788
A779757,金卡,341,13,109587.68,流失预警,69489
A492852,金卡,213,12,62178.39,流失预警,118003
A227816,普卡,330,13,100326.17,流失预警,79728
A497079,银卡,347,24,87447.84,流失预警,20520
A577717,银卡,241,15,106862.34,流失预警,121965
A454096,普卡,157,39,118149.19,成长,41981
A388594,白金,40,14,38112.95,成长,158780
A772486,金卡,365,21,87548.92,流失预警,142210
A493874,白金,329,48,106031.12,流失预警,129470
A248280,白金,234,17,100034.22,流失预警,64007
A140722,金卡,53,2,23923.58,成长,109853
A575664,白金,194,15,70933.93,成长,87879
A541558,金卡,222,8,32973.47,流失预警,88716
A434321,银卡,197,43,6012.76,成长,56326
A278737,普卡,191,39,96268.69,成长,178994
A272779,银卡,156,41,77730.05,成长,2521
A542551,普卡,97,25,3151.33,成长,38664
A241759,金卡,364,42,394.47,流失预警,75898
A284692,金卡,127,29,93067.87,成长,23304
A890092,银卡,288,48,114362.35,流失预警,90543
A640034,白金,103,39,26977.86,成长,118590
A634779,白金,225,45,38624.9,流失预警,83293
A378102,银卡,222,33,14967.73,流失预警,80541
A550458,金卡,334,30,105663.96,流失预警,95210
A835834,普卡,227,48,113293.85,流失预警,114211
A561285,白金,373,35,55921.54,流失预警,16595
A504988,银卡,279,41,27969.72,流失预警,122655
A742931,白金,343,50,89893.85,流失预警,5661
A110130,金卡,296,42,32925.2,流失预警,86744
A323689,白金,364,46,117372.07,流失预警,46247
A882192,普卡,339,22,109789.98,流失预警,109370
A639229,白金,282,5,115652.49,流失预警,72006
A624395,普卡,209,39,17881.08,流失预警,144313
A334601,白金,278,47,47754.56,流失预警,123560
A742216,普卡,11,5,20174.61,成长,80029
A875606,白金,146,33,6155.69,成长,172536
A102512,金卡,109,33,30173.22,成长,82872
A836858,银卡,137,26,56816.46,成长,113168
A465927,金卡,186,37,18673.6,成长,123156
A869633,普卡,85,39,84151.46,成长,35800
A778348,金卡,154,13,73741.17,成长,108362
A580836,白金,389,27,38194.31,流失预警,52060
A467119,白金,284,44,71851.65,流失预警,72405
A549191,银卡,281,31,96855.83,流失预警,130683
A765464,白金,241,27,51167.41,流失预警,123134
A617088,银卡,183,43,84252.69,成长,170887
A111309,普卡,249,30,1757.84,流失预警,112795
A680298,白金,360,48,16838.65,流失预警,138012
A680124,白金,386,20,112610.22,流失预警,83130
A517538,白金,269,46,42128.89,流失预警,193989
A218897,金卡,26,18,112330.35,成长,46456
A514713,普卡,390,19,13689.98,流失预警,91785
A842524,普卡,303,28,54153.79,流失预警,178444
A151839,金卡,6,43,76609.41,高价值,173751
A638889,金卡,37,14,83386.91,成长,5517
A624103,白金,41,24,92729.98,高价值,76607
A275683,普卡,229,42,44865.43,流失预警,48887
A801646,白金,191,44,48836.86,成长,66832
A341764,普卡,212,40,101477.86,流失预警,25951
A870488,银卡,355,23,69980.54,流失预警,182317
A521660,白金,378,33,60771.01,流失预警,123188
A516278,金卡,62,9,98107.04,成长,37542
A135113,白金,340,1,65692.38,流失预警,116215
A338598,金卡,190,25,116399.78,成长,27462
A160329,白金,308,4,91603.99,流失预警,2142
A439571,白金,201,22,13314.42,流失预警,102234
A554026,银卡,331,28,87372.82,流失预警,53831
A248590,普卡,204,24,42919.36,流失预警,92533
A275693,普卡,18,42,114404.17,高价值,37664
A725684,普卡,235,43,8859.79,流失预警,169168
A300754,白金,400,45,5500.89,流失预警,77559
A299008,银卡,58,40,97822.82,高价值,78995
A310019,白金,378,11,45509.85,流失预警,191568
A802130,白金,248,30,110287.51,流失预警,156317
A833350,金卡,277,3,90099.55,流失预警,192732
A315131,金卡,137,32,53352.87,成长,3461
A652683,白金,50,25,86282.76,高价值,197389
A446947,普卡,386,9,62777.18,流失预警,2084
A150128,白金,342,50,48320.36,流失预警,168467
A428218,白金,291,24,84893.81,流失预警,188770
A444553,银卡,168,35,37939.22,成长,54448
A367408,银卡,45,26,80428.44,高价值,187660
A358387,金卡,151,33,27333.43,成长,29921
A855083,普卡,215,25,112981.9,流失预警,53798
A428204,银卡,10,2,104422.24,成长,125741
A512890,白金,224,33,117295.21,流失预警,32245
A668815,白金,83,44,27656.73,成长,3931
A381736,银卡,304,14,26449.1,流失预警,178144
A152949,白金,306,30,28898.2,流失预警,165597
A549861,白金,207,30,65407.28,流失预警,182605
A765765,普卡,391,44,96950.9,流失预警,16814
A644079,金卡,302,14,101617.33,流失预警,118066
A872740,金卡,274,15,102958.13,流失预警,75250
A539602,金卡,159,12,20283.84,成长,1243
A604233,金卡,310,38,40149.64,流失预警,188422
A869474,金卡,272,50,83719.45,流失预警,175514
A466522,金卡,91,33,61824.9,成长,144565
