借款号,放款成功,借款金额,学历等级,历史成功次数,授信额度,有征信报告,描述字数,有效字符率,复杂词比例,主题1,主题2,主题3,主题4,信用画像,风险信号
447473,1,13000,1,1,13000,无,109,0.56,0.029,0.003,0.003,0.003,0.538,薄档,高风险薄档
448732,1,28000,1,1,28000,无,26,0.577,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
452938,1,25000,1,3,25000,无,68,0.721,0.023,0.003,0.003,0.583,0.09,待观察,需人工复核
455310,1,7200,1,3,7200,无,100,0.65,0.021,0.01,0.867,0.01,0.01,待观察,需人工复核
456309,1,19000,1,1,19000,无,30,0.633,0,0.102,0.883,0.005,0.005,薄档,高风险薄档
456635,1,8000,1,1,8000,无,24,0.667,0.071,0.003,0.003,0.986,0.003,薄档,高风险薄档
458188,1,15000,1,1,15000,无,72,0.75,0.079,0.003,0.003,0.003,0.003,薄档,高风险薄档
462392,1,16000,2,1,16000,无,36,0.639,0.048,0.003,0.003,0.003,0.036,薄档,高风险薄档
475147,1,21000,1,1,21000,无,41,0.756,0,0.002,0.032,0.521,0.002,薄档,高风险薄档
477301,1,50000,2,1,50000,无,38,0.737,0.045,0.002,0.128,0.773,0.002,待观察,需人工复核
478762,1,30000,3,1,30000,无,134,0.858,0.095,0.003,0.003,0.987,0.003,薄档,高风险薄档
479060,1,9000,1,1,9000,无,46,0.739,0.083,0.003,0.003,0.095,0.003,薄档,高风险薄档
479805,1,14000,3,1,14000,无,25,0.88,0,0.003,0.003,0.003,0.465,薄档,高风险薄档
480977,1,50000,2,1,50000,无,60,0.667,0.031,0.003,0.003,0.003,0.907,待观察,需人工复核
481691,1,10000,1,1,10000,无,32,0.594,0,0.002,0.002,0.992,0.002,薄档,高风险薄档
485240,1,8000,1,1,8000,无,53,0.736,0.071,0.996,0.001,0.001,0.001,薄档,高风险薄档
486278,1,28000,2,1,28000,无,25,0.48,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
489324,1,8000,1,1,8000,无,31,0.774,0.059,0.996,0.001,0.001,0.001,薄档,高风险薄档
489572,1,6000,2,1,6000,无,21,0.714,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
499816,1,10000,1,1,10000,无,56,0.554,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
503201,1,22000,2,1,22000,无,46,0.696,0,0.985,0.001,0.001,0.001,薄档,高风险薄档
504543,1,42000,3,1,42000,无,34,0.794,0.045,0.996,0.001,0.001,0.001,薄档,高风险薄档
507453,1,6000,3,1,6000,无,40,0.7,0.043,0.996,0.001,0.001,0.001,薄档,高风险薄档
507872,1,25200,2,2,25200,无,31,0.742,0,0.996,0.001,0.001,0.001,待观察,需人工复核
508702,1,9000,2,1,9000,无,45,0.8,0.045,0.996,0.001,0.001,0.001,薄档,高风险薄档
512131,1,15000,1,1,15000,无,50,0.68,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
515532,1,35000,1,1,35000,无,99,0.707,0.018,0.996,0.001,0.001,0.001,薄档,高风险薄档
520905,1,21000,2,1,21000,无,67,0.687,0.053,0.996,0.001,0.001,0.001,薄档,高风险薄档
528098,1,11000,1,1,11000,无,27,0.741,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
532027,1,30000,2,1,30000,无,25,0.72,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
537728,1,14000,4,1,14000,有,56,0.643,0.033,0.996,0.001,0.001,0.001,成长,
539596,1,20000,1,1,20000,有,26,0.615,0,0.996,0.001,0.001,0.001,成长,
539892,1,18000,2,1,18000,无,22,0.818,0,0.996,0.001,0.001,0.001,薄档,高风险薄档
542814,1,10000,1,2,10000,有,52,0.596,0.032,0.985,0.001,0.001,0.012,优质,
543282,1,30000,3,1,30000,有,63,0.635,0.026,0.996,0.001,0.001,0.001,成长,
547581,1,10000,1,1,10000,有,21,0.762,0,0.996,0.001,0.001,0.001,成长,
548978,1,16000,4,2,16000,无,36,0.667,0.059,0.996,0.001,0.001,0.001,待观察,需人工复核
549829,1,14000,2,1,14000,无,21,0.81,0.125,0.996,0.001,0.001,0.001,薄档,高风险薄档
550965,1,10000,3,2,10000,有,20,0.6,0,0.996,0.001,0.001,0.001,优质,
553171,1,29000,1,1,29000,无,103,0.728,0.109,0.996,0.001,0.001,0.001,薄档,高风险薄档
554098,1,23000,2,1,23000,有,29,0.586,0,0.996,0.001,0.001,0.001,成长,
559505,1,18000,2,1,18000,有,23,0.783,0.111,0.996,0.001,0.001,0.001,成长,
562625,1,12000,3,1,12000,有,116,0.724,0.044,0.996,0.001,0.001,0.001,成长,
575348,1,11000,1,1,11000,有,115,0.748,0.013,0.996,0.001,0.001,0.001,成长,
580189,1,30000,3,1,30000,有,23,0.696,0,0.996,0.001,0.001,0.001,成长,
581247,1,50000,2,1,50000,无,25,0.68,0,0.996,0.001,0.001,0.001,待观察,需人工复核
581902,1,14000,3,1,14000,有,28,0.786,0,0.996,0.001,0.001,0.001,成长,
585133,1,26000,2,2,26000,无,21,0.619,0,0.975,0.001,0.001,0.001,待观察,需人工复核
585506,1,30000,2,1,30000,有,20,0.75,0,0.996,0.001,0.001,0.001,成长,
589728,1,18000,3,1,18000,有,67,0.672,0,0.996,0.001,0.001,0.001,成长,
590695,1,4000,2,1,4000,有,37,0.514,0,0.996,0.001,0.001,0.001,成长,
594343,1,17000,3,1,17000,有,79,0.671,0,0.996,0.001,0.001,0.001,成长,
607755,1,15000,1,1,15000,有,48,0.521,0,0.996,0.001,0.001,0.001,成长,
608361,1,22000,3,2,22000,无,37,0.811,0,0.993,0.002,0.002,0.002,待观察,需人工复核
611370,1,30000,3,1,30000,有,71,0.648,0,0.009,0.965,0.009,0.009,成长,
613624,1,60000,2,2,60000,无,54,0.852,0,0.012,0.953,0.012,0.012,成长,
614735,1,10000,1,1,10000,无,32,0.563,0,0.995,0.001,0.001,0.001,薄档,高风险薄档
614892,1,20000,1,1,20000,有,55,0.6,0,0.995,0.001,0.001,0.001,成长,
618838,1,14000,1,2,14000,有,30,0.7,0.048,0.993,0.002,0.002,0.002,优质,
618987,1,16000,2,1,16000,有,77,0.792,0,0.993,0.002,0.002,0.002,成长,
620862,1,30000,1,1,30000,有,32,0.594,0,0.005,0.978,0.005,0.005,成长,
621139,1,17000,1,1,17000,有,30,0.7,0,0.01,0.962,0.01,0.01,成长,
622024,1,6000,2,1,6000,有,31,0.839,0.1,0.974,0.002,0.002,0.021,成长,
627275,1,20000,2,1,20000,有,52,0.5,0,0.003,0.003,0.003,0.409,成长,
629191,1,16000,2,1,16000,有,22,0.5,0,0.003,0.003,0.003,0.003,成长,
631328,1,30000,2,1,30000,有,105,0.629,0,0.003,0.003,0.865,0.003,成长,
632387,1,9600,2,2,9600,有,76,0.605,0,0.003,0.003,0.235,0.032,优质,
633337,1,15000,3,1,15000,有,31,0.613,0.063,0.003,0.003,0.987,0.003,成长,
636305,1,10000,1,1,10000,无,21,0.905,0.083,0.003,0.003,0.987,0.003,薄档,高风险薄档
653179,1,10000,3,1,10000,有,200,0.565,0.024,0.003,0.003,0.988,0.003,成长,
660370,1,20000,2,1,20000,有,30,0.633,0,0.003,0.003,0.391,0.6,成长,
660445,1,60000,1,3,60000,无,21,0.667,0,0.013,0.947,0.013,0.013,成长,
670534,1,15000,1,1,15000,有,68,0.662,0,0.003,0.003,0.986,0.003,成长,
676521,1,5000,1,1,5000,有,47,0.638,0,0.003,0.003,0.919,0.071,成长,
680635,1,30000,2,1,30000,无,33,0.697,0.056,0.003,0.003,0.14,0.852,薄档,高风险薄档
681612,1,14000,1,3,14000,有,84,0.44,0,0.003,0.003,0.986,0.003,优质,
684941,1,14000,2,1,14000,有,26,0.769,0.063,0.003,0.003,0.988,0.003,成长,
719640,1,11000,1,2,11000,有,96,0.771,0,0.003,0.003,0.988,0.003,优质,
728558,1,20000,1,1,20000,有,33,0.667,0.059,0.003,0.003,0.003,0.003,成长,
731030,1,11000,1,1,11000,有,51,0.745,0.03,0.003,0.003,0.003,0.989,成长,
732071,1,19000,1,1,19000,有,24,0.75,0,0.002,0.002,0.537,0.002,成长,
735625,1,5000,3,1,5000,有,71,0.577,0,0.003,0.003,0.79,0.102,成长,
739168,1,5000,1,1,5000,有,23,0.609,0,0.003,0.003,0.954,0.036,成长,
740428,1,18000,2,1,18000,有,30,0.8,0,0.003,0.003,0.956,0.003,成长,
748686,1,10000,2,2,10000,无,32,0.5,0,0.003,0.003,0.614,0.003,待观察,需人工复核
749780,1,5000,3,2,5000,有,29,0.759,0,0.003,0.003,0.003,0.988,优质,
756119,1,14000,2,1,14000,有,96,0.479,0,0.003,0.003,0.987,0.003,成长,
774635,1,9000,2,1,9000,有,29,0.759,0,0.003,0.003,0.087,0.904,成长,
774665,1,5000,3,3,5000,有,29,0.759,0,0.003,0.003,0.987,0.003,优质,
775736,1,9000,3,1,9000,有,26,0.769,0,0.003,0.003,0.988,0.003,成长,
775918,1,27000,1,1,27000,有,117,0.735,0.015,0.003,0.003,0.003,0.51,成长,
777227,1,11000,2,1,11000,有,30,0.633,0,0.003,0.003,0.987,0.003,成长,
777267,1,22000,2,1,22000,有,175,0.749,0.038,0.003,0.003,0.797,0.003,成长,
778383,1,26000,3,2,26000,有,23,0.652,0,0.003,0.003,0.86,0.003,优质,
786237,1,16000,2,1,16000,有,34,0.676,0,0.003,0.003,0.987,0.003,成长,
793986,1,35000,3,1,35000,有,59,0.61,0.028,0.003,0.003,0.987,0.003,成长,
417096,1,62800,1,1,1,无,99,0.747,0,0.003,0.003,0.421,0.212,薄档,高风险薄档
417105,1,136000,3,1,1,无,94,0.766,0,0.002,0.002,0.718,0.002,薄档,高风险薄档
417197,1,53600,3,1,1,无,101,0.713,0,0.003,0.003,0.003,0.321,薄档,高风险薄档
417200,1,93400,3,1,1,无,102,0.765,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
417307,1,54400,1,1,1,无,93,0.753,0,0.087,0.003,0.848,0.003,薄档,高风险薄档
417309,1,53600,1,1,1,无,101,0.713,0,0.003,0.003,0.003,0.069,薄档,高风险薄档
417311,1,94200,3,1,1,无,97,0.763,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
417313,1,62800,2,1,1,无,93,0.763,0.02,0.003,0.003,0.242,0.003,薄档,高风险薄档
417368,1,40800,3,1,1,无,105,0.771,0,0.002,0.002,0.806,0.002,薄档,高风险薄档
417493,1,60000,1,3,60000,无,19,0.842,0,0.003,0.031,0.003,0.961,成长,
417723,1,47100,2,1,1,无,101,0.752,0,0.011,0.853,0.116,0.011,薄档,高风险薄档
417729,1,79600,2,1,1,无,88,0.75,0,0.003,0.003,0.659,0.298,薄档,高风险薄档
417740,1,67000,2,1,1,无,163,0.724,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
417766,1,27800,2,1,1,无,92,0.761,0,0.002,0.002,0.002,0.556,薄档,高风险薄档
417771,1,93100,3,1,1,无,101,0.762,0,0.003,0.122,0.869,0.003,薄档,高风险薄档
417773,1,93400,3,1,1,无,98,0.755,0,0.003,0.003,0.956,0.035,薄档,高风险薄档
417777,1,81600,2,1,1,无,95,0.758,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
417780,1,94200,2,1,1,无,93,0.753,0,0.002,0.002,0.992,0.002,薄档,高风险薄档
417782,1,125600,3,1,1,无,147,0.728,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
417785,1,54400,3,1,1,无,92,0.761,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
417786,1,40800,3,1,1,无,106,0.774,0,0.015,0.938,0.015,0.015,薄档,高风险薄档
417791,1,40500,3,1,1,无,103,0.767,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
417805,1,94200,2,1,1,无,100,0.76,0,0.003,0.003,0.889,0.102,薄档,高风险薄档
417806,1,78500,2,1,1,无,93,0.753,0,0.003,0.003,0.003,0.342,薄档,高风险薄档
417808,1,51800,3,1,1,无,94,0.766,0,0.002,0.002,0.002,0.002,薄档,高风险薄档
417810,1,61200,2,1,1,无,144,0.743,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
417816,1,125600,3,1,1,无,91,0.725,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
417817,1,65700,2,1,1,无,153,0.719,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
417899,1,78500,3,1,1,无,97,0.763,0.019,0.995,0.001,0.001,0.001,薄档,高风险薄档
418022,1,106700,3,1,1,无,94,0.755,0.019,0.001,0.997,0.001,0.001,薄档,高风险薄档
418032,1,62800,1,1,1,无,97,0.763,0.019,0.008,0.968,0.008,0.008,薄档,高风险薄档
418036,1,30600,1,2,1,无,90,0.756,0,0.003,0.003,0.957,0.034,待观察,需人工复核
418037,1,163500,2,1,1,无,101,0.762,0,0.003,0.003,0.031,0.961,薄档,高风险薄档
418119,1,94200,1,1,1,无,98,0.755,0,0.002,0.002,0.332,0.002,薄档,高风险薄档
418129,1,26800,1,1,1,无,101,0.713,0,0.003,0.003,0.86,0.035,薄档,高风险薄档
418139,1,108800,1,1,1,无,98,0.755,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
418236,1,42400,3,1,1,无,92,0.728,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
418237,1,204000,3,1,1,无,101,0.762,0,0.003,0.003,0.67,0.003,薄档,高风险薄档
418238,1,43200,1,1,1,无,103,0.767,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
418239,1,107200,2,1,1,无,101,0.723,0,0.003,0.003,0.139,0.003,薄档,高风险薄档
418308,1,47100,2,1,1,无,101,0.762,0,0.003,0.003,0.68,0.311,薄档,高风险薄档
418310,1,93400,1,1,1,无,95,0.758,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
418324,1,61200,2,1,1,无,92,0.761,0,0.003,0.003,0.986,0.003,薄档,高风险薄档
418326,1,47100,1,1,1,无,93,0.753,0,0.003,0.003,0.003,0.102,薄档,高风险薄档
418377,1,42500,3,1,1,无,90,0.756,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
418385,1,78500,2,1,1,无,91,0.758,0,0.01,0.962,0.01,0.01,薄档,高风险薄档
418388,1,47100,1,1,1,无,90,0.756,0,0.011,0.642,0.011,0.011,薄档,高风险薄档
418505,1,95200,2,1,1,无,100,0.76,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
418508,1,47100,3,1,1,无,106,0.774,0,0.006,0.974,0.006,0.006,薄档,高风险薄档
418531,1,67400,2,1,1,无,93,0.753,0,0.035,0.956,0.003,0.003,薄档,高风险薄档
418537,1,8000,1,1,8000,无,32,0.844,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
418557,1,94200,1,1,1,无,98,0.735,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
418558,1,94200,3,1,1,无,98,0.735,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
418640,1,47100,2,1,1,无,93,0.763,0,0.003,0.956,0.003,0.035,薄档,高风险薄档
418642,1,41700,2,1,1,无,91,0.758,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
418757,1,62800,2,1,1,无,98,0.735,0,0.003,0.003,0.233,0.003,薄档,高风险薄档
418922,1,24000,3,1,1,无,31,0.548,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
420811,1,5000,2,1,5000,无,84,0.571,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
437370,1,95200,2,1,1,无,103,0.738,0,0.003,0.034,0.065,0.003,薄档,高风险薄档
437413,1,8000,1,1,8000,有,23,0.696,0,0.035,0.003,0.003,0.035,成长,
437488,1,94200,1,1,1,无,105,0.771,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
437490,1,53600,1,1,1,无,101,0.733,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
437493,1,62800,1,1,1,无,96,0.708,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
437499,1,51700,2,2,65300,无,97,0.763,0,0.003,0.003,0.003,0.003,成长,
437572,1,44500,2,1,1,无,101,0.762,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
437574,1,61200,3,1,1,无,92,0.761,0,0.003,0.003,0.986,0.003,薄档,高风险薄档
437577,1,136000,1,1,1,无,92,0.761,0,0.003,0.003,0.2,0.792,薄档,高风险薄档
437581,1,94200,2,1,1,无,95,0.758,0,0.003,0.003,0.986,0.003,薄档,高风险薄档
437790,1,13000,2,3,15600,有,23,0.565,0,0.003,0.003,0.003,0.003,优质,
437796,1,68000,2,1,1,无,105,0.771,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
437799,1,27800,1,1,1,无,99,0.768,0.019,0.003,0.003,0.926,0.065,薄档,高风险薄档
437826,1,93900,2,1,1,无,94,0.766,0,0.003,0.003,0.797,0.003,薄档,高风险薄档
437828,1,78500,3,1,1,无,90,0.756,0,0.003,0.003,0.003,0.206,薄档,高风险薄档
437830,1,93400,1,2,1,无,102,0.765,0,0.003,0.003,0.003,0.003,待观察,需人工复核
437836,1,41700,2,1,1,无,87,0.747,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
437853,1,80900,1,1,1,无,94,0.766,0,0.003,0.003,0.036,0.003,薄档,高风险薄档
437875,1,78500,1,1,1,无,99,0.737,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
437895,1,62800,1,1,1,无,95,0.726,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
437908,1,94200,3,1,1,无,93,0.753,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
437919,1,16000,4,2,16000,无,138,0.638,0.024,0.003,0.003,0.987,0.003,待观察,需人工复核
437979,1,78900,3,1,1,无,88,0.75,0,0.003,0.003,0.311,0.188,薄档,高风险薄档
437980,1,47100,2,1,1,无,146,0.747,0,0.003,0.003,0.134,0.167,薄档,高风险薄档
437983,1,27800,2,1,1,无,93,0.753,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
438233,1,35400,1,1,1,无,103,0.767,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
438234,1,51500,2,1,1,无,95,0.758,0,0.003,0.003,0.162,0.003,薄档,高风险薄档
438248,1,94200,3,1,1,无,101,0.713,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
438253,1,94200,2,1,1,无,92,0.75,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
438255,1,136000,3,1,1,无,101,0.762,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
438261,1,67000,1,1,1,无,101,0.713,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
438266,1,41700,2,2,1,无,102,0.765,0,0.003,0.003,0.892,0.003,待观察,需人工复核
438306,1,136000,4,1,1,无,101,0.762,0,0.01,0.962,0.01,0.01,薄档,高风险薄档
438307,1,77800,2,1,1,无,90,0.756,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
438321,1,46900,3,1,1,无,109,0.725,0,0.029,0.886,0.029,0.029,薄档,高风险薄档
438324,1,53600,1,1,1,无,98,0.714,0,0.012,0.953,0.012,0.012,薄档,高风险薄档
438419,1,126500,3,1,1,无,92,0.761,0.02,0.011,0.958,0.011,0.011,薄档,高风险薄档
438530,1,54400,3,1,1,无,102,0.765,0,0.002,0.99,0.002,0.002,薄档,高风险薄档
438534,1,94200,3,1,1,无,95,0.758,0,0.011,0.958,0.011,0.011,薄档,高风险薄档
438553,1,47100,1,2,96600,无,90,0.756,0.02,0.011,0.853,0.011,0.116,成长,
438557,1,40500,2,1,1,无,105,0.771,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
438566,1,47600,1,1,1,无,91,0.758,0.02,0.003,0.003,0.003,0.989,薄档,高风险薄档
438589,1,62800,2,1,1,无,91,0.758,0,0.085,0.003,0.907,0.003,薄档,高风险薄档
438590,1,94200,1,1,1,无,92,0.761,0,0.003,0.003,0.003,0.54,薄档,高风险薄档
438593,1,78500,2,1,1,无,98,0.735,0,0.003,0.003,0.921,0.069,薄档,高风险薄档
438624,1,108800,4,1,1,无,90,0.756,0,0.003,0.003,0.067,0.003,薄档,高风险薄档
438820,1,19000,2,1,1,无,22,0.727,0,0.003,0.003,0.702,0.162,薄档,高风险薄档
439429,1,25000,1,1,1,无,75,0.667,0.023,0.003,0.003,0.659,0.003,薄档,高风险薄档
439697,1,81600,2,1,1,无,102,0.765,0,0.003,0.003,0.003,0.989,薄档,高风险薄档
439708,1,55600,3,1,1,无,105,0.771,0,0.003,0.003,0.003,0.989,薄档,高风险薄档
439710,1,94200,2,1,1,无,97,0.763,0,0.003,0.003,0.003,0.249,薄档,高风险薄档
439722,1,31400,2,1,1,无,90,0.756,0,0.003,0.003,0.924,0.003,薄档,高风险薄档
439724,1,62800,2,1,1,无,92,0.75,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
439743,1,47100,2,1,1,无,152,0.73,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
439749,1,94200,2,1,1,无,95,0.758,0,0.003,0.003,0.035,0.003,薄档,高风险薄档
439753,1,78500,2,1,1,无,98,0.714,0,0.002,0.064,0.932,0.002,薄档,高风险薄档
439764,1,62800,3,1,1,无,93,0.753,0,0.003,0.003,0.889,0.102,薄档,高风险薄档
439768,1,47100,3,1,1,无,91,0.758,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
439831,1,94200,2,1,1,无,104,0.769,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
439838,1,68000,1,1,1,无,100,0.76,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
439859,1,61200,3,1,1,无,90,0.756,0,0.001,0.076,0.416,0.505,薄档,高风险薄档
439863,1,47100,2,1,1,无,98,0.735,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
439901,1,94200,2,1,1,无,90,0.756,0,0.006,0.977,0.006,0.006,薄档,高风险薄档
439917,1,25200,3,1,1,无,98,0.755,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
439946,1,22000,2,1,1,无,92,0.598,0,0.003,0.098,0.892,0.003,薄档,高风险薄档
439967,1,136000,2,1,1,无,101,0.762,0,0.003,0.003,0.988,0.003,薄档,高风险薄档
440032,1,47600,2,1,1,无,93,0.753,0,0.003,0.003,0.071,0.003,薄档,高风险薄档
440049,1,81600,2,1,1,无,92,0.761,0,0.003,0.003,0.797,0.003,薄档,高风险薄档
440056,1,94200,2,1,1,无,99,0.768,0.019,0.002,0.002,0.992,0.002,薄档,高风险薄档
440058,1,62800,1,1,1,无,90,0.744,0,0.009,0.965,0.009,0.009,薄档,高风险薄档
440059,1,54000,2,1,1,无,90,0.756,0,0.003,0.003,0.13,0.003,薄档,高风险薄档
440138,1,94200,4,1,1,无,104,0.769,0,0.003,0.063,0.421,0.003,薄档,高风险薄档
440311,1,47100,2,1,1,无,95,0.758,0.019,0.003,0.003,0.003,0.86,薄档,高风险薄档
440314,1,41700,3,1,1,无,90,0.756,0,0.003,0.003,0.416,0.003,薄档,高风险薄档
440324,1,106100,3,1,1,无,90,0.756,0,0.003,0.003,0.003,0.003,薄档,高风险薄档
440325,1,78500,2,1,1,无,150,0.727,0,0.003,0.003,0.003,0.6,薄档,高风险薄档
440335,1,27800,3,2,45200,无,93,0.763,0,0.003,0.003,0.987,0.003,待观察,需人工复核
440339,1,47100,2,1,1,无,95,0.758,0,0.003,0.003,0.575,0.003,薄档,高风险薄档
440342,1,78500,1,1,1,无,97,0.763,0.019,0.003,0.003,0.003,0.003,薄档,高风险薄档
440348,1,107200,2,1,1,无,103,0.718,0.035,0.003,0.003,0.003,0.451,薄档,高风险薄档
440349,1,27800,2,1,1,无,91,0.758,0,0.003,0.003,0.003,0.54,薄档,高风险薄档
440397,1,94200,1,1,1,无,89,0.753,0,0.003,0.003,0.79,0.003,薄档,高风险薄档
440401,1,97800,2,1,1,无,108,0.722,0.032,0.003,0.003,0.003,0.003,薄档,高风险薄档
